Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,18596,18411,185,0.99,0,0.0,1.0
60-120s,19027,18705,322,1.69,0,0.0,1.5
120-180s,18824,18447,377,2.0,0,0.0,2.0
180-240s,18950,18463,487,2.57,0,0.0,2.5
240-300s,18806,18210,596,3.17,0,0.0,3.0
300-360s,19235,18594,641,3.33,0,0.0,3.5
360-420s,38008,18169,761,2.0,19078,50.19,4.0
420-480s,30339,17998,798,2.63,11543,38.05,4.5
480-540s,33638,17634,925,2.75,15079,44.83,5.0
540-600s,24991,18302,188,0.75,6501,26.01,1.0
