Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,25484,25082,294,1.15,108,0.42,1.0
60-120s,26007,25313,359,1.38,335,1.29,1.5
120-180s,26295,25262,535,2.03,498,1.89,2.0
180-240s,26450,25132,665,2.51,653,2.47,2.5
240-300s,26748,25306,736,2.75,706,2.64,3.0
300-360s,26566,24902,872,3.28,792,2.98,3.5
360-420s,27008,25073,1056,3.91,879,3.25,4.0
420-480s,27293,25120,1165,4.27,1008,3.69,4.5
480-540s,27302,24924,1307,4.79,1071,3.92,5.0
540-600s,26079,25572,260,1.0,247,0.95,1.0
