Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,13215,13034,128,0.97,53,0.4,1.0
30-60s,5359,4812,159,2.97,388,7.24,1.0
60-90s,9889,8802,147,1.49,940,9.51,1.0
90-120s,9213,8247,136,1.48,830,9.01,1.0
120-150s,9228,8155,158,1.71,915,9.92,1.0
150-180s,8872,7835,135,1.52,902,10.17,1.0
180-210s,8419,7430,132,1.57,857,10.18,1.0
210-240s,9337,8229,166,1.78,942,10.09,1.0
240-270s,9576,8398,160,1.67,1018,10.63,1.0
270-300s,9209,8106,140,1.52,963,10.46,1.0
300-330s,9463,8346,152,1.61,965,10.2,1.0
330-360s,13085,12343,134,1.02,608,4.65,1.0
360-390s,13762,13438,129,0.94,195,1.42,1.0
390-420s,13803,13383,137,0.99,283,2.05,1.0
