Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8797,8595,95,1.08,107,1.22,1.0
30-60s,4550,4070,138,3.03,342,7.52,1.0
60-90s,5987,5277,157,2.62,553,9.24,1.0
90-120s,5316,4702,154,2.9,460,8.65,1.0
120-150s,5896,5213,162,2.75,521,8.84,1.0
150-180s,5781,5087,156,2.7,538,9.31,1.0
180-210s,5476,4814,155,2.83,507,9.26,1.0
210-240s,5809,5074,161,2.77,574,9.88,1.0
240-270s,5507,4799,152,2.76,556,10.1,1.0
270-300s,5601,4866,166,2.96,569,10.16,1.0
300-330s,5878,5146,165,2.81,567,9.65,1.0
330-360s,8542,8067,111,1.3,364,4.26,1.0
360-390s,8341,8094,90,1.08,157,1.88,1.0
390-420s,8439,8201,100,1.18,138,1.64,1.0
