Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5376,5320,56,1.04,0,0.0,1.0
10-20s,5634,5576,58,1.03,0,0.0,1.0
20-30s,5652,5535,117,2.07,0,0.0,2.0
30-40s,7368,5257,333,4.52,1778,24.13,6.0
40-50s,7942,4292,97,1.22,3553,44.74,2.0
50-60s,7846,4157,235,3.0,3454,44.02,6.0
60-70s,7956,4421,111,1.4,3424,43.04,2.0
70-80s,7935,4470,274,3.45,3191,40.21,6.0
80-90s,7945,4061,88,1.11,3796,47.78,2.0
90-100s,7933,4178,250,3.15,3505,44.18,6.0
100-110s,7906,4453,91,1.15,3362,42.52,2.0
110-120s,7918,4604,314,3.97,3000,37.89,6.0
120-130s,7921,4265,99,1.25,3557,44.91,2.0
130-140s,7925,4316,252,3.18,3357,42.36,6.0
140-150s,7874,4300,111,1.41,3463,43.98,2.0
150-160s,7946,4312,257,3.23,3377,42.5,6.0
160-170s,7910,4128,130,1.64,3652,46.17,2.0
170-180s,7919,4119,255,3.22,3545,44.77,6.0
180-190s,7809,4062,84,1.08,3663,46.91,2.0
190-200s,7813,4309,282,3.61,3222,41.24,6.0
200-210s,7755,4662,69,0.89,3024,38.99,1.0
210-220s,5641,5594,47,0.83,0,0.0,1.0
