Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,4082,4023,50,1.22,9,0.22,1.0
10-20s,4477,4427,45,1.01,5,0.11,1.0
20-30s,4531,4420,86,1.9,25,0.55,2.0
30-40s,4805,4406,273,5.68,126,2.62,6.0
40-50s,4739,4477,107,2.26,155,3.27,2.0
50-60s,4810,4398,276,5.74,136,2.83,6.0
60-70s,4744,4479,90,1.9,175,3.69,2.0
70-80s,4872,4452,278,5.71,142,2.91,6.0
80-90s,4672,4402,113,2.42,157,3.36,2.0
90-100s,4832,4421,269,5.57,142,2.94,6.0
100-110s,4612,4309,133,2.88,170,3.69,2.0
110-120s,4789,4408,252,5.26,129,2.69,6.0
120-130s,4757,4491,111,2.33,155,3.26,2.0
130-140s,4750,4348,269,5.66,133,2.8,6.0
140-150s,4749,4454,96,2.02,199,4.19,2.0
150-160s,4760,4353,270,5.67,137,2.88,6.0
160-170s,4723,4430,112,2.37,181,3.83,2.0
170-180s,4742,4378,254,5.36,110,2.32,6.0
180-190s,4719,4446,104,2.2,169,3.58,2.0
190-200s,4816,4431,270,5.61,115,2.39,6.0
200-210s,4690,4476,77,1.64,137,2.92,1.0
210-220s,4549,4461,54,1.19,34,0.75,1.0
