Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9596,9507,89,0.93,0,0.0,1.0
30-60s,7511,7005,196,2.61,310,4.13,1.0
60-90s,8231,7456,197,2.39,578,7.02,1.0
90-120s,8239,7496,182,2.21,561,6.81,1.0
120-150s,8672,7806,188,2.17,678,7.82,1.0
150-180s,8602,7735,178,2.07,689,8.01,1.0
180-210s,8529,7705,154,1.81,670,7.86,1.0
210-240s,8520,7632,178,2.09,710,8.33,1.0
240-270s,8368,7471,179,2.14,718,8.58,1.0
270-300s,8572,7627,171,1.99,774,9.03,1.0
300-330s,8872,7938,168,1.89,766,8.63,1.0
330-360s,9677,9368,110,1.14,199,2.06,1.0
360-390s,9698,9607,91,0.94,0,0.0,1.0
390-420s,9458,9359,99,1.05,0,0.0,1.0
