Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9135,8888,125,1.37,122,1.34,1.0
30-60s,6787,6412,166,2.45,209,3.08,1.0
60-90s,6573,6227,149,2.27,197,3.0,1.0
90-120s,6156,5537,208,3.38,411,6.68,1.0
120-150s,6116,5551,184,3.01,381,6.23,1.0
150-180s,6584,5885,226,3.43,473,7.18,1.0
180-210s,6591,5903,197,2.99,491,7.45,1.0
210-240s,6549,5787,231,3.53,531,8.11,1.0
240-270s,7060,6254,240,3.4,566,8.02,1.0
270-300s,6893,6090,224,3.25,579,8.4,1.0
300-330s,6987,6205,221,3.16,561,8.03,1.0
330-360s,8759,8331,150,1.71,278,3.17,1.0
360-390s,9421,9080,122,1.29,219,2.32,1.0
390-420s,8933,8694,100,1.12,139,1.56,1.0
