Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,9025,8942,83,0.92,0,0.0,1.0
20-40s,9102,9014,88,0.97,0,0.0,1.0
40-60s,9127,9037,90,0.99,0,0.0,1.0
60-80s,16197,2845,672,4.15,12680,78.29,20.0
80-100s,14075,6285,73,0.52,7717,54.83,1.0
100-120s,9112,9013,99,1.09,0,0.0,1.0
120-140s,9110,9029,81,0.89,0,0.0,1.0
140-160s,16553,546,780,4.71,15227,91.99,60.0
160-180s,15488,3390,39,0.25,12059,77.86,1.0
180-200s,11303,8926,97,0.86,2280,20.17,1.0
200-220s,9116,9025,91,1.0,0,0.0,1.0
220-240s,16339,68,697,4.27,15574,95.32,100.0
240-260s,12488,4107,35,0.28,8346,66.83,1.0
260-280s,9079,8995,84,0.93,0,0.0,1.0
280-300s,9108,9019,89,0.98,0,0.0,1.0
