Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,3569,3491,48,1.34,30,0.84,1.0
20-40s,3850,3789,39,1.01,22,0.57,1.0
40-60s,3945,3881,37,0.94,27,0.68,1.0
60-80s,4835,3355,778,16.09,702,14.52,20.0
80-100s,4159,3763,87,2.09,309,7.43,1.0
100-120s,3860,3795,34,0.88,31,0.8,1.0
120-140s,3925,3848,40,1.02,37,0.94,1.0
140-160s,13049,2606,3689,28.27,6754,51.76,60.0
160-180s,5912,3751,191,3.23,1970,33.32,1.0
180-200s,3887,3831,35,0.9,21,0.54,1.0
200-220s,3961,3879,40,1.01,42,1.06,1.0
220-240s,15511,231,3358,21.65,11922,76.86,100.0
240-260s,6951,3400,80,1.15,3471,49.94,1.0
260-280s,4027,3919,36,0.89,72,1.79,1.0
280-300s,3878,3768,42,1.08,68,1.75,1.0
