Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,3392,3355,37,1.09,0,0.0,1.0
30-60s,3566,3530,36,1.01,0,0.0,1.0
60-90s,3450,3415,35,1.01,0,0.0,1.0
90-120s,3583,3546,37,1.03,0,0.0,1.0
120-150s,18005,2748,669,3.72,14588,81.02,20.0
150-180s,23362,2130,549,2.35,20683,88.53,20.0
180-210s,23416,2208,517,2.21,20691,88.36,20.0
210-240s,23172,2201,536,2.31,20435,88.19,20.0
240-270s,23143,2209,550,2.38,20384,88.08,20.0
270-300s,23139,2168,537,2.32,20434,88.31,20.0
300-330s,22970,2005,523,2.28,20442,88.99,20.0
330-360s,21918,2007,553,2.52,19358,88.32,20.0
360-390s,21223,2198,538,2.53,18487,87.11,20.0
390-420s,21483,2332,536,2.49,18615,86.65,20.0
420-450s,19924,3145,44,0.22,16735,83.99,1.0
450-480s,3464,3430,34,0.98,0,0.0,1.0
480-510s,3524,3497,27,0.77,0,0.0,1.0
510-540s,3410,3375,35,1.03,0,0.0,1.0
