Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,11469,11307,131,1.14,31,0.27,1.0
30-60s,11599,11426,112,0.97,61,0.53,1.0
60-90s,11652,11451,107,0.92,94,0.81,1.0
90-120s,11718,11436,151,1.29,131,1.12,1.0
120-150s,15845,10673,2598,16.4,2574,16.24,20.0
150-180s,16847,10728,2729,16.2,3390,20.12,20.0
180-210s,16602,10658,2647,15.94,3297,19.86,20.0
210-240s,17302,10871,2795,16.15,3636,21.01,20.0
240-270s,16931,10866,2735,16.15,3330,19.67,20.0
270-300s,16993,10791,2743,16.14,3459,20.36,20.0
300-330s,17051,10760,2767,16.23,3524,20.67,20.0
330-360s,16541,10621,2647,16.0,3273,19.79,20.0
360-390s,16796,10687,2711,16.14,3398,20.23,20.0
390-420s,16940,10764,2754,16.26,3422,20.2,20.0
420-450s,12453,11530,176,1.41,747,6.0,1.0
450-480s,11816,11597,113,0.96,106,0.9,1.0
480-510s,11794,11584,116,0.98,94,0.8,1.0
510-540s,11828,11611,110,0.93,107,0.9,1.0
