Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,60,1.34,0.0,18.18,4.61,1.0,0.0,15.91,-0.0334,-0.0507,0.1366,0.0,-0.0,-0.0,-0.0331,-0.0461,0.1318,92.22
2,60,1.29,0.0,11.76,4.25,0.31,0.0,9.07,-0.0739,-0.0964,0.0616,0.0,0.0,0.0,-0.0405,-0.1143,0.0164,151.83
3,60,1.22,0.0,8.0,3.92,0.15,0.0,3.27,-0.1055,-0.1356,0.0178,0.0,0.0,0.0,-0.0319,-0.0645,0.0217,211.74
4,60,1.38,0.0,7.14,3.61,0.11,0.0,1.86,-0.1322,-0.1727,-0.0053,0.0,0.0,0.0,-0.0264,-0.0361,0.0215,271.6
5,60,1.29,0.0,5.41,3.33,0.0,0.0,0.0,-0.1575,-0.2067,-0.0158,0.0,0.0,0.0,-0.0249,-0.0333,0.006,331.42
6,60,1.23,0.0,5.56,3.41,0.0,0.0,0.21,-0.1801,-0.2368,-0.0239,0.0,-0.0,-0.0,-0.0225,-0.0307,0.0085,392.21
7,60,1.22,0.0,6.25,3.28,0.02,0.0,1.14,-0.2013,-0.2667,-0.0198,0.0,-0.0,-0.0,-0.0209,-0.0283,0.0133,451.78
8,60,1.16,0.0,5.63,3.89,0.01,0.0,0.49,-0.2212,-0.2929,-0.0221,0.0,0.0,0.0,-0.02,-0.0261,0.0094,511.24
9,60,1.16,0.0,4.94,3.8,0.0,0.0,0.0,-0.2397,-0.3171,-0.0249,0.0,-0.0,-0.0,-0.0183,-0.0241,0.0042,571.82
10,61,1.12,0.0,4.35,3.7,0.0,0.0,0.0,-0.2553,-0.3413,-0.0285,0.0,-0.0,-0.0,-0.0173,-0.0305,0.0017,631.43
11,61,1.04,0.0,4.35,2.72,0.0,0.0,0.0,-0.2737,-0.3618,-0.0399,0.0,0.0,0.0,-0.0165,-0.0395,0.0027,692.0
12,60,0.88,0.0,3.75,2.8,0.0,0.0,0.0,-0.2905,-0.381,-0.0517,0.0,0.0,0.0,-0.0167,-0.0364,0.0022,751.48
13,59,0.87,0.0,4.35,2.58,0.0,0.0,0.0,-0.3061,-0.3989,-0.0626,0.0,-0.0,-0.0,-0.0155,-0.0345,0.0049,811.53
14,61,0.82,0.0,3.66,2.38,0.0,0.0,0.0,-0.3202,-0.4146,-0.0713,0.0,0.0,0.0,-0.0147,-0.034,0.0052,871.43
