Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,39,0.43,0.0,16.67,0.92,0.4,0.0,15.67,36.49
2,57,0.96,0.0,20.0,0.92,1.11,0.0,28.2,51.18
3,59,1.04,0.0,20.0,0.85,1.82,0.0,38.23,56.52
4,59,1.09,0.0,20.0,0.78,2.45,0.0,46.55,70.04
5,58,0.82,0.0,20.0,0.72,2.1,0.0,56.32,216.95
6,53,0.93,0.0,14.29,0.67,3.36,0.0,58.42,297.52
7,60,0.88,0.0,14.29,0.61,3.15,0.0,60.1,329.3
8,57,0.89,0.0,14.29,0.57,3.43,0.0,61.44,342.09
9,59,0.91,0.0,14.29,0.52,3.44,0.0,62.52,413.17
10,57,1.05,0.0,12.5,0.48,3.76,0.0,61.59,534.4
11,58,0.94,0.0,12.5,0.44,3.76,0.0,60.85,584.53
12,53,0.86,0.0,10.0,0.41,2.88,0.0,33.39,613.9
13,60,0.8,0.0,10.0,0.38,3.71,0.0,47.83,660.0
14,59,0.75,0.0,10.0,0.35,3.63,0.0,37.48,726.21
15,58,0.69,0.0,10.0,0.32,3.39,0.0,29.26,824.02
16,57,0.86,0.0,10.0,0.3,3.6,0.0,29.31,874.58
17,57,0.73,0.0,11.11,0.27,3.47,0.0,29.46,908.09
18,60,0.71,0.0,11.11,0.25,3.21,0.0,28.17,976.47
19,60,0.7,0.0,11.11,0.23,3.13,0.0,29.15,1068.72
20,60,0.7,0.0,8.33,0.21,3.06,0.0,31.31,1114.13
21,60,0.69,0.0,8.33,0.2,3.0,0.0,29.69,1158.6
22,60,0.62,0.0,10.0,0.18,2.9,0.0,27.57,1214.4
23,60,0.63,0.0,11.11,0.17,2.84,0.0,25.13,1295.18
24,60,0.71,0.0,10.0,0.15,2.88,0.0,27.06,1364.32
25,60,0.81,0.0,10.0,0.14,3.01,0.0,30.79,1395.02
26,60,0.69,0.0,10.0,0.13,2.99,0.0,34.3,1442.77
27,60,0.7,0.0,11.11,0.12,3.0,0.0,38.23,1514.99
28,60,0.96,0.0,10.0,0.11,3.27,0.0,38.81,1590.04
29,60,0.99,0.0,10.0,0.1,3.52,0.0,37.85,1652.99
30,60,0.94,0.0,11.11,0.09,3.68,0.0,41.04,1686.75
31,60,0.71,0.0,10.0,0.09,3.57,0.0,32.51,1759.82
32,60,0.93,0.0,7.69,0.08,3.71,0.0,30.16,1820.18
33,60,0.91,0.0,8.0,0.07,3.82,0.0,29.48,1891.95
34,60,0.96,0.0,9.09,0.07,3.96,0.0,28.92,1940.96
35,60,0.95,0.0,12.5,0.06,4.06,0.0,30.68,2006.49
36,60,0.93,0.0,12.5,0.06,4.12,0.0,36.87,2057.82
37,60,0.78,0.0,10.0,0.05,4.02,0.0,39.31,2115.08
38,60,0.73,0.0,8.33,0.05,3.88,0.0,37.13,2181.6
39,60,0.73,0.0,8.33,0.05,3.77,0.0,29.52,2242.7
40,60,0.67,0.0,8.33,0.13,3.63,0.0,28.32,2305.36
41,60,0.6,0.0,7.69,0.04,3.45,0.0,30.16,2363.77
42,60,0.49,0.0,5.56,0.04,3.19,0.0,29.48,2412.64
43,60,0.61,0.0,8.33,0.03,3.1,0.0,31.7,2491.3
44,60,0.7,0.0,8.33,0.16,3.12,0.0,33.46,2532.69
45,60,0.74,0.0,10.53,0.03,3.18,0.0,34.86,2601.67
46,60,0.96,0.0,11.11,0.03,3.46,0.0,34.77,2658.61
47,60,0.76,0.0,10.53,0.18,3.47,0.0,35.92,2722.55
48,60,0.87,0.0,10.53,0.18,3.6,0.0,38.91,2795.05
49,60,0.87,0.0,14.29,0.17,3.7,0.0,36.03,2838.83
50,60,0.77,0.0,14.29,0.16,3.68,0.0,30.09,2897.06
51,60,0.8,0.0,14.29,0.14,3.7,0.0,38.27,2952.84
52,60,1.11,0.0,14.29,0.13,4.02,0.0,44.82,3018.7
53,60,1.15,0.0,14.29,0.12,4.32,0.0,50.06,3085.71
54,60,1.07,0.0,15.38,0.11,4.49,0.0,55.35,3125.38
55,60,1.26,0.0,15.38,0.1,4.83,0.0,59.58,3202.75
56,60,1.17,0.0,15.38,0.1,5.0,0.0,62.96,3286.47
57,60,1.13,0.0,13.33,0.11,5.1,0.0,61.4,3326.36
58,60,1.36,0.0,13.33,0.11,5.41,0.0,60.14,3367.5
59,60,1.18,0.0,13.33,0.11,5.47,0.0,59.39,3430.96
60,60,1.42,0.0,16.67,0.11,5.76,0.0,60.74,3504.46
61,60,1.3,0.0,16.67,0.13,5.87,0.0,57.99,3579.81
62,60,1.2,0.0,12.5,0.12,5.87,0.0,46.85,3624.44
63,60,1.22,0.0,12.5,0.05,5.88,0.0,48.17,3680.92
64,60,1.46,0.0,15.38,0.05,6.13,0.0,52.78,3731.65
65,60,1.32,0.0,14.29,0.05,6.19,0.0,56.47,3802.22
66,60,1.46,0.0,25.0,0.04,6.38,0.0,56.25,3856.09
67,60,1.4,0.0,25.0,0.04,6.47,0.0,55.53,3923.71
68,60,1.25,0.0,25.0,0.04,6.39,0.0,69.38,3988.72
69,60,1.39,0.0,25.0,0.03,6.47,0.0,80.46,4034.27
70,60,1.08,0.0,11.11,0.03,6.23,0.0,75.44,4102.38
71,60,1.04,0.0,7.69,0.03,5.99,0.0,66.18,4161.96
72,60,0.95,0.0,8.0,0.03,5.71,0.0,52.9,4230.45
73,60,0.87,0.0,8.33,0.02,5.4,0.0,42.27,4292.41
74,60,1.3,0.0,22.22,0.02,5.59,0.0,33.78,4347.24
75,60,1.23,0.0,22.22,0.02,5.66,0.0,39.99,4397.49
76,60,1.57,0.0,28.57,0.02,6.07,0.0,60.56,4463.68
77,60,1.82,0.0,28.57,0.02,6.64,0.0,77.02,4527.4
78,60,1.63,0.0,22.22,0.02,6.91,0.0,83.84,4601.14
79,60,1.37,0.0,22.22,0.01,6.86,0.0,89.29,4637.44
80,60,1.48,0.0,25.0,0.01,6.94,0.0,96.43,4702.62
81,60,1.4,0.0,25.0,0.01,6.88,0.0,100.0,4757.26
82,60,1.36,0.0,22.22,0.01,6.8,0.0,100.0,4845.71
83,60,1.56,0.0,22.22,0.01,6.93,0.0,100.0,4886.01
84,60,1.17,0.0,8.0,0.01,6.68,0.0,80.0,4943.42
85,60,1.18,0.0,8.0,0.02,6.49,0.0,64.0,4999.19
86,60,1.27,0.0,8.0,0.02,6.43,0.0,51.19,5070.55
87,60,1.21,0.0,6.9,0.02,6.32,0.0,40.95,5130.25
88,60,1.28,0.0,8.33,0.03,6.29,0.0,32.76,5169.72
89,60,1.71,0.0,12.5,0.03,6.7,0.0,37.49,5223.78
90,60,1.46,0.0,8.33,0.03,6.78,0.0,35.89,5308.39
91,60,1.88,0.0,12.5,0.04,7.26,0.0,36.36,5368.21
92,60,2.05,0.0,12.5,0.04,7.82,0.0,37.36,5413.83
93,60,1.86,0.0,12.5,0.04,8.07,0.0,39.58,5477.7
94,60,1.73,0.0,11.11,0.03,8.14,0.0,39.58,5542.16
95,60,1.59,0.0,12.5,0.03,8.06,0.0,39.19,5609.61
96,60,1.11,0.0,8.33,0.03,7.51,0.0,39.21,5671.56
97,60,1.05,0.0,9.52,0.03,7.02,0.0,39.58,5718.52
98,60,1.02,0.0,9.52,0.02,6.59,0.0,36.79,5777.98
99,60,0.95,0.0,9.52,0.02,6.18,0.0,31.7,5835.12
100,60,1.06,0.0,14.29,0.02,5.96,0.0,39.19,5916.56
101,60,0.82,0.0,10.0,0.02,5.55,0.0,41.15,5963.84
102,60,0.69,0.0,10.0,0.02,5.09,0.0,42.69,6028.8
103,60,0.57,0.0,10.0,0.02,4.6,0.0,43.91,6080.86
104,60,0.53,0.0,10.0,0.01,4.17,0.0,44.87,6135.38
105,60,0.56,0.0,9.09,0.01,3.86,0.0,44.72,6239.23
106,60,0.66,0.0,10.0,0.01,3.72,0.0,41.37,6284.43
