Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,0.49,0.0,16.67,0.92,0.45,0.0,15.67,67.25
2,60,0.37,0.0,8.33,0.85,0.68,0.0,19.85,125.37
3,60,0.81,0.0,11.76,0.78,1.25,0.0,26.64,185.91
4,60,0.81,0.0,10.53,0.72,1.68,0.0,30.82,245.03
5,60,0.8,0.0,9.68,0.67,2.01,0.0,33.15,306.15
6,60,0.91,0.0,8.33,0.61,2.34,0.0,31.94,363.65
7,60,0.95,0.0,7.89,0.57,2.61,0.0,29.51,424.67
8,60,0.93,0.0,7.14,0.52,2.8,0.0,26.81,487.04
9,60,0.94,0.0,5.88,0.88,2.94,0.0,25.95,545.72
10,60,0.89,0.0,5.26,0.44,2.99,0.0,25.08,606.42
11,60,0.87,0.0,5.36,0.41,3.0,0.0,24.48,667.06
12,60,0.98,0.0,6.67,0.38,3.11,0.0,23.99,724.98
13,60,0.85,0.0,6.25,0.35,3.07,0.0,21.8,786.43
14,60,0.93,0.0,6.06,0.32,3.12,0.0,18.24,844.15
15,60,0.85,0.0,5.56,0.3,3.09,0.0,19.38,902.86
16,60,0.8,0.0,7.14,0.27,3.0,0.0,21.96,966.59
17,60,0.77,0.0,6.06,0.25,2.93,0.0,22.94,1026.03
18,60,0.9,0.0,6.25,0.23,3.01,0.0,23.9,1083.69
19,60,1.1,0.0,6.45,0.21,3.28,0.0,24.66,1143.8
20,60,1.05,0.0,6.06,0.2,3.45,0.0,24.41,1203.98
21,60,1.11,0.0,6.25,0.38,3.66,0.0,24.35,1263.79
22,60,1.13,0.0,5.88,0.17,3.84,0.0,21.53,1324.57
23,60,1.18,0.0,5.41,0.15,4.04,0.0,19.45,1388.64
24,60,1.16,0.0,5.26,0.14,4.18,0.0,20.51,1445.78
25,60,1.22,0.0,5.41,0.13,4.36,0.0,20.63,1504.05
26,60,1.16,0.0,5.0,0.12,4.45,0.0,20.53,1565.77
27,60,1.24,0.0,6.38,0.11,4.6,0.0,22.47,1621.38
28,60,1.27,0.0,5.13,0.1,4.76,0.0,21.88,1683.15
29,60,0.97,0.0,4.55,0.09,4.58,0.0,19.38,1746.84
30,60,1.06,0.0,4.26,0.09,4.53,0.0,17.91,1806.62
31,60,1.09,0.0,4.76,0.08,4.53,0.0,16.12,1866.84
32,60,0.94,0.0,3.64,0.07,4.38,0.0,14.53,1926.28
33,60,0.83,0.0,4.26,0.13,4.15,0.0,14.9,1982.99
34,60,0.79,0.0,4.55,0.14,3.94,0.0,16.27,2043.57
35,60,0.85,0.0,4.26,0.14,3.85,0.0,15.04,2102.68
36,60,0.84,0.0,3.92,0.05,3.77,0.0,14.65,2167.44
37,60,0.75,0.0,4.0,0.05,3.62,0.0,13.46,2228.04
38,60,0.64,0.0,4.0,0.05,3.39,0.0,13.96,2287.72
39,60,0.62,0.0,3.77,0.04,3.2,0.0,14.82,2349.5
40,60,0.57,0.0,3.64,0.04,3.0,0.0,15.37,2406.68
41,60,0.57,0.0,3.77,0.04,2.85,0.0,15.94,2464.44
42,60,0.6,0.0,4.44,0.03,2.77,0.0,17.06,2524.14
43,60,0.77,0.0,4.17,0.03,2.88,0.0,16.0,2585.15
44,60,0.68,0.0,4.35,0.03,2.87,0.0,14.59,2645.4
45,60,0.77,0.0,4.44,0.03,2.96,0.0,13.74,2703.28
46,60,0.77,0.0,4.76,0.02,3.04,0.0,12.79,2767.48
47,60,0.72,0.0,4.76,0.02,3.05,0.0,14.51,2827.45
48,60,0.7,0.0,4.65,0.02,3.04,0.0,15.84,2878.94
49,59,0.92,0.0,5.0,0.02,3.18,0.0,16.99,2944.33
50,59,1.05,0.0,6.0,0.2,3.61,0.0,19.36,3001.83
51,60,1.01,0.0,5.13,0.26,3.77,0.0,19.24,3063.97
52,60,1.0,0.0,5.0,0.24,3.94,0.0,19.59,3123.9
53,60,0.85,0.0,5.0,0.21,3.91,0.0,19.96,3183.37
54,60,0.93,0.0,6.67,0.2,3.99,0.0,21.83,3245.53
55,60,0.97,0.0,7.14,0.19,4.09,0.0,24.47,3303.08
56,60,0.94,0.0,5.13,0.17,4.15,0.0,24.08,3363.78
57,60,1.1,0.0,6.38,0.18,4.36,0.0,25.48,3426.74
58,60,1.07,0.0,5.41,0.15,4.49,0.0,24.57,3481.79
59,60,0.87,0.0,5.56,0.14,4.4,0.0,23.73,3543.68
60,60,0.96,0.0,5.88,0.13,4.42,0.0,23.46,3606.46
61,60,0.93,0.0,5.41,0.13,4.4,0.0,23.34,3661.81
62,58,0.93,0.0,5.71,0.14,4.22,0.0,23.12,3722.61
63,60,1.06,0.0,5.71,0.24,4.54,0.0,22.55,3783.31
64,60,1.08,0.0,5.26,0.09,4.65,0.0,19.92,3849.76
65,60,1.14,0.0,7.32,0.1,4.79,0.0,18.76,3906.32
66,60,1.1,0.0,6.82,0.1,4.87,0.0,21.65,3966.6
67,60,1.06,0.0,6.67,0.1,4.9,0.0,23.79,4023.19
68,60,1.14,0.0,6.12,0.26,5.0,0.0,24.95,4083.12
69,60,1.32,0.0,6.38,0.26,5.26,0.0,26.13,4145.93
70,60,1.52,0.0,5.88,0.26,5.67,0.0,26.45,4203.91
71,59,1.36,0.0,5.26,0.11,5.76,0.0,25.38,4266.47
72,60,1.38,0.0,6.06,0.08,5.99,0.0,22.29,4323.24
73,60,1.38,0.0,6.06,0.09,6.11,0.0,23.42,4380.99
74,59,1.34,0.0,8.33,0.1,6.08,0.0,26.93,4444.02
75,47,1.37,0.0,6.67,0.14,6.77,0.0,24.43,4503.16
76,60,1.34,0.0,6.25,0.03,6.19,0.0,23.82,4566.77
77,59,1.32,0.0,6.06,0.03,6.03,0.0,24.99,4624.62
78,60,1.25,0.0,5.71,0.11,6.19,0.0,25.56,4685.64
79,60,1.2,0.0,5.88,0.12,6.09,0.0,25.7,4743.39
80,60,1.01,0.0,5.0,0.12,5.82,0.0,25.4,4806.01
81,60,0.92,0.0,4.55,0.11,5.51,0.0,22.79,4865.49
82,58,0.91,0.0,4.88,0.1,4.92,0.0,20.63,4929.83
83,60,0.99,0.0,4.65,0.08,5.21,0.0,18.9,4985.97
84,60,1.09,0.0,5.26,0.09,5.2,0.0,18.79,5047.21
85,59,1.23,0.0,5.88,0.09,5.36,0.0,20.84,5104.83
86,60,1.12,0.0,5.77,0.03,5.32,0.0,20.44,5164.86
87,60,1.05,0.0,6.25,0.03,5.25,0.0,19.83,5224.5
88,60,1.17,0.0,6.52,0.07,5.31,0.0,22.27,5281.77
89,60,1.25,0.0,6.98,0.07,5.44,0.0,24.67,5343.51
90,60,1.28,0.0,5.88,0.04,5.58,0.0,23.86,5404.63
91,58,1.27,0.0,5.56,0.05,5.56,0.0,23.71,5464.63
92,59,1.33,0.0,6.12,0.12,5.79,0.0,22.03,5522.04
93,59,1.29,0.0,5.88,0.24,5.98,0.0,23.4,5583.29
94,60,1.32,0.0,5.88,0.22,5.97,0.0,22.86,5644.41
95,55,1.19,0.0,5.41,0.01,5.83,0.0,22.52,5699.75
96,60,1.1,0.0,6.25,0.01,5.78,0.0,22.24,5765.86
97,60,1.25,0.0,8.11,0.01,5.82,0.0,23.07,5823.95
98,60,1.36,0.0,7.5,0.01,5.95,0.0,23.73,5883.58
99,60,1.33,0.0,8.16,0.01,6.04,0.0,24.24,5947.82
100,59,1.48,0.0,8.51,0.04,6.33,0.0,26.76,6002.99
101,59,1.48,0.0,8.93,0.02,6.35,0.0,30.25,6062.69
102,60,1.45,0.0,9.68,0.05,6.51,0.0,33.76,6119.92
103,60,1.64,0.0,9.68,0.05,6.79,0.0,36.56,6186.07
104,59,1.73,0.0,8.47,0.04,7.19,0.0,37.58,6245.89
105,60,1.7,0.0,10.0,0.06,7.3,0.0,38.84,6303.26
106,60,1.74,0.0,8.06,0.05,7.51,0.0,38.96,6367.14
107,60,1.72,0.0,6.9,0.05,7.65,0.0,35.91,6424.95
108,60,1.53,0.0,7.32,0.05,7.59,0.0,33.9,6485.16
109,60,1.51,0.0,6.82,0.04,7.51,0.0,31.01,6547.2
110,60,1.47,0.0,8.11,0.04,7.41,0.0,28.69,6603.59
111,60,1.43,0.0,8.33,0.04,7.29,0.0,27.73,6663.42
112,60,1.43,0.0,6.98,0.04,7.19,0.0,29.05,6726.75
113,60,1.4,0.0,7.14,0.05,7.08,0.0,27.76,6784.85
114,60,1.47,0.0,6.67,0.05,7.06,0.0,26.62,6847.45
115,60,1.75,0.0,6.82,0.05,7.33,0.0,26.62,6905.77
116,60,1.72,0.0,6.82,0.06,7.51,0.0,27.84,6960.8
117,60,1.72,0.0,6.98,0.06,7.65,0.0,28.95,7027.85
118,58,1.75,0.0,7.32,0.07,7.54,0.0,29.53,7082.85
119,60,1.99,0.0,7.69,0.05,8.21,0.0,28.44,7143.18
120,60,1.84,0.0,10.26,0.1,8.33,0.0,30.69,7205.04
121,60,1.8,0.0,8.89,0.11,8.39,0.0,33.3,7262.83
122,60,1.83,0.0,7.14,0.12,8.47,0.0,33.63,7326.43
123,59,1.88,0.0,10.0,0.06,8.51,0.0,36.73,7384.35
124,60,1.84,0.0,10.0,0.17,8.64,0.0,39.2,7445.81
125,60,1.72,0.0,9.52,0.17,8.55,0.0,40.68,7506.56
126,60,1.67,0.0,6.82,0.17,8.44,0.0,39.14,7568.4
127,59,1.67,0.0,8.51,0.18,8.27,0.0,39.6,7624.1
128,60,1.88,0.0,7.14,0.1,8.48,0.0,38.58,7685.19
129,60,1.88,0.0,7.5,0.11,8.58,0.0,38.11,7743.32
130,60,1.97,0.0,8.82,0.11,8.76,0.0,34.99,7805.55
131,59,2.12,0.0,11.63,0.1,8.95,0.0,39.36,7861.93
132,60,2.12,0.0,11.63,0.12,9.27,0.0,42.85,7921.12
133,60,2.16,0.0,11.11,0.12,9.49,0.0,43.1,7986.53
134,60,2.14,0.0,9.68,0.13,9.64,0.0,43.28,8044.04
135,60,1.91,0.0,10.0,0.14,9.54,0.0,44.32,8100.54
136,60,2.16,0.0,9.52,0.14,9.7,0.0,44.65,8160.74
137,60,2.29,0.0,8.33,0.13,9.96,0.0,42.36,8222.9
138,60,2.1,0.0,8.11,0.12,9.98,0.0,39.93,8284.36
139,60,2.1,0.0,8.33,0.11,9.99,0.0,38.41,8344.1
140,60,2.38,0.0,10.87,0.1,10.27,0.0,41.24,8406.43
141,60,2.22,0.0,7.14,0.11,10.35,0.0,38.88,8464.0
