Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,21032,20745,200,0.95,87,0.41,1.0
60-120s,21335,20801,299,1.4,235,1.1,1.5
120-180s,21208,20475,414,1.95,319,1.5,2.0
180-240s,21563,20639,489,2.27,435,2.02,2.5
240-300s,21924,20720,642,2.93,562,2.56,3.0
300-360s,5800,5465,199,3.43,136,2.34,3.5
360-420s,6349,5958,223,3.51,168,2.65,4.0
420-480s,22253,20829,815,3.66,609,2.74,4.5
480-540s,22287,20685,872,3.91,730,3.28,5.0
540-600s,10585,9742,484,4.57,359,3.39,1.0
