Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-60s,34029,34029,0,0.0,0,0.0,0.0
60-120s,239636,21149,321,0.13,218166,91.04,1.5
120-180s,137004,16881,334,0.24,119789,87.43,2.0
180-240s,138916,15348,366,0.26,123202,88.69,2.5
240-300s,139550,12993,404,0.29,126153,90.4,3.0
300-360s,138927,12114,404,0.29,126409,90.99,3.5
360-420s,138982,10570,454,0.33,127958,92.07,4.0
420-480s,134916,9866,433,0.32,124617,92.37,4.5
480-540s,99929,9211,459,0.46,90259,90.32,5.0
540-600s,54660,29856,6,0.01,24798,45.37,0.0
