Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,60,1.02,0.0,11.11,4.61,0.62,0.0,7.33,-0.0363,-0.0461,0.0611,0.0,-0.0,-0.0,-0.0363,-0.0461,0.0611,88.85
2,60,1.04,0.0,5.26,4.25,0.01,0.0,0.12,-0.0757,-0.0886,-0.0073,0.0,0.0,0.0,-0.0394,-0.0705,0.0065,149.27
3,60,0.81,0.0,3.57,3.92,0.0,0.0,0.0,-0.1086,-0.1278,-0.0229,0.0,0.0,0.0,-0.0329,-0.0392,-0.0063,209.68
4,60,0.7,0.0,2.63,3.61,0.0,0.0,0.0,-0.1398,-0.1639,-0.0437,0.0,0.0,0.0,-0.0312,-0.0361,-0.0125,268.67
5,60,0.69,0.0,4.08,3.49,0.0,0.0,0.0,-0.1687,-0.1972,-0.068,0.0,0.0,0.0,-0.0288,-0.0333,-0.0027,329.72
6,60,0.7,0.0,3.45,3.36,0.0,0.0,0.0,-0.1952,-0.228,-0.0787,0.0,-0.0,-0.0,-0.0265,-0.0307,-0.0083,388.73
7,60,0.72,0.0,2.99,2.83,0.0,0.0,0.0,-0.2195,-0.2563,-0.0911,0.0,0.0,0.0,-0.0243,-0.0283,-0.0021,449.26
8,60,0.78,0.0,2.6,3.06,0.0,0.0,0.0,-0.2412,-0.2824,-0.1056,0.0,-0.0,-0.0,-0.0218,-0.0261,-0.0044,509.08
9,60,0.74,0.0,2.33,2.41,0.0,0.0,0.0,-0.2618,-0.3065,-0.1215,0.0,0.0,0.0,-0.0205,-0.0249,-0.0068,569.13
10,60,0.75,0.0,2.11,2.22,0.0,0.0,0.0,-0.2806,-0.3287,-0.1384,0.0,0.0,0.0,-0.0188,-0.0336,-0.0056,629.26
11,60,0.71,0.0,2.11,2.05,0.0,0.0,0.0,-0.2982,-0.3491,-0.1538,0.0,0.0,0.0,-0.0177,-0.0318,-0.0028,689.51
12,60,0.75,0.0,3.09,1.89,0.0,0.0,0.0,-0.3142,-0.368,-0.1777,0.0,0.0,0.0,-0.016,-0.0293,-0.0026,748.85
13,60,0.83,0.0,4.08,1.74,0.0,0.0,0.0,-0.3281,-0.3854,-0.1861,0.0,0.0,0.0,-0.0139,-0.027,0.0071,809.33
14,60,0.9,0.0,5.1,1.6,0.0,0.0,0.0,-0.3403,-0.4014,-0.1697,0.0,0.0,0.0,-0.0122,-0.0249,0.0164,869.57
15,60,0.9,0.0,5.1,1.56,0.0,0.0,0.0,-0.3514,-0.4162,-0.1532,0.0,0.0,0.0,-0.0111,-0.023,0.0164,929.08
16,60,0.88,0.0,5.1,1.36,0.0,0.0,0.0,-0.3618,-0.4298,-0.1369,0.0,0.0,0.0,-0.0104,-0.0212,0.0164,989.46
17,60,0.9,0.0,5.1,1.26,0.0,0.0,0.0,-0.3711,-0.4424,-0.1205,0.0,0.0,0.0,-0.0093,-0.0237,0.0164,1049.02
