Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,0.21,0.0,12.5,1.0,0.19,0.0,11.5,80.91
2,60,0.93,0.0,18.18,1.0,1.0,0.0,26.38,140.84
3,60,0.95,0.0,11.76,1.0,1.63,0.0,31.87,202.02
4,60,0.95,0.0,10.0,1.02,2.1,0.0,34.48,259.35
5,60,0.9,0.0,8.33,1.03,2.41,0.0,34.89,320.42
6,60,0.87,0.0,7.14,1.04,2.61,0.0,34.02,379.89
7,60,0.86,0.0,6.25,1.05,2.74,0.0,32.42,440.25
8,60,0.76,0.0,5.88,1.06,2.75,0.0,30.76,502.65
9,60,0.84,0.0,4.76,1.06,2.81,0.0,28.31,559.62
10,60,0.81,0.0,4.17,1.07,2.81,0.0,25.75,621.54
11,60,0.86,0.0,4.35,1.07,2.85,0.0,21.7,681.29
12,60,0.84,0.0,4.41,1.07,2.85,0.0,18.38,736.61
13,60,0.92,0.0,5.26,1.07,2.92,0.0,15.8,800.9
14,60,0.98,0.0,4.69,1.07,3.02,0.0,15.02,861.89
15,60,0.98,0.0,4.65,0.35,3.1,0.0,14.27,920.69
16,60,1.07,0.0,5.88,0.36,3.25,0.0,15.24,979.57
17,60,1.12,0.0,7.02,0.36,3.41,0.0,16.98,1038.74
18,60,1.21,0.0,6.78,0.33,3.66,0.0,19.86,1102.85
19,60,1.09,0.0,6.45,0.36,3.75,0.0,21.83,1161.83
20,60,1.11,0.0,6.67,0.37,3.85,0.0,23.62,1220.22
21,60,1.14,0.0,5.36,0.37,3.95,0.0,23.63,1280.76
22,60,1.12,0.0,5.36,0.37,4.02,0.0,23.46,1340.04
23,60,1.09,0.0,5.88,0.21,4.05,0.0,21.51,1400.01
24,60,1.13,0.0,7.69,0.21,4.12,0.0,21.25,1462.35
25,60,1.08,0.0,7.41,0.21,4.14,0.0,24.04,1520.28
26,60,0.97,0.0,5.26,0.3,4.05,0.0,22.86,1577.96
27,60,0.91,0.0,5.36,0.22,3.92,0.0,21.83,1639.24
28,60,0.85,0.0,4.84,0.22,3.76,0.0,20.78,1699.7
29,60,0.85,0.0,5.08,0.23,3.64,0.0,19.57,1759.77
30,60,0.89,0.0,4.08,0.21,3.59,0.0,17.73,1820.65
31,60,0.83,0.0,4.41,0.2,3.49,0.0,18.26,1883.84
32,60,0.79,0.0,3.57,0.18,3.38,0.0,17.5,1941.5
33,60,0.78,0.0,3.57,0.18,3.29,0.0,16.68,1996.46
34,60,0.75,0.0,4.0,0.16,3.19,0.0,14.52,2060.8
35,60,0.86,0.0,4.35,0.15,3.23,0.0,12.85,2120.09
36,60,0.85,0.0,5.17,0.14,3.28,0.0,13.57,2181.09
37,60,0.91,0.0,5.66,0.12,3.38,0.0,16.27,2240.01
38,60,0.99,0.0,5.77,0.11,3.54,0.0,18.52,2298.46
39,60,0.97,0.0,6.12,0.1,3.66,0.0,20.67,2362.69
40,60,1.14,0.0,6.12,0.09,3.92,0.0,22.38,2419.14
41,60,1.28,0.0,5.66,0.09,4.26,0.0,21.46,2481.96
42,60,1.36,0.0,5.0,0.08,4.62,0.0,18.8,2540.09
43,60,1.45,0.0,5.45,0.07,5.0,0.0,16.64,2598.44
44,60,1.43,0.0,6.45,0.08,5.28,0.0,17.72,2661.83
45,60,1.3,0.0,5.8,0.08,5.38,0.0,18.82,2718.89
46,60,1.37,0.0,6.12,0.09,5.53,0.0,19.72,2779.64
47,60,1.44,0.0,6.15,0.09,5.72,0.0,21.78,2840.8
48,60,1.39,0.0,6.06,0.1,5.83,0.0,23.32,2899.79
49,60,1.43,0.0,5.97,0.1,5.96,0.0,24.45,2962.07
50,60,1.12,0.0,5.45,0.1,5.76,0.0,24.55,3021.49
51,60,1.08,0.0,5.17,0.13,5.56,0.0,23.03,3070.71
52,60,1.1,0.0,4.17,0.12,5.41,0.0,21.74,3140.48
53,60,0.95,0.0,3.85,0.11,5.14,0.0,18.95,3197.94
54,60,0.94,0.0,3.92,0.1,4.93,0.0,17.73,3260.38
55,60,1.05,0.0,4.44,0.09,4.87,0.0,17.45,3317.78
56,60,0.98,0.0,3.92,0.09,4.75,0.0,15.74,3382.53
57,60,0.92,0.0,4.35,0.01,4.6,0.0,14.49,3439.21
58,60,0.87,0.0,4.41,0.1,4.43,0.0,14.51,3498.5
59,60,0.85,0.0,5.08,0.1,4.29,0.0,14.63,3560.18
60,60,0.98,0.0,5.45,0.1,4.31,0.0,17.0,3620.87
61,60,0.95,0.0,4.76,0.11,4.3,0.0,17.64,3682.91
