Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,1.37,0.0,33.33,0.92,1.3,0.0,32.33,96.47
2,60,1.47,0.0,18.18,0.85,2.36,0.0,43.05,156.66
3,60,1.36,0.0,14.29,0.78,3.09,0.0,47.72,217.19
4,60,1.11,0.0,12.5,0.72,3.42,0.0,47.71,276.72
5,60,1.12,0.0,13.79,0.67,3.66,0.0,45.49,337.36
6,60,1.07,0.0,12.5,0.61,3.77,0.0,44.96,397.71
7,60,1.07,0.0,10.81,0.57,3.84,0.0,45.78,457.91
8,60,1.04,0.0,9.76,0.52,3.85,0.0,45.36,517.38
9,60,1.07,0.0,8.0,0.48,3.86,0.0,43.26,578.4
10,60,1.02,0.0,7.14,0.44,3.81,0.0,40.72,637.41
11,60,1.01,0.0,5.56,0.41,3.73,0.0,37.08,696.92
12,60,0.86,0.0,4.55,0.45,3.52,0.0,32.54,759.67
13,60,0.84,0.0,4.55,0.45,3.34,0.0,26.87,818.59
14,60,0.92,0.0,4.76,0.45,3.26,0.0,22.26,877.79
15,60,0.9,0.0,5.56,0.45,3.19,0.0,18.2,937.75
16,60,0.96,0.0,5.88,0.46,3.21,0.0,18.79,997.74
17,60,0.93,0.0,5.77,0.46,3.23,0.0,16.81,1057.38
18,60,1.1,0.0,6.9,0.47,3.39,0.0,19.41,1117.99
19,60,1.08,0.0,6.78,0.47,3.5,0.0,21.36,1178.34
20,60,1.04,0.0,6.78,0.48,3.56,0.0,22.92,1237.38
21,60,1.0,0.0,6.9,0.48,3.58,0.0,24.26,1297.82
22,60,1.03,0.0,6.78,0.17,3.61,0.0,25.21,1357.42
23,60,1.03,0.0,3.64,0.48,3.64,0.0,22.7,1416.4
24,60,0.98,0.0,3.57,0.49,3.63,0.0,20.63,1477.44
25,60,1.03,0.0,4.62,0.49,3.67,0.0,17.3,1537.19
26,60,1.03,0.0,4.55,0.5,3.7,0.0,14.61,1597.57
27,60,1.09,0.0,4.62,0.5,3.78,0.0,15.9,1656.69
28,60,0.87,0.0,3.57,0.5,3.65,0.0,15.74,1718.25
29,60,0.89,0.0,3.92,0.24,3.57,0.0,14.13,1777.9
30,60,0.91,0.0,3.77,0.22,3.54,0.0,12.91,1838.14
31,60,1.01,0.0,4.92,0.2,3.61,0.0,11.94,1896.68
32,60,1.06,0.0,3.85,0.19,3.73,0.0,11.96,1957.3
33,60,1.03,0.0,3.92,0.17,3.81,0.0,12.75,2019.38
34,60,1.05,0.0,3.77,0.16,3.91,0.0,13.59,2076.83
35,60,0.97,0.0,3.7,0.15,3.92,0.0,14.18,2138.43
36,60,0.97,0.0,3.77,0.13,3.93,0.0,14.58,2197.89
37,60,0.96,0.0,4.08,0.12,3.93,0.0,13.79,2257.27
38,60,1.06,0.0,3.85,0.11,4.03,0.0,14.0,2317.56
39,60,1.05,0.0,5.36,0.11,4.11,0.0,14.28,2377.25
40,60,1.11,0.0,5.26,0.1,4.22,0.0,15.91,2437.18
41,60,1.02,0.0,3.64,0.09,4.23,0.0,16.23,2498.54
42,60,1.08,0.0,6.25,0.08,4.3,0.0,16.65,2556.22
43,60,1.16,0.0,6.15,0.35,4.44,0.0,19.18,2617.4
44,60,1.36,0.0,6.45,0.35,4.76,0.0,21.19,2678.44
45,60,1.56,0.0,7.58,0.36,5.21,0.0,24.21,2737.42
46,60,1.59,0.0,8.2,0.08,5.61,0.0,26.28,2798.64
47,60,1.69,0.0,8.47,0.08,6.02,0.0,26.45,2856.64
48,60,1.69,0.0,8.62,0.36,6.35,0.0,29.56,2916.97
49,60,1.73,0.0,7.27,0.09,6.66,0.0,30.69,2977.08
50,60,1.77,0.0,7.27,0.1,6.94,0.0,31.58,3036.42
51,60,1.85,0.0,7.84,0.11,7.25,0.0,32.85,3098.11
52,60,1.72,0.0,7.55,0.11,7.36,0.0,33.56,3156.78
53,60,1.83,0.0,7.69,0.37,7.56,0.0,34.26,3218.68
54,60,1.7,0.0,5.45,0.38,7.59,0.0,31.04,3277.8
55,60,1.68,0.0,5.77,0.38,7.59,0.0,30.3,3337.01
56,60,1.5,0.0,5.36,0.14,7.42,0.0,28.02,3398.64
57,60,1.43,0.0,5.66,0.15,7.2,0.0,24.11,3455.38
58,60,1.43,0.0,5.45,0.2,7.04,0.0,21.39,3517.13
59,60,1.3,0.0,5.08,0.19,6.78,0.0,21.71,3577.98
60,60,1.16,0.0,5.26,0.17,6.43,0.0,19.1,3637.49
61,60,1.17,0.0,5.17,0.16,6.17,0.0,20.35,3697.4
62,60,1.23,0.0,5.0,0.16,6.02,0.0,21.17,3756.63
63,60,1.09,0.0,3.92,0.41,5.76,0.0,20.33,3818.15
64,60,1.03,0.0,4.92,0.42,5.51,0.0,19.65,3878.27
65,60,0.93,0.0,5.77,0.19,5.2,0.0,17.29,3936.94
66,60,0.98,0.0,5.56,0.2,5.02,0.0,18.49,3997.46
67,60,0.95,0.0,5.45,0.2,4.84,0.0,19.8,4057.4
68,60,1.05,0.0,5.17,0.2,4.8,0.0,18.96,4117.79
69,60,1.06,0.0,5.45,0.45,4.79,0.0,18.18,4177.77
70,60,1.19,0.0,5.56,0.46,4.91,0.0,19.46,4236.58
71,60,1.23,0.0,5.45,0.19,5.05,0.0,18.72,4297.73
72,60,1.28,0.0,5.17,0.18,5.2,0.0,18.42,4357.96
73,60,1.27,0.0,5.17,0.16,5.33,0.0,19.83,4418.88
74,60,1.15,0.0,5.08,0.15,5.31,0.0,20.87,4477.67
75,60,1.21,0.0,4.92,0.14,5.35,0.0,21.52,4536.47
76,60,1.25,0.0,4.92,0.13,5.42,0.0,22.03,4597.62
77,60,1.23,0.0,4.92,0.12,5.46,0.0,20.91,4656.67
78,60,1.06,0.0,4.92,0.11,5.33,0.0,16.63,4717.21
79,60,1.04,0.0,5.0,0.1,5.2,0.0,17.43,4778.55
80,60,1.03,0.0,5.08,0.09,5.09,0.0,18.79,4837.23
81,60,1.02,0.0,4.84,0.42,4.99,0.0,19.72,4896.6
82,60,0.96,0.0,4.84,0.38,4.86,0.0,20.37,4957.14
83,60,1.05,0.0,4.76,0.35,4.84,0.0,20.88,5018.01
84,60,1.03,0.0,4.76,0.33,4.8,0.0,21.29,5077.27
85,60,1.0,0.0,4.84,0.3,4.75,0.0,20.61,5137.46
86,60,1.05,0.0,3.85,0.28,4.76,0.0,18.05,5196.95
87,60,1.1,0.0,3.77,0.26,4.82,0.0,15.92,5256.54
88,60,1.14,0.0,3.77,0.06,4.9,0.0,14.47,5316.12
89,60,1.16,0.0,3.85,0.07,5.0,0.0,15.23,5377.37
90,60,1.12,0.0,3.7,0.07,5.05,0.0,14.2,5436.39
91,60,1.2,0.0,3.77,0.07,5.16,0.0,13.65,5497.15
92,60,1.2,0.0,5.36,0.07,5.25,0.0,14.5,5557.84
93,60,1.16,0.0,5.36,0.08,5.28,0.0,15.78,5618.9
94,60,1.26,0.0,6.0,0.14,5.41,0.0,18.54,5677.09
95,60,1.26,0.0,6.0,0.09,5.51,0.0,20.73,5737.28
96,60,1.2,0.0,5.66,0.12,5.53,0.0,21.14,5796.59
97,60,1.16,0.0,6.0,0.1,5.51,0.0,22.81,5857.68
98,60,1.13,0.0,6.0,0.1,5.47,0.0,24.13,5916.75
99,60,1.14,0.0,6.0,0.1,5.44,0.0,25.18,5977.75
100,60,1.11,0.0,6.0,0.11,5.39,0.0,26.01,6037.24
101,60,0.96,0.0,4.84,0.12,5.19,0.0,22.75,6097.26
102,60,0.91,0.0,4.69,0.12,5.0,0.0,20.04,6157.74
103,60,0.88,0.0,4.48,0.13,4.81,0.0,18.48,6217.39
104,60,0.83,0.0,4.55,0.14,4.61,0.0,19.1,6277.47
105,60,0.89,0.0,4.69,0.11,4.51,0.0,19.73,6336.81
106,60,0.92,0.0,3.39,0.11,4.46,0.0,17.11,6397.17
107,60,0.95,0.0,4.76,0.15,4.45,0.0,16.62,6455.79
108,60,1.03,0.0,4.69,0.16,4.52,0.0,16.17,6515.79
109,60,1.12,0.0,4.41,0.12,4.67,0.0,17.09,6577.52
110,60,1.12,0.0,5.8,0.12,4.78,0.0,19.21,6636.93
111,60,1.2,0.0,6.45,0.13,4.96,0.0,21.24,6697.21
112,60,1.31,0.0,7.58,0.13,5.21,0.0,24.28,6756.04
113,60,1.35,0.0,7.81,0.13,5.46,0.0,26.94,6815.99
114,60,1.5,0.0,6.9,0.12,5.79,0.0,27.8,6876.97
115,60,1.39,0.0,6.9,0.11,5.96,0.0,28.27,6937.97
116,60,1.33,0.0,6.45,0.1,6.02,0.0,28.73,6997.33
117,60,1.19,0.0,5.45,0.09,5.94,0.0,27.56,7056.31
118,60,1.13,0.0,5.56,0.09,5.81,0.0,26.54,7117.06
119,60,1.06,0.0,5.56,0.08,5.64,0.0,26.07,7176.88
120,60,1.1,0.0,5.66,0.07,5.55,0.0,24.16,7236.23
121,60,1.03,0.0,5.66,0.07,5.4,0.0,23.85,7296.1
122,60,0.89,0.0,5.77,0.06,5.15,0.0,24.71,7356.6
123,60,0.87,0.0,5.56,0.06,4.92,0.0,22.11,7417.35
124,60,0.75,0.0,5.56,0.05,4.63,0.0,19.32,7476.87
125,60,0.74,0.0,5.88,0.05,4.38,0.0,20.63,7537.35
126,60,0.85,0.0,5.66,0.04,4.3,0.0,22.05,7597.56
127,60,1.04,0.0,5.66,0.04,4.42,0.0,23.18,7655.6
