Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,22,0.0,0.0,0.0,4.61,0.0,0.0,0.0,-0.0461,-0.0461,-0.0461,0.0,-0.0,-0.0,-0.0461,-0.0461,-0.0461,71.05
2,34,0.0,0.0,0.0,4.61,0.0,0.0,0.0,-0.0736,-0.0886,-0.0461,0.0,-0.0,-0.0,-0.0438,-0.0461,-0.0425,130.89
3,43,0.39,0.0,16.67,4.25,0.31,0.0,13.13,-0.096,-0.1278,0.0356,0.0,0.0,0.0,-0.0378,-0.0461,0.1242,178.73
4,48,0.35,0.0,16.67,3.92,0.31,0.0,14.94,-0.1241,-0.1639,0.0447,0.0,0.0,0.0,-0.0382,-0.0461,0.0092,222.07
5,53,0.69,0.0,20.0,3.61,0.59,0.0,16.39,-0.1452,-0.1972,0.038,0.0,0.0,0.0,-0.0328,-0.0461,0.1639,273.31
6,54,0.68,0.0,20.0,3.33,0.64,0.0,19.61,-0.172,-0.228,0.0306,0.0,0.0,0.0,-0.0331,-0.0461,0.0269,331.36
7,55,0.67,0.0,20.0,3.07,0.63,0.0,20.13,-0.2035,-0.2563,0.0267,0.0,0.0,0.0,-0.031,-0.0425,-0.0001,416.09
8,57,0.94,0.0,20.0,2.83,0.82,0.0,20.13,-0.2227,-0.2824,0.0222,0.0,0.0,0.0,-0.0264,-0.0461,0.1334,483.46
9,58,0.92,0.0,20.0,2.61,0.84,0.0,20.04,-0.2452,-0.3065,0.0178,0.0,0.0,0.0,-0.0263,-0.0461,0.0289,542.91
10,58,0.88,0.0,20.0,2.41,0.79,0.0,19.95,-0.2702,-0.3287,0.0141,0.0,0.0,0.0,-0.025,-0.0425,0.0099,591.52
11,58,1.21,0.0,33.33,2.22,1.25,0.0,39.07,-0.2845,-0.3491,0.1711,0.0,0.0,0.0,-0.0192,-0.0461,0.157,649.43
12,58,1.11,0.0,25.0,2.41,1.2,0.0,31.3,-0.3057,-0.368,0.1091,0.0,0.0,0.0,-0.0223,-0.0933,0.0611,696.42
13,59,0.62,0.0,20.0,1.89,0.59,0.0,19.15,-0.3327,-0.3854,0.0262,0.0,0.0,0.0,-0.0263,-0.3173,0.0689,765.69
14,59,1.51,0.0,50.0,1.74,1.5,0.0,50.2,-0.3424,-0.4014,0.0972,0.0,0.0,0.0,-0.0098,-0.0361,0.4826,824.13
15,59,1.84,0.0,50.0,1.6,2.39,0.0,78.89,-0.3521,-0.4162,0.3201,0.0,0.0,0.0,-0.0096,-0.1407,0.234,895.04
16,59,1.84,0.0,50.0,1.48,2.84,0.0,94.22,-0.3654,-0.4298,0.3945,0.0,0.0,0.0,-0.0133,-0.0307,0.0804,949.02
17,59,1.84,0.0,50.0,1.36,2.98,0.0,100.0,-0.3801,-0.4424,0.3896,0.0,0.0,0.0,-0.0147,-0.0283,0.0321,999.8
18,59,1.13,0.0,50.0,1.26,1.97,0.0,100.0,-0.4047,-0.454,0.3548,0.0,0.0,0.0,-0.0246,-0.5208,-0.0116,1063.97
19,60,1.17,0.0,50.0,1.16,1.99,0.0,100.0,-0.4112,-0.4647,0.32,0.0,0.0,0.0,-0.0133,-0.0461,0.0499,1127.43
20,60,1.17,0.0,50.0,1.07,2.01,0.0,100.0,-0.4239,-0.4746,0.2852,0.0,0.0,0.0,-0.0127,-0.0425,0.0249,1187.3
21,59,1.27,0.0,50.0,1.16,2.17,0.0,100.0,-0.4341,-0.4836,0.2504,0.0,0.0,0.0,-0.0109,-0.0392,0.0765,1251.14
22,60,2.08,0.0,100.0,0.99,2.17,0.0,100.0,-0.4289,-0.492,1.2156,0.0,0.0,0.0,0.0057,-0.0361,0.9652,1306.18
23,60,2.08,0.0,100.0,0.91,2.18,0.0,100.0,-0.4226,-0.4997,2.1808,0.0,0.0,0.0,0.0063,-0.0333,0.9652,1359.33
24,60,0.6,0.0,25.0,0.84,0.89,0.0,31.03,-0.447,-0.5069,1.1487,0.0,0.0,0.0,-0.0245,-1.0321,0.1027,1424.14
25,60,0.33,0.0,20.0,0.77,0.54,0.0,16.9,-0.4615,-0.5134,0.9334,0.0,0.0,0.0,-0.0145,-0.3297,0.1715,1497.15
26,60,0.24,0.0,14.29,0.71,0.41,0.0,13.38,-0.4723,-0.5195,0.7485,0.0,0.0,0.0,-0.0109,-0.1849,0.0022,1557.61
27,60,0.42,0.0,25.0,0.66,0.6,0.0,25.69,-0.4794,-0.5331,0.6005,0.0,0.0,0.0,-0.0071,-0.148,0.1567,1619.17
28,60,0.42,0.0,25.0,0.61,0.64,0.0,30.13,-0.4872,-0.5467,0.4818,0.0,0.0,0.0,-0.0078,-0.1187,0.0468,1674.97
29,59,0.42,0.0,25.0,0.56,0.64,0.0,31.46,-0.4948,-0.5593,0.3867,0.0,0.0,0.0,-0.0075,-0.0951,0.0131,1721.37
30,60,0.56,0.0,33.33,0.84,0.84,0.0,44.99,-0.4996,-0.5709,0.3104,0.0,0.0,0.0,-0.0051,-0.0763,0.1126,1779.78
31,60,0.56,0.0,33.33,0.77,0.9,0.0,49.81,-0.5055,-0.5816,0.2493,0.0,0.0,0.0,-0.0059,-0.0611,0.0212,1812.0
32,60,0.56,0.0,33.33,0.71,0.9,0.0,51.15,-0.5113,-0.5914,0.2003,0.0,0.0,0.0,-0.0058,-0.049,-0.0037,1851.01
