Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,6,0.0,0.0,0.0,0.92,0.0,0.0,0.0,46.99
2,27,0.0,0.0,0.0,0.92,0.0,0.0,0.0,87.94
3,32,0.0,0.0,0.0,0.92,0.0,0.0,0.0,135.61
4,41,1.22,0.0,50.0,0.78,1.2,0.0,49.0,174.28
5,42,1.79,0.0,50.0,0.72,2.68,0.0,88.2,217.28
6,45,1.56,0.0,50.0,0.67,3.08,0.0,100.0,261.38
7,46,1.52,0.0,50.0,0.61,3.26,0.0,100.0,312.38
8,48,1.39,0.0,50.0,0.57,3.25,0.0,100.0,354.69
9,49,1.36,0.0,50.0,0.52,3.28,0.0,100.0,393.29
10,50,1.67,0.0,50.0,0.48,3.61,0.0,100.0,440.28
11,49,1.89,0.0,50.0,0.44,4.18,0.0,100.0,555.49
12,55,1.79,0.0,50.0,0.41,4.19,0.0,100.0,606.61
13,57,1.89,0.0,50.0,0.38,4.57,0.0,100.0,661.19
14,58,1.47,0.0,33.33,0.35,4.85,0.0,100.0,733.02
15,57,1.01,0.0,25.0,0.32,4.91,0.0,79.28,804.75
16,58,1.02,0.0,25.0,0.72,4.83,0.0,79.78,853.6
17,59,0.92,0.0,25.0,0.67,4.66,0.0,88.26,895.72
18,59,1.96,0.0,33.33,0.61,5.58,0.0,100.0,964.43
19,59,1.85,0.0,33.33,0.23,6.05,0.0,100.0,1001.49
20,57,1.34,0.0,25.0,0.21,6.29,0.0,82.53,1036.06
21,59,1.44,0.0,25.0,0.21,6.25,0.0,85.65,1068.99
22,60,1.44,0.0,25.0,0.2,6.31,0.0,93.14,1116.02
23,60,1.49,0.0,33.33,0.18,6.36,0.0,100.0,1213.64
24,59,1.0,0.0,25.0,0.17,6.14,0.0,99.89,1292.91
25,60,1.54,0.0,33.33,0.27,6.25,0.0,100.0,1372.33
26,60,1.63,0.0,33.33,0.25,6.5,0.0,100.0,1428.04
27,60,2.14,0.0,33.33,0.23,7.02,0.0,100.0,1498.25
28,60,1.07,0.0,33.33,0.21,6.65,0.0,97.77,1569.08
29,60,1.31,0.0,33.33,0.2,6.39,0.0,100.0,1654.28
30,60,1.26,0.0,33.33,0.18,6.12,0.0,100.0,1716.16
31,60,0.93,0.0,33.33,0.17,5.57,0.0,100.0,1744.15
32,60,0.97,0.0,33.33,0.15,5.18,0.0,100.0,1764.93
33,58,1.01,0.0,33.33,0.14,5.04,0.0,100.0,1811.41
34,60,2.7,0.0,100.0,0.07,6.35,0.0,100.0,1852.37
35,58,2.3,0.0,100.0,0.06,5.93,0.0,100.0,1870.83
36,60,2.75,0.0,100.0,0.13,5.65,0.0,100.0,1911.68
37,60,3.33,0.0,100.0,0.15,6.01,0.0,100.0,1914.91
38,60,4.17,0.0,100.0,0.14,6.2,0.0,100.0,1951.58
39,60,3.33,0.0,100.0,0.13,5.61,0.0,100.0,1985.3
40,60,3.33,0.0,100.0,0.12,5.14,0.0,100.0,2039.99
41,60,23.33,0.0,100.0,0.11,24.67,0.0,100.0,2229.48
42,60,45.0,0.0,100.0,0.1,46.06,0.0,100.0,2312.51
43,60,53.33,0.0,100.0,0.09,54.19,0.0,100.0,2402.84
44,60,63.33,0.0,100.0,0.09,65.29,0.0,100.0,2451.93
45,60,66.67,0.0,100.0,0.06,68.23,0.0,100.0,2518.94
46,60,75.0,0.0,100.0,0.06,76.23,0.0,100.0,2597.8
47,60,80.0,0.0,100.0,0.04,80.98,0.0,100.0,2641.5
48,59,81.36,0.0,100.0,0.04,82.15,0.0,100.0,2679.3
49,60,85.0,0.0,100.0,0.05,85.62,0.0,100.0,2763.69
50,60,90.0,0.0,100.0,0.05,90.45,0.0,100.0,2804.23
51,60,78.33,0.0,100.0,0.05,89.35,0.0,100.0,2899.7
52,60,65.0,0.0,100.0,0.04,85.79,0.0,100.0,2977.51
53,60,58.33,0.0,100.0,0.04,81.56,0.0,100.0,3018.38
54,60,53.33,0.0,100.0,0.04,77.08,0.0,100.0,3091.27
55,60,50.0,0.0,100.0,0.03,71.64,0.0,100.0,3139.52
56,60,38.33,0.0,100.0,0.03,64.95,0.0,100.0,3209.05
57,60,38.33,0.0,100.0,0.03,59.6,0.0,100.0,3259.82
58,60,36.67,0.0,100.0,0.03,54.99,0.0,100.0,3313.24
59,60,35.0,0.0,100.0,0.02,50.97,0.0,100.0,3357.03
60,60,33.33,0.0,100.0,0.02,47.42,0.0,100.0,3413.76
61,60,28.33,0.0,100.0,0.02,43.58,0.0,100.0,3458.89
62,60,20.0,0.0,100.0,0.02,38.84,0.0,100.0,3529.27
63,60,23.33,0.0,100.0,0.02,38.18,0.0,100.0,3568.65
64,60,16.67,0.0,100.0,0.02,33.86,0.0,100.0,3605.97
65,59,18.64,0.0,100.0,0.01,32.34,0.0,100.0,3649.99
66,60,21.67,0.0,100.0,0.02,33.71,0.0,100.0,3725.25
67,60,26.67,0.0,100.0,0.01,38.68,0.0,100.0,3788.3
68,60,31.67,0.0,100.0,0.01,41.13,0.0,100.0,3875.26
69,60,35.0,0.0,100.0,0.01,43.69,0.0,100.0,3926.28
70,60,33.33,0.0,100.0,0.01,42.88,0.0,100.0,3958.85
71,60,35.0,0.0,100.0,0.01,43.8,0.0,100.0,3999.28
72,60,40.0,0.0,100.0,0.01,48.27,0.0,100.0,4095.62
73,60,45.0,0.0,100.0,0.01,52.79,0.0,100.0,4156.25
74,60,50.0,0.0,100.0,0.01,55.99,0.0,100.0,4214.29
75,60,53.33,0.0,100.0,0.01,59.33,0.0,100.0,4275.23
76,60,53.33,0.0,100.0,0.01,60.7,0.0,100.0,4326.69
77,60,53.33,0.0,100.0,0.01,60.55,0.0,100.0,4368.43
78,60,55.0,0.0,100.0,0.01,63.37,0.0,100.0,4473.06
79,60,60.0,0.0,100.0,0.01,66.59,0.0,100.0,4536.48
80,60,65.0,0.0,100.0,0.01,71.45,0.0,100.0,4592.46
81,60,66.67,0.0,100.0,0.0,74.47,0.0,100.0,4638.83
82,59,66.1,0.0,100.0,0.0,72.44,0.0,100.0,4717.36
83,60,63.33,0.0,100.0,0.03,73.57,0.0,100.0,4775.14
84,59,61.02,0.0,100.0,0.03,72.05,0.0,100.0,4855.79
85,59,64.41,0.0,100.0,0.01,72.1,0.0,100.0,4936.61
86,58,68.97,0.0,100.0,0.01,77.63,0.0,100.0,4992.77
87,60,61.67,0.0,100.0,0.01,75.17,0.43,100.0,5030.49
88,60,56.67,0.0,100.0,0.01,71.47,0.34,100.0,5102.54
89,60,50.0,0.0,100.0,0.01,67.17,0.27,100.0,5174.66
90,60,50.0,0.0,100.0,0.01,65.06,1.41,100.0,5253.11
91,60,46.67,0.0,100.0,0.01,61.38,1.13,100.0,5318.13
92,60,41.67,0.0,100.0,0.01,58.7,0.9,100.0,5354.46
93,60,36.67,0.0,100.0,0.01,54.29,0.72,100.0,5394.73
94,60,35.0,0.0,100.0,0.01,51.74,0.57,100.0,5460.91
95,60,31.67,0.0,100.0,0.01,49.03,0.45,100.0,5535.07
96,60,23.33,0.0,100.0,0.01,43.88,0.36,100.0,5569.83
97,60,23.33,0.0,100.0,0.01,39.77,0.29,100.0,5618.37
98,60,23.33,0.0,100.0,0.01,37.78,0.23,100.0,5668.83
99,60,23.33,0.0,100.0,0.01,37.51,0.21,100.0,5691.2
100,59,25.42,0.0,100.0,0.01,39.47,0.17,100.0,5778.01
101,60,26.67,0.0,100.0,0.0,40.3,0.46,100.0,5840.48
102,60,31.67,0.0,100.0,0.0,43.76,0.57,100.0,5922.86
103,60,35.0,0.0,100.0,0.0,44.54,0.45,100.0,5966.58
104,60,36.67,0.0,100.0,0.0,44.2,0.36,100.0,6018.31
105,60,40.0,0.0,100.0,0.0,48.58,0.28,100.0,6077.7
106,59,44.07,0.0,100.0,0.0,51.88,0.22,100.0,6137.18
107,60,41.67,0.0,100.0,0.01,49.5,0.18,100.0,6188.5
108,60,45.0,0.0,100.0,0.01,52.47,0.14,100.0,6286.14
109,59,55.93,0.0,100.0,0.01,62.02,0.23,100.0,6353.27
110,60,56.67,0.0,100.0,0.0,65.35,0.18,100.0,6434.85
111,60,51.67,0.0,100.0,0.0,62.62,0.14,100.0,6490.56
112,60,50.0,0.0,100.0,0.0,62.71,0.11,100.0,6541.51
113,60,50.0,0.0,100.0,0.0,61.49,0.09,100.0,6601.5
114,60,50.0,0.0,100.0,0.0,61.74,0.07,100.0,6658.97
115,60,45.0,0.0,100.0,0.0,59.72,0.06,100.0,6684.5
116,60,43.33,0.0,100.0,0.0,57.73,0.04,100.0,6732.99
117,60,46.67,0.0,100.0,0.0,58.14,0.03,100.0,6798.09
118,60,45.0,0.0,100.0,0.0,59.48,0.03,100.0,6853.68
119,60,45.0,0.0,100.0,0.0,60.43,0.02,100.0,6951.19
120,60,41.67,0.0,100.0,0.0,58.0,0.02,100.0,6996.76
121,60,41.67,0.0,100.0,0.0,54.73,0.01,100.0,7047.26
122,60,40.0,0.0,100.0,0.0,53.1,0.01,100.0,7103.68
123,60,43.33,0.0,100.0,0.01,55.07,0.15,100.0,7193.08
124,60,46.67,0.0,100.0,0.0,57.25,0.11,100.0,7249.87
125,60,48.33,0.0,100.0,0.0,56.8,1.44,100.0,7300.68
126,60,46.67,0.0,100.0,0.0,54.77,1.15,100.0,7362.34
127,60,50.0,0.0,100.0,0.0,57.59,0.92,100.0,7421.61
128,60,48.33,0.0,100.0,0.0,57.04,0.74,100.0,7469.15
129,60,46.67,0.0,100.0,0.0,60.18,1.15,100.0,7551.73
130,60,43.33,0.0,100.0,0.0,58.05,0.92,100.0,7588.22
131,60,48.33,0.0,100.0,0.0,59.98,0.74,100.0,7665.53
132,60,48.33,0.0,100.0,0.01,60.18,0.59,100.0,7711.9
133,60,46.67,0.0,100.0,0.0,60.09,0.47,100.0,7774.56
134,60,45.0,0.0,100.0,0.0,58.35,0.38,100.0,7843.43
135,60,46.67,0.0,100.0,0.0,58.53,0.3,100.0,7872.93
136,60,45.0,0.0,100.0,0.0,55.82,0.24,100.0,7907.86
