Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,12973,12685,114,0.88,174,1.34,1.0
30-60s,7108,6244,151,2.12,713,10.03,1.0
60-90s,7884,6945,137,1.74,802,10.17,1.0
90-120s,8349,7386,146,1.75,817,9.79,1.0
120-150s,8186,7216,148,1.81,822,10.04,1.0
150-180s,8640,7573,136,1.57,931,10.78,1.0
180-210s,7712,6788,152,1.97,772,10.01,1.0
210-240s,8109,7079,141,1.74,889,10.96,1.0
240-270s,8528,7480,164,1.92,884,10.37,1.0
270-300s,8529,7539,156,1.83,834,9.78,1.0
300-330s,8377,7335,153,1.83,889,10.61,1.0
330-360s,12884,11914,155,1.2,815,6.33,1.0
360-390s,13023,12694,127,0.98,202,1.55,1.0
390-420s,13117,12807,121,0.92,189,1.44,1.0
