Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
<<<<<<< HEAD
0-30s,4561,4512,49,1.07,0,0.0,1.0
30-60s,2038,1810,112,5.5,116,5.69,1.0
60-90s,2743,2449,90,3.28,204,7.44,1.0
90-120s,2968,2624,74,2.49,270,9.1,1.0
120-150s,2974,2648,78,2.62,248,8.34,1.0
150-180s,2934,2616,82,2.79,236,8.04,1.0
180-210s,2812,2502,82,2.92,228,8.11,1.0
210-240s,3355,2975,91,2.71,289,8.61,1.0
240-270s,3016,2681,75,2.49,260,8.62,1.0
270-300s,2972,2669,83,2.79,220,7.4,1.0
300-330s,2845,2522,90,3.16,233,8.19,1.0
330-360s,4250,4043,69,1.62,138,3.25,1.0
360-390s,4020,3977,36,0.9,7,0.17,1.0
390-420s,4292,4229,62,1.44,1,0.02,1.0
=======
0-30s,12452,12259,130,1.04,63,0.51,1.0
30-60s,4500,3975,163,3.62,362,8.04,1.0
60-90s,8896,7881,138,1.55,877,9.86,1.0
90-120s,8406,7516,117,1.39,773,9.2,1.0
120-150s,8172,7216,145,1.77,811,9.92,1.0
150-180s,7716,6847,128,1.66,741,9.6,1.0
180-210s,7694,6803,142,1.85,749,9.73,1.0
210-240s,8185,7289,151,1.84,745,9.1,1.0
240-270s,8409,7500,139,1.65,770,9.16,1.0
270-300s,8750,7740,142,1.62,868,9.92,1.0
300-330s,8500,7561,119,1.4,820,9.65,1.0
330-360s,11876,11313,129,1.09,434,3.65,1.0
360-390s,12420,12128,118,0.95,174,1.4,1.0
390-420s,12487,12140,109,0.87,238,1.91,1.0
>>>>>>> ee307d1 (add elastic defensiveness)
=======
0-30s,10691,10543,97,0.91,51,0.48,1.0
30-60s,4759,4222,152,3.19,385,8.09,1.0
60-90s,9181,8120,155,1.69,906,9.87,1.0
90-120s,8989,7964,150,1.67,875,9.73,1.0
120-150s,8577,7570,134,1.56,873,10.18,1.0
150-180s,8148,7203,124,1.52,821,10.08,1.0
180-210s,8179,7232,154,1.88,793,9.7,1.0
210-240s,8792,7719,167,1.9,906,10.3,1.0
240-270s,8905,7938,150,1.68,817,9.17,1.0
270-300s,9195,8107,147,1.6,941,10.23,1.0
300-330s,8934,7952,138,1.54,844,9.45,1.0
330-360s,10959,10347,113,1.03,499,4.55,1.0
360-390s,10951,10720,124,1.13,107,0.98,1.0
390-420s,10386,10222,102,0.98,62,0.6,1.0
>>>>>>> 5735823 (remove kd)
