Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,60,1.58,0.0,14.29,4.61,1.19,0.0,11.14,-0.0308,-0.0461,0.0929,0.0,-0.0,-0.0,-0.0308,-0.0461,0.0929,79.14
2,60,0.97,0.0,7.69,4.25,0.23,0.0,3.21,-0.0764,-0.0886,0.0113,0.0,0.0,0.0,-0.0456,-0.1016,0.0205,139.08
3,60,1.07,0.0,8.33,3.92,0.18,0.0,3.75,-0.1087,-0.1278,0.0196,0.0,0.0,0.0,-0.0323,-0.0392,0.0408,199.45
4,60,0.91,0.0,6.25,3.61,0.05,0.0,1.19,-0.1397,-0.1639,-0.005,0.0,0.0,0.0,-0.031,-0.0361,-0.0043,258.84
5,60,1.07,0.0,5.56,3.33,0.0,0.0,0.1,-0.1655,-0.1972,-0.0143,0.0,0.0,0.0,-0.0259,-0.0333,0.0165,318.04
6,60,0.99,0.0,4.44,3.07,0.0,0.0,0.0,-0.1897,-0.228,-0.0212,0.0,0.0,0.0,-0.0242,-0.0307,0.0073,378.43
7,60,1.01,0.0,4.0,2.98,0.0,0.0,0.0,-0.2118,-0.2563,-0.0321,0.0,0.0,0.0,-0.0221,-0.0283,0.0016,439.32
8,60,0.99,0.0,3.57,2.98,0.0,0.0,0.0,-0.2323,-0.2824,-0.0472,0.0,0.0,0.0,-0.0205,-0.0261,0.0025,498.99
9,60,0.95,0.0,4.0,2.98,0.0,0.0,0.0,-0.2515,-0.3065,-0.0648,0.0,-0.0,-0.0,-0.0193,-0.025,-0.0004,558.51
10,60,0.92,0.0,3.95,2.95,0.0,0.0,0.0,-0.2696,-0.3287,-0.0777,0.0,-0.0,-0.0,-0.0181,-0.0243,0.0041,619.07
11,60,0.89,0.0,4.82,2.92,0.0,0.0,0.0,-0.2864,-0.3491,-0.0975,0.0,-0.0,-0.0,-0.0168,-0.0343,0.0134,678.47
12,60,0.98,0.0,5.06,2.89,0.0,0.0,0.0,-0.3011,-0.368,-0.1046,0.0,0.0,0.0,-0.0147,-0.0306,0.0158,738.97
13,60,0.94,0.0,6.17,2.89,0.0,0.0,0.22,-0.315,-0.3854,-0.1224,0.0,0.0,0.0,-0.0139,-0.0365,0.0269,798.92
14,60,0.96,0.0,5.13,2.9,0.0,0.0,0.0,-0.3276,-0.4014,-0.1093,0.0,-0.0,-0.0,-0.0126,-0.026,0.0143,858.17
15,60,0.92,0.0,5.0,2.9,0.0,0.0,0.0,-0.3395,-0.4162,-0.0942,0.0,-0.0,-0.0,-0.0119,-0.0328,0.0151,918.8
16,60,0.96,0.0,5.26,2.9,0.0,0.0,0.0,-0.3501,-0.4298,-0.0798,0.0,-0.0,-0.0,-0.0105,-0.0303,0.027,979.22
17,60,1.02,0.0,5.0,2.87,0.0,0.0,0.0,-0.3591,-0.4424,-0.0777,0.0,-0.0,-0.0,-0.009,-0.0279,0.0244,1038.9
18,60,1.05,0.0,3.95,2.74,0.0,0.0,0.0,-0.3671,-0.454,-0.0751,0.0,-0.0,-0.0,-0.008,-0.0257,0.0195,1099.52
19,60,1.08,0.0,4.94,2.63,0.0,0.0,0.0,-0.374,-0.4647,-0.0734,0.0,0.0,0.0,-0.0069,-0.0237,0.0237,1159.0
20,60,1.13,0.0,4.94,2.52,0.0,0.0,0.0,-0.3797,-0.4746,-0.0709,0.0,0.0,0.0,-0.0058,-0.0259,0.0236,1218.7
21,60,1.19,0.0,3.9,2.51,0.0,0.0,0.0,-0.3842,-0.4836,-0.0913,0.0,0.0,0.0,-0.0045,-0.0239,0.019,1278.2
22,60,1.14,0.0,3.9,2.51,0.0,0.0,0.0,-0.3887,-0.492,-0.1104,0.0,0.0,0.0,-0.0045,-0.0219,0.024,1338.73
