Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,1.66,0.0,18.18,1.0,1.52,0.0,17.18,60.25
2,60,1.47,0.0,10.0,1.01,2.46,0.0,22.73,120.19
3,60,1.11,0.0,6.9,1.01,2.82,0.0,24.06,179.89
4,60,1.12,0.0,10.26,1.02,3.07,0.0,28.48,240.21
5,60,1.28,0.0,8.51,1.02,3.34,0.0,30.25,300.46
6,60,1.29,0.0,8.93,1.02,3.52,0.0,32.08,360.73
7,60,1.19,0.0,7.58,1.02,3.53,0.0,32.18,421.15
8,60,1.09,0.0,6.67,1.02,3.43,0.0,31.34,480.08
9,60,1.03,0.0,5.95,1.02,3.28,0.0,29.94,540.58
10,59,1.02,0.0,5.49,1.03,3.17,0.0,28.36,600.57
11,60,0.88,0.0,3.33,0.44,2.85,0.0,24.93,660.87
12,59,0.84,0.0,3.45,0.41,2.62,0.0,22.14,720.2
13,60,0.96,0.0,3.57,0.45,2.5,0.0,19.91,780.69
14,57,0.98,0.0,3.61,0.35,2.51,0.0,15.97,840.77
15,56,0.83,0.0,3.61,0.74,2.31,0.0,12.79,900.61
16,57,0.75,0.0,4.49,0.75,2.29,0.0,9.22,959.9
17,55,0.76,0.0,4.55,0.62,1.94,0.0,10.11,1019.82
18,55,0.95,0.0,4.6,0.7,2.4,0.0,11.85,1080.0
19,60,0.89,0.0,4.65,0.25,2.32,0.0,13.29,1140.58
20,60,0.98,0.0,4.6,0.49,2.43,0.0,14.38,1200.32
21,56,1.14,0.0,5.49,0.45,2.68,0.0,16.14,1259.91
22,59,1.21,0.0,5.68,0.54,2.93,0.0,17.73,1320.25
23,56,1.32,0.0,4.44,0.39,3.2,0.0,16.76,1380.32
24,58,1.38,0.0,4.55,0.15,3.6,0.0,16.07,1440.09
25,58,1.51,0.0,5.43,0.5,3.96,0.0,14.36,1500.71
26,57,1.57,0.0,5.49,0.42,4.28,0.0,16.36,1560.52
27,59,1.68,0.0,6.59,0.18,4.71,0.0,19.05,1619.67
28,56,1.73,0.0,5.68,0.18,5.21,0.0,20.28,1680.32
29,56,1.83,0.0,6.9,0.74,5.32,0.0,22.46,1740.62
