Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,0.61,0.0,20.0,0.92,0.58,0.0,19.0,84.83
2,60,0.85,0.0,6.67,0.85,1.18,0.0,20.86,145.19
3,60,1.23,0.0,7.41,0.78,1.92,0.0,19.84,205.27
4,60,1.17,0.0,5.56,0.72,2.4,0.0,17.79,264.93
5,60,1.06,0.0,4.35,0.67,2.63,0.0,15.49,325.31
6,60,1.06,0.0,3.64,0.61,2.77,0.0,13.76,384.85
7,60,0.98,0.0,3.08,0.57,2.78,0.0,13.08,444.91
8,60,1.0,0.0,4.0,0.52,2.78,0.0,12.48,502.06
9,60,0.99,0.0,3.57,0.48,2.74,0.0,12.58,564.82
10,60,0.96,0.0,3.19,0.57,2.65,0.0,12.29,626.05
11,60,1.03,0.0,3.06,0.57,2.64,0.0,11.92,684.2
12,60,1.04,0.0,4.04,0.57,2.62,0.0,11.06,744.71
13,60,0.94,0.0,3.06,0.57,2.51,0.0,10.98,805.38
14,60,0.99,0.0,4.04,0.57,2.46,0.0,11.93,865.12
15,60,0.96,0.0,4.04,0.57,2.45,0.0,12.68,924.73
16,60,0.97,0.0,4.08,0.57,2.5,0.0,13.32,985.05
17,60,1.01,0.0,3.09,0.58,2.57,0.0,12.83,1044.57
18,60,1.05,0.0,3.13,0.53,2.68,0.0,12.44,1105.22
19,60,1.01,0.0,3.09,0.49,2.74,0.0,12.13,1164.87
20,60,1.01,0.0,3.09,0.45,2.78,0.0,11.87,1224.94
21,60,1.01,0.0,3.09,0.42,2.83,0.0,11.63,1285.42
22,60,1.15,0.0,3.09,0.38,3.02,0.0,10.89,1344.61
23,60,1.22,0.0,3.09,0.35,3.2,0.0,11.39,1404.99
24,60,1.25,0.0,3.06,0.33,3.39,0.0,11.78,1464.42
25,60,1.42,0.0,4.04,0.3,3.71,0.0,11.09,1524.95
26,60,1.49,0.0,4.08,0.3,4.04,0.0,10.82,1584.76
27,60,1.6,0.0,4.04,0.3,4.41,0.0,12.47,1644.78
28,60,1.63,0.0,4.04,0.3,4.71,0.0,13.78,1704.11
29,60,1.79,0.0,4.04,0.31,5.13,0.0,14.82,1764.69
30,60,2.05,0.0,5.94,0.31,5.72,0.0,15.65,1824.33
31,60,2.38,0.0,6.86,0.31,6.5,0.0,18.34,1884.88
32,60,2.86,0.0,7.84,0.32,7.6,0.0,21.91,1944.76
33,60,3.16,0.0,9.62,0.32,8.78,0.0,26.52,2005.25
34,60,3.55,0.0,9.62,0.33,10.11,0.0,30.19,2064.78
35,60,3.95,0.0,8.74,0.33,11.56,0.0,32.24,2124.93
36,60,4.42,0.0,9.62,0.33,13.2,0.0,33.95,2184.83
37,60,4.75,0.0,10.58,0.34,14.83,0.0,36.09,2244.8
38,60,5.08,0.0,10.48,0.35,16.45,0.0,37.89,2304.64
39,60,5.37,0.0,10.48,0.35,18.03,0.0,40.09,2364.87
40,60,5.59,0.0,10.58,0.36,19.51,0.0,41.95,2424.57
41,60,5.29,0.0,9.62,0.37,20.38,0.0,41.59,2484.56
42,60,4.69,0.0,8.74,0.38,20.47,0.0,40.31,2544.47
43,60,4.46,0.0,9.62,0.39,20.31,0.0,38.94,2606.24
44,60,4.2,0.0,7.84,0.4,19.92,0.0,38.13,2663.72
45,60,3.91,0.0,7.84,0.41,19.31,0.0,37.46,2724.71
46,60,3.45,0.0,6.93,0.42,18.36,0.0,36.01,2784.83
47,60,3.12,0.0,7.84,0.43,17.27,0.0,32.91,2844.08
48,60,2.74,0.0,7.84,0.44,16.01,0.0,29.47,2904.56
49,60,2.33,0.0,7.84,0.45,14.6,0.0,28.66,2964.7
50,60,2.13,0.0,7.84,0.45,13.26,1.87,30.23,3024.65
51,60,2.53,0.0,8.74,0.46,12.59,2.36,32.37,3084.36
52,60,3.08,0.0,8.82,0.47,12.6,1.99,34.15,3144.37
53,60,3.41,0.0,8.91,0.47,12.94,1.89,34.58,3204.75
54,60,3.75,0.0,9.71,0.48,13.54,2.81,33.02,3264.68
55,60,4.05,1.02,11.43,0.49,14.32,3.87,33.66,3324.63
56,60,4.45,1.02,12.38,0.5,15.33,3.68,38.62,3384.24
57,60,4.94,1.03,11.43,0.51,16.63,4.54,41.64,3444.25
58,60,5.48,1.03,11.54,0.53,18.19,5.22,44.06,3504.88
59,60,5.94,2.04,12.38,0.54,19.9,5.78,46.94,3564.27
60,60,6.03,2.04,11.43,0.55,21.35,6.48,47.55,3624.25
61,60,5.75,2.02,11.43,0.56,22.23,6.83,48.78,3684.31
62,60,5.36,2.04,10.58,0.57,22.53,7.09,46.25,3744.11
63,60,5.01,1.02,9.62,0.58,22.41,7.29,43.22,3804.24
64,60,4.57,1.02,8.82,0.59,21.87,6.41,41.62,3864.57
65,60,4.12,0.0,8.82,0.59,20.99,4.33,40.73,3924.82
66,60,3.7,0.0,7.84,0.6,19.86,2.72,37.51,3984.31
67,60,3.19,0.0,9.62,0.6,18.43,1.5,34.08,4044.44
68,60,2.57,0.0,8.74,0.61,16.67,0.57,32.48,4104.24
69,60,2.11,0.0,6.86,0.61,14.81,0.0,31.19,4163.95
70,60,1.94,0.0,5.94,0.62,13.16,0.0,29.12,4224.4
71,60,2.42,0.0,5.94,0.62,12.32,1.48,28.26,4283.84
72,60,2.77,0.0,6.93,0.5,11.99,2.97,28.55,4344.43
73,60,3.21,0.0,6.93,0.51,12.17,3.91,27.79,4404.22
74,60,3.6,0.0,7.84,0.51,12.7,2.81,27.17,4463.79
75,60,3.93,1.02,7.84,0.65,13.44,2.94,26.72,4523.15
76,60,4.31,1.03,8.82,0.52,14.41,4.01,26.05,4584.68
77,60,4.9,1.03,8.82,0.53,15.77,3.14,26.79,4644.32
78,60,5.41,1.04,10.68,0.53,17.36,2.45,31.51,4704.26
79,60,5.97,3.03,12.38,0.69,19.18,3.95,36.98,4764.27
80,60,6.05,3.03,13.33,0.7,20.7,6.14,42.31,4824.76
81,60,5.51,2.04,11.54,0.71,21.38,7.88,44.79,4883.99
82,60,5.21,2.02,9.71,0.72,21.61,9.27,44.92,4944.11
83,60,4.6,0.0,8.82,0.74,21.19,7.28,42.3,5003.97
84,60,4.26,1.03,7.92,0.74,20.5,5.88,40.13,5064.42
85,60,3.84,1.02,7.84,0.74,19.52,4.78,37.46,5124.29
86,60,3.6,1.02,7.84,0.75,18.5,4.87,35.25,5183.99
87,60,3.02,1.02,6.93,0.76,17.09,4.94,33.47,5244.13
88,60,2.54,0.0,5.94,0.76,15.49,4.64,31.21,5304.23
89,60,1.97,0.0,5.0,0.77,13.65,3.26,29.4,5363.83
90,60,1.92,0.0,5.94,0.77,12.13,1.99,27.89,5423.92
91,60,2.5,0.0,5.88,0.78,11.49,1.86,26.99,5484.32
92,60,2.82,0.0,6.86,0.78,11.3,1.78,25.95,5544.33
93,60,3.31,0.0,7.84,0.79,11.63,3.67,25.12,5603.7
94,60,3.64,0.0,7.84,0.79,12.22,4.2,24.45,5663.91
95,60,4.17,0.0,9.71,0.8,13.22,2.86,27.39,5721.94
96,60,4.41,0.0,8.91,0.8,14.26,2.8,29.96,5784.07
97,60,4.93,0.0,8.91,0.81,15.59,3.49,32.0,5843.79
98,60,5.42,1.02,10.58,0.81,17.15,4.25,34.51,5904.05
99,60,5.79,1.03,11.43,0.81,18.76,5.73,37.39,5964.36
100,60,5.89,1.03,11.65,0.82,20.13,6.0,40.67,6023.98
101,60,5.4,0.0,11.54,0.82,20.74,4.24,42.32,6083.95
102,60,5.11,1.03,10.58,0.83,20.93,3.86,40.87,6144.18
103,60,4.65,1.02,8.74,0.83,20.61,3.55,40.36,6204.11
104,60,4.36,0.0,9.62,0.83,20.06,3.3,40.35,6264.19
105,60,3.89,0.0,9.62,0.83,19.14,3.1,39.43,6323.51
106,60,3.45,0.0,7.84,0.84,17.96,2.94,38.69,6383.87
107,60,2.98,0.0,6.93,0.84,16.55,2.61,34.24,6444.09
108,60,2.58,0.0,5.94,0.84,15.03,1.68,31.28,6504.43
109,60,2.19,0.0,5.0,0.84,13.43,0.98,28.26,6563.91
110,60,2.14,0.0,5.0,0.58,12.1,0.44,25.84,6623.47
111,60,2.55,0.0,5.94,0.58,11.44,0.04,23.96,6684.14
112,60,3.0,0.0,7.84,0.58,11.36,1.73,24.6,6744.05
113,60,3.55,0.0,8.74,0.58,11.85,2.71,25.74,6803.9
114,60,4.06,1.02,8.74,0.86,12.73,2.76,28.51,6864.0
115,60,4.44,1.02,8.74,0.6,13.82,2.81,30.72,6923.87
116,60,5.06,2.02,10.48,0.61,15.31,3.84,34.22,6984.03
117,60,5.31,2.02,10.58,0.62,16.73,4.69,37.12,7043.87
118,60,5.95,2.04,13.08,0.64,18.5,5.36,39.35,7103.63
119,60,6.18,2.02,13.89,0.65,20.14,5.87,40.8,7163.66
120,60,6.13,1.02,14.02,0.66,21.4,5.29,45.75,7224.02
121,60,5.68,1.02,13.08,0.67,21.94,4.82,48.76,7283.98
122,60,5.23,1.02,12.26,0.68,21.93,4.44,50.36,7343.88
123,60,4.77,1.02,9.71,0.69,21.44,4.14,48.97,7403.97
124,60,4.28,1.02,8.74,0.69,20.56,3.89,46.97,7463.82
125,60,3.84,1.02,7.84,0.69,19.42,3.71,44.46,7523.48
126,60,3.21,0.0,6.86,0.69,17.86,2.56,41.47,7583.77
127,60,2.99,0.0,7.84,0.64,16.41,1.67,38.14,7643.21
128,60,2.29,0.0,5.94,0.59,14.54,1.0,32.56,7703.79
129,60,2.07,0.0,5.94,0.54,12.84,0.48,27.11,7763.96
130,60,2.05,0.0,5.0,0.54,11.47,0.77,23.03,7823.38
131,60,2.64,0.0,5.94,0.55,10.95,0.03,23.04,7884.1
132,60,2.88,0.0,6.86,0.55,10.79,0.0,22.44,7943.81
133,60,3.15,0.0,6.93,0.56,10.92,0.0,22.05,8003.34
134,60,3.46,0.0,8.82,0.57,11.34,0.0,22.57,8063.62
135,60,3.87,1.02,8.74,0.58,12.06,0.56,23.95,8123.57
136,60,4.31,1.03,11.43,0.6,13.09,1.02,29.24,8183.52
137,60,4.55,1.02,12.38,0.6,14.13,2.19,34.48,8243.74
138,60,4.79,1.02,12.26,0.6,15.21,1.99,38.55,8302.91
139,60,5.1,0.0,12.38,0.6,16.37,1.84,40.98,8363.53
140,60,5.06,1.03,11.54,0.6,17.26,1.72,42.06,8423.75
141,60,4.6,1.02,10.58,0.6,17.49,1.62,43.19,8483.38
142,60,4.31,1.02,9.71,0.61,17.4,1.54,43.55,8543.25
143,60,4.04,0.0,9.71,0.63,17.04,1.47,43.04,8603.28
144,60,3.77,0.0,8.82,0.64,16.49,1.69,40.72,8663.17
145,60,3.48,0.0,6.93,0.65,15.75,1.3,37.87,8723.49
146,60,3.12,0.0,6.86,0.65,14.8,0.06,34.69,8783.02
147,60,2.83,0.0,6.86,0.66,13.75,0.0,30.12,8843.42
148,60,2.53,0.0,6.93,0.66,12.63,0.0,27.36,8903.47
149,60,2.2,0.0,5.0,0.66,11.4,0.0,24.6,8963.67
150,60,2.32,0.0,5.0,0.66,10.52,0.17,21.99,9023.36
151,60,2.51,0.0,6.86,0.67,10.03,0.0,23.23,9083.94
152,60,2.92,0.0,6.86,0.67,10.05,0.0,23.28,9143.46
153,60,3.28,0.0,7.84,0.67,10.41,0.18,24.03,9203.48
154,60,3.51,0.0,7.77,0.68,10.92,0.33,23.64,9263.35
155,60,3.9,0.0,8.74,0.68,11.71,0.44,25.8,9323.45
156,60,4.42,0.0,8.74,0.68,12.86,0.0,28.49,9383.43
157,60,4.82,0.0,8.74,0.69,14.18,0.0,30.71,9443.86
158,60,4.99,1.02,9.62,0.7,15.4,0.44,31.5,9503.11
159,60,5.41,1.02,10.58,1.09,16.78,0.81,34.57,9563.54
160,60,5.35,1.02,9.62,1.09,17.82,1.09,36.25,9623.15
161,60,5.11,1.03,9.62,1.1,18.4,2.33,37.57,9683.41
162,60,4.79,1.02,8.74,1.11,18.55,3.32,37.65,9743.46
163,60,4.52,0.0,8.74,1.11,18.38,4.03,37.79,9803.1
164,59,4.18,0.0,8.74,1.12,17.9,3.42,36.02,9863.33
165,60,3.78,0.0,7.84,1.1,17.13,2.95,33.51,9923.29
166,60,3.26,0.0,7.77,1.11,16.0,2.56,33.52,9983.11
167,60,2.74,0.0,8.74,1.12,14.57,1.29,34.5,10043.42
168,60,2.6,0.0,8.74,1.12,13.28,0.33,35.26,10103.09
169,59,2.15,0.0,5.94,1.13,11.7,0.0,33.07,10163.55
170,60,2.13,0.0,5.94,1.54,10.73,0.0,31.3,10223.16
171,59,2.64,0.0,7.77,1.55,10.39,0.0,29.88,10282.35
172,60,3.03,0.0,8.74,0.75,10.31,0.0,27.8,10343.21
173,60,3.33,0.0,9.62,0.75,10.64,0.0,29.38,10403.44
174,60,3.71,0.0,9.62,0.75,11.28,0.0,32.33,10462.8
175,60,3.97,0.0,10.58,0.75,12.04,0.41,35.66,10523.16
176,60,4.5,1.02,10.48,0.75,13.17,2.04,38.22,10583.21
177,60,5.04,2.02,11.43,0.75,14.61,3.11,41.22,10643.91
178,60,5.49,2.02,12.26,0.76,16.2,4.83,44.45,10703.09
179,60,5.83,2.02,12.26,0.76,17.81,5.32,47.04,10763.55
180,60,5.84,2.02,11.43,0.76,19.1,5.26,48.28,10823.38
181,60,5.43,2.02,11.43,0.77,19.71,6.04,47.44,10882.72
182,59,5.07,1.02,9.62,0.77,19.73,5.97,46.75,10943.62
183,59,4.81,1.02,8.74,0.64,19.71,5.75,44.34,11003.32
184,60,4.47,0.0,8.74,0.99,19.19,5.57,42.4,11063.16
185,60,4.11,1.02,7.84,0.99,18.44,5.44,38.95,11123.47
186,60,3.48,1.02,7.77,0.66,17.21,4.65,35.9,11183.09
187,60,2.97,0.0,6.86,0.66,15.71,4.77,34.83,11243.07
188,60,2.42,0.0,5.94,1.01,13.97,2.83,31.1,11303.04
189,60,2.12,0.0,5.94,1.01,12.29,1.33,27.15,11363.49
190,60,2.18,0.0,5.0,1.01,11.02,0.2,22.97,11423.42
191,60,2.69,0.0,6.86,1.01,10.52,0.0,22.98,11483.66
192,60,3.07,0.0,7.84,1.02,10.5,0.44,24.96,11543.49
193,60,3.32,0.0,7.84,1.03,10.72,0.44,25.56,11603.06
194,59,3.45,0.0,8.74,1.03,10.89,0.06,26.23,11663.24
195,59,3.92,0.0,9.71,1.39,11.89,0.95,29.88,11722.71
196,59,4.34,0.0,8.74,1.22,12.67,1.05,31.81,11782.44
197,59,4.75,0.0,9.62,0.9,14.07,1.59,33.34,11842.6
198,60,5.15,1.02,9.62,0.73,15.22,1.13,34.55,11903.19
199,59,5.47,1.02,10.58,0.73,16.66,1.2,37.26,11962.76
200,57,5.41,1.02,11.43,1.36,17.71,1.26,39.53,12022.55
201,57,4.8,1.02,10.58,0.85,17.84,1.3,39.49,12081.39
202,60,4.32,1.02,9.71,0.71,17.54,1.33,38.63,12141.81
203,60,3.84,0.0,9.71,1.14,16.83,0.39,36.62,12203.23
204,59,3.38,0.0,8.82,1.0,15.59,0.0,35.43,12263.63
205,60,3.02,0.0,8.82,1.02,14.69,0.0,35.9,12322.28
206,57,2.71,0.0,7.84,1.03,13.85,0.46,35.28,12382.79
207,60,2.28,0.0,7.92,1.06,11.95,0.82,34.86,12443.26
208,60,1.58,0.0,5.0,1.06,10.13,0.03,30.63,12502.67
209,60,1.29,0.0,4.04,1.06,8.41,0.0,25.48,12562.82
210,59,0.82,0.0,4.04,1.05,6.56,0.0,22.22,12623.25
211,60,0.84,0.0,4.04,0.96,5.28,0.0,19.64,12683.13
212,60,0.85,0.0,4.04,0.88,4.24,0.0,17.54,12743.56
213,60,0.9,0.0,4.04,0.88,3.5,0.0,15.86,12802.69
214,60,0.93,0.0,4.04,0.88,3.0,0.0,14.51,12863.26
215,60,0.92,0.0,4.0,0.88,2.61,0.0,13.67,12923.0
216,60,0.78,0.0,3.03,0.88,2.18,0.0,12.56,12982.87
217,59,0.84,0.0,4.04,0.88,1.95,0.0,12.82,13043.25
218,60,0.9,0.0,4.0,0.83,1.82,0.0,13.04,13102.93
219,60,0.87,0.0,4.0,0.76,1.76,0.0,12.53,13162.33
220,22,1.02,0.0,2.04,0.7,1.86,0.0,10.6,13179.27
