Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,1431,1416,15,1.05,0,0.0,1.0
10-20s,1436,1412,19,1.32,5,0.35,1.0
20-30s,1387,1352,23,1.66,12,0.87,2.0
30-40s,1401,1306,79,5.64,16,1.14,6.0
40-50s,1514,1418,31,2.05,65,4.29,2.0
50-60s,1358,1259,72,5.3,27,1.99,6.0
60-70s,1577,1464,37,2.35,76,4.82,2.0
70-80s,1516,1408,73,4.82,35,2.31,6.0
80-90s,1562,1474,32,2.05,56,3.59,2.0
90-100s,1674,1551,89,5.32,34,2.03,6.0
100-110s,1332,1219,36,2.7,77,5.78,2.0
110-120s,1458,1345,79,5.42,34,2.33,6.0
120-130s,1522,1390,26,1.71,106,6.96,2.0
130-140s,1380,1275,83,6.01,22,1.59,6.0
140-150s,1600,1483,30,1.88,87,5.44,2.0
150-160s,1511,1401,81,5.36,29,1.92,6.0
160-170s,1623,1495,39,2.4,89,5.48,2.0
170-180s,1580,1468,83,5.25,29,1.84,6.0
180-190s,1504,1407,30,1.99,67,4.45,2.0
190-200s,1527,1397,100,6.55,30,1.96,6.0
200-210s,1610,1484,17,1.06,109,6.77,1.0
210-220s,1447,1420,9,0.62,18,1.24,1.0
