Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-10s,5298,5243,55,1.04,0,0.0,1.0
10-20s,5448,5396,52,0.95,0,0.0,1.0
20-30s,5470,5355,115,2.1,0,0.0,2.0
30-40s,7390,5093,345,4.67,1952,26.41,6.0
40-50s,7628,4130,75,0.98,3423,44.87,2.0
50-60s,7554,4057,268,3.55,3229,42.75,6.0
60-70s,7735,4080,87,1.12,3568,46.13,2.0
70-80s,7701,4298,296,3.84,3107,40.35,6.0
80-90s,7739,4510,107,1.38,3122,40.34,2.0
90-100s,7706,4219,258,3.35,3229,41.9,6.0
100-110s,7647,4404,94,1.23,3149,41.18,2.0
110-120s,7633,4360,259,3.39,3014,39.49,6.0
120-130s,7601,4064,96,1.26,3441,45.27,2.0
130-140s,7645,4017,248,3.24,3380,44.21,6.0
140-150s,7766,4527,101,1.3,3138,40.41,2.0
150-160s,7667,4187,269,3.51,3211,41.88,6.0
160-170s,7670,4471,90,1.17,3109,40.53,2.0
170-180s,7900,4996,322,4.08,2582,32.68,6.0
180-190s,7802,4578,103,1.32,3121,40.0,2.0
190-200s,7729,3738,217,2.81,3774,48.83,6.0
200-210s,7777,3951,41,0.53,3785,48.67,1.0
210-220s,6247,5124,51,0.82,1072,17.16,1.0
