Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,24,0.0,0.0,0.0,4.61,0.0,0.0,0.0,-0.0461,-0.0461,-0.0461,0.0,-0.0,-0.0,-0.0461,-0.0461,-0.0461,51.38
2,49,0.0,0.0,0.0,4.25,0.0,0.0,0.0,-0.0669,-0.0886,-0.0461,0.0,0.0,0.0,-0.0443,-0.0461,-0.0425,102.04
3,54,0.0,0.0,0.0,3.92,0.0,0.0,0.0,-0.1021,-0.1278,-0.0461,0.0,0.0,0.0,-0.0414,-0.0461,-0.0392,156.95
4,54,0.0,0.0,0.0,3.61,0.0,0.0,0.0,-0.1402,-0.1639,-0.0886,0.0,0.0,0.0,-0.0381,-0.0425,-0.0361,204.36
5,56,0.89,0.0,50.0,3.33,0.94,0.0,52.74,-0.1619,-0.1972,0.333,0.0,0.0,0.0,-0.0267,-0.0461,0.4608,247.21
6,56,0.89,0.0,50.0,3.07,1.44,0.0,80.57,-0.1909,-0.228,0.5095,0.0,0.0,0.0,-0.029,-0.0425,0.1764,296.01
7,56,1.49,0.0,50.0,2.83,2.26,0.0,93.93,-0.2142,-0.2563,0.5358,0.0,0.0,0.0,-0.0233,-0.0392,0.2972,343.05
8,56,1.49,0.0,50.0,2.61,2.55,0.0,99.17,-0.2406,-0.2824,0.4902,0.0,0.0,0.0,-0.0264,-0.0456,0.0696,383.79
9,56,2.04,0.0,50.0,2.41,2.97,0.0,100.0,-0.2613,-0.3065,0.4163,0.0,0.0,0.0,-0.0207,-0.0739,0.1739,429.27
10,56,1.99,0.0,50.0,2.22,2.98,0.0,98.92,-0.2841,-0.3287,0.3379,0.0,0.0,0.0,-0.0228,-0.0784,0.0482,481.47
11,56,2.07,0.0,50.0,2.05,3.08,0.0,96.97,-0.3044,-0.3491,0.2654,0.0,0.0,0.0,-0.0203,-0.0726,0.0778,541.12
12,57,2.91,0.0,100.0,1.89,3.11,0.0,100.0,-0.3017,-0.368,1.1882,0.0,0.0,0.0,-0.0027,-0.0461,0.9228,622.07
13,59,6.46,0.0,100.0,1.74,6.35,0.0,100.0,-0.2527,-0.3854,2.1098,0.0,0.0,0.0,0.0388,-0.0461,0.95,709.41
14,59,6.46,0.0,100.0,1.6,6.56,0.0,100.0,-0.2194,-0.4014,3.0314,0.0,0.0,0.0,0.0333,-0.0425,0.9277,795.04
15,60,4.63,0.0,100.0,1.48,5.2,0.0,100.0,-0.2188,-0.4162,2.9078,0.0,0.0,0.0,-0.0031,-1.0723,0.9277,849.51
16,60,4.63,0.0,100.0,1.36,5.12,0.0,100.0,-0.208,-0.4298,3.8356,0.0,0.0,0.0,0.0108,-0.3635,0.9277,898.31
17,60,2.82,0.0,100.0,1.26,3.97,0.0,100.0,-0.2301,-0.4424,4.55,0.0,0.0,0.0,-0.0221,-1.0666,0.9,964.37
18,60,2.69,0.0,100.0,1.16,3.54,0.0,100.0,-0.2412,-0.454,5.45,0.0,0.0,0.0,-0.0111,-0.5328,0.9,1024.51
19,60,2.67,0.0,100.0,1.07,3.6,0.0,100.0,-0.2469,-0.4647,6.35,0.0,0.0,0.0,-0.0058,-0.4412,0.9,1078.26
20,60,2.65,0.0,100.0,0.99,3.83,0.0,100.0,-0.2487,-0.4746,7.25,0.0,0.0,0.0,-0.0018,-0.3537,0.9,1118.38
21,60,2.65,0.0,100.0,0.91,3.89,0.0,100.0,-0.2499,-0.4836,8.15,0.0,0.0,0.0,-0.0012,-0.284,0.9,1174.63
22,60,3.48,0.0,100.0,0.84,3.8,0.0,100.0,-0.2333,-0.492,9.05,0.0,0.0,0.0,0.0166,-0.2279,0.9591,1246.52
23,60,0.0,0.0,0.0,0.77,2.04,0.0,100.0,-0.2831,-0.4997,7.9578,0.0,0.0,0.0,-0.0498,-1.0922,-0.0077,1290.56
