Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,11,34.09,0.0,100.0,0.92,33.64,0.0,99.0,55.32
2,47,26.06,0.0,100.0,0.92,26.95,0.0,100.0,110.13
3,55,25.93,0.0,100.0,0.85,34.66,0.0,100.0,160.42
4,59,25.71,0.0,100.0,1.0,38.04,0.0,100.0,203.15
5,60,28.17,0.0,100.0,1.0,43.6,0.0,100.0,241.17
6,59,27.62,0.0,100.0,1.0,46.47,0.0,100.0,277.59
7,59,28.53,0.0,100.0,1.0,49.01,0.0,100.0,308.48
8,60,28.67,0.0,100.0,1.0,51.48,0.0,100.0,346.39
9,60,29.03,0.0,100.0,1.0,53.11,0.0,100.0,375.53
10,60,25.78,0.0,100.0,1.0,53.59,0.0,100.0,404.98
11,60,18.8,0.0,100.0,1.0,51.61,0.0,100.0,430.71
12,60,12.2,0.0,100.0,0.92,47.62,0.0,100.0,472.71
13,60,12.71,0.0,100.0,0.85,45.35,0.0,100.0,518.0
14,60,9.8,0.0,100.0,0.78,42.31,0.0,100.0,560.23
15,60,7.37,0.0,100.0,0.72,38.84,0.0,100.0,608.42
16,60,6.21,0.0,50.0,0.67,35.91,0.0,100.0,652.83
17,60,6.39,0.0,50.0,0.57,33.24,0.0,100.0,710.37
18,60,8.49,0.0,50.0,0.57,32.46,0.0,100.0,752.06
19,60,8.88,0.0,66.67,0.57,32.27,0.0,100.0,792.88
20,59,10.06,0.0,66.67,0.57,33.56,0.0,100.0,837.73
21,59,10.36,0.0,66.67,0.41,33.41,0.0,100.0,883.58
22,60,14.89,0.0,100.0,0.75,36.91,0.0,100.0,925.9
23,60,12.84,0.0,100.0,0.75,37.48,0.0,100.0,963.54
24,60,13.01,0.0,100.0,0.75,37.79,0.0,100.0,1000.15
25,60,12.38,0.0,100.0,0.75,38.45,0.0,100.0,1038.74
26,59,12.28,0.0,100.0,0.27,38.8,0.0,100.0,1072.67
27,59,15.36,0.0,100.0,0.57,42.06,0.0,100.0,1119.17
28,59,14.89,0.0,100.0,0.52,43.68,0.0,100.0,1160.79
29,60,13.3,0.0,100.0,0.32,42.98,0.0,100.0,1206.73
30,59,11.51,0.0,100.0,0.32,42.25,0.0,100.0,1251.48
31,60,10.97,0.0,100.0,0.36,40.34,0.0,100.0,1297.34
32,60,10.82,0.0,60.0,0.36,41.07,0.0,100.0,1336.9
33,60,13.88,0.0,75.0,0.36,43.59,0.0,100.0,1372.75
34,60,19.32,0.0,100.0,0.36,48.99,0.0,100.0,1418.39
35,60,24.69,0.0,100.0,0.36,56.02,0.0,100.0,1462.44
36,58,33.0,0.0,100.0,0.36,64.68,0.0,100.0,1499.18
37,60,34.03,0.0,100.0,0.48,74.54,0.0,100.0,1538.21
38,59,45.77,0.0,100.0,0.34,83.62,0.0,100.0,1579.82
39,60,54.58,0.0,100.0,0.22,89.46,0.0,100.0,1622.02
40,58,62.47,0.0,100.0,0.48,91.86,0.0,100.0,1663.87
41,60,69.05,0.0,100.0,0.2,93.73,0.0,100.0,1723.73
42,59,68.81,0.0,100.0,0.2,94.34,0.0,100.0,1780.14
43,60,71.76,0.0,100.0,0.07,90.97,0.0,100.0,1831.42
44,60,70.54,0.0,100.0,0.07,87.71,0.0,100.0,1895.09
45,60,65.32,0.0,100.0,0.06,83.42,0.0,100.0,1939.89
46,59,50.85,0.0,100.0,0.06,76.56,0.0,100.0,1986.98
47,60,38.89,0.0,100.0,0.41,69.64,0.0,100.0,2033.48
48,60,25.36,0.0,100.0,0.41,64.02,0.0,100.0,2069.3
49,60,31.74,0.0,100.0,0.38,67.2,0.0,100.0,2116.05
50,60,37.46,0.0,100.0,0.35,69.19,0.0,100.0,2155.46
51,48,51.34,0.0,100.0,0.35,77.09,0.0,100.0,2187.46
52,60,61.21,0.0,100.0,0.23,80.68,0.0,100.0,2207.44
53,60,71.9,0.0,100.0,0.15,86.34,0.0,100.0,2243.98
54,60,74.52,0.0,100.0,0.15,87.4,0.0,100.0,2281.66
55,60,76.59,0.0,100.0,0.15,87.84,0.0,100.0,2321.23
56,60,80.63,0.0,100.0,0.15,89.01,0.0,100.0,2409.32
57,60,85.17,0.0,100.0,0.15,88.86,0.0,100.0,2474.39
58,60,81.67,0.0,100.0,0.15,87.4,0.0,100.0,2519.15
59,60,61.67,0.0,100.0,0.15,82.19,0.0,100.0,2563.34
60,60,48.33,0.0,100.0,0.25,75.33,0.0,100.0,2602.46
61,60,33.75,0.0,100.0,0.25,68.81,0.0,100.0,2646.23
62,60,39.65,0.0,100.0,0.23,70.66,0.0,100.0,2691.57
63,59,43.27,0.0,100.0,0.21,71.51,0.0,100.0,2733.32
64,60,51.72,0.0,100.0,0.12,74.92,0.0,100.0,2778.4
65,60,61.72,0.0,100.0,0.12,79.1,0.0,100.0,2821.57
66,60,67.64,0.0,100.0,0.12,81.24,0.0,100.0,2867.43
67,60,67.7,0.0,100.0,0.12,80.05,0.0,100.0,2914.57
68,60,73.67,0.0,100.0,0.12,83.0,0.0,100.0,2949.47
69,60,76.04,0.0,100.0,0.12,84.05,0.0,100.0,3019.35
70,60,78.82,0.0,100.0,0.12,84.53,0.0,100.0,3068.61
71,60,74.83,0.0,100.0,0.12,83.07,0.0,100.0,3115.64
72,60,54.0,0.0,100.0,0.12,78.23,0.0,100.0,3156.62
73,60,45.94,0.0,100.0,0.12,73.77,0.0,100.0,3197.07
74,60,40.17,0.0,100.0,0.12,70.75,0.0,100.0,3236.7
75,60,43.75,0.0,100.0,0.11,71.55,0.0,100.0,3290.49
76,60,59.75,0.0,100.0,0.1,78.69,0.0,100.0,3329.19
77,60,68.25,0.0,100.0,0.09,80.47,0.0,100.0,3383.91
78,60,64.92,0.0,100.0,0.09,79.43,0.0,100.0,3425.51
79,60,70.28,0.0,100.0,0.09,80.44,0.0,100.0,3471.71
80,60,71.28,0.0,100.0,0.09,79.32,0.0,100.0,3532.22
81,60,73.61,0.0,100.0,0.09,79.09,0.0,100.0,3593.64
82,60,72.5,0.0,100.0,0.09,77.92,0.0,100.0,3638.89
83,60,68.33,0.0,100.0,0.09,76.82,0.0,100.0,3676.36
84,60,62.63,0.0,100.0,0.09,77.1,0.0,100.0,3723.05
85,60,56.04,0.0,100.0,0.09,78.55,0.0,100.0,3767.78
86,60,40.87,0.0,100.0,0.09,75.86,0.0,100.0,3804.0
87,60,40.87,0.0,100.0,0.09,73.1,0.0,100.0,3857.88
88,60,46.15,0.0,100.0,0.09,71.67,0.0,100.0,3901.53
89,60,50.63,0.0,100.0,0.08,74.04,0.0,100.0,3938.47
90,60,63.35,0.0,100.0,0.07,79.27,0.0,100.0,3992.23
91,60,68.16,0.0,100.0,0.07,80.55,0.0,100.0,4042.66
92,60,73.44,0.0,100.0,0.06,83.65,0.0,100.0,4099.66
93,60,75.72,0.0,100.0,0.06,84.98,0.0,100.0,4155.27
94,60,73.78,0.0,100.0,0.05,85.52,0.0,100.0,4198.79
95,60,61.83,0.0,100.0,0.05,82.7,0.0,100.0,4246.22
96,60,52.94,0.0,100.0,0.05,79.48,0.0,100.0,4284.59
97,60,53.36,0.0,100.0,0.04,79.05,0.0,100.0,4326.3
98,60,60.58,0.0,100.0,0.04,82.64,0.0,100.0,4373.82
99,60,58.22,0.0,100.0,0.04,83.0,0.0,100.0,4414.05
100,60,53.75,0.0,100.0,0.03,81.62,0.0,100.0,4468.6
101,60,58.67,0.0,100.0,0.03,82.81,0.0,100.0,4516.21
102,60,61.17,0.0,100.0,0.03,83.24,0.0,100.0,4566.06
103,60,61.06,0.0,100.0,0.03,81.93,0.0,100.0,4619.69
104,60,65.08,0.0,100.0,0.03,82.07,0.0,100.0,4660.53
105,60,78.86,0.0,100.0,0.03,88.77,0.0,100.0,4708.04
106,59,75.65,0.0,100.0,0.03,88.67,0.0,100.0,4757.28
107,60,71.78,0.0,100.0,0.01,88.6,5.46,100.0,4799.35
108,60,61.78,0.0,100.0,0.01,86.65,4.36,100.0,4848.77
109,60,56.78,0.0,100.0,0.01,83.13,3.49,100.0,4892.06
110,60,57.19,0.0,100.0,0.01,82.71,6.54,100.0,4945.91
111,60,50.25,0.0,100.0,0.01,80.36,5.18,100.0,4997.05
112,60,47.75,0.0,100.0,0.01,76.97,4.1,100.0,5051.98
113,60,56.22,0.0,100.0,0.01,79.82,3.24,100.0,5100.91
114,60,59.72,0.0,100.0,0.01,81.24,2.55,100.0,5141.23
115,60,52.78,0.0,100.0,0.01,80.78,2.67,100.0,5194.78
116,60,55.69,0.0,100.0,0.01,78.86,2.12,100.0,5243.07
117,60,59.03,0.0,100.0,0.01,79.65,1.68,100.0,5281.37
118,60,57.92,0.0,100.0,0.01,79.94,1.32,100.0,5329.32
119,60,57.08,0.0,100.0,0.01,78.45,1.04,100.0,5375.07
120,60,51.94,0.0,100.0,0.01,77.4,5.21,100.0,5428.52
121,60,53.33,0.0,100.0,0.01,78.42,4.12,100.0,5476.12
122,60,55.67,0.0,100.0,0.01,78.14,5.27,100.0,5529.14
123,60,55.12,0.0,100.0,0.01,81.09,4.18,100.0,5578.35
124,60,58.31,0.0,100.0,0.01,85.5,3.32,100.0,5622.78
125,60,56.79,0.0,100.0,0.01,83.33,2.62,100.0,5657.48
126,60,70.12,0.0,100.0,0.01,88.71,2.07,100.0,5707.28
127,60,68.73,0.0,100.0,0.01,86.44,1.64,100.0,5752.89
128,60,66.79,0.0,100.0,0.01,86.26,5.29,100.0,5793.46
129,60,73.17,0.0,100.0,0.01,88.08,4.2,100.0,5837.45
130,60,71.65,0.0,100.0,0.01,87.54,3.33,100.0,5886.73
131,60,70.92,0.0,100.0,0.01,87.26,2.64,100.0,5958.13
132,60,73.19,0.0,100.0,0.01,87.21,2.09,100.0,6003.71
133,60,65.28,0.0,100.0,0.01,85.29,1.65,100.0,6053.38
134,60,60.83,0.0,100.0,0.01,84.4,1.3,100.0,6096.47
135,60,63.61,0.0,100.0,0.01,84.77,1.02,100.0,6138.43
136,60,48.89,0.0,100.0,0.01,79.48,0.8,100.0,6186.13
137,60,61.67,0.0,100.0,0.01,81.42,0.62,100.0,6235.01
138,60,66.67,0.0,100.0,0.01,83.72,0.48,100.0,6278.03
139,60,65.0,0.0,100.0,0.01,83.5,0.37,100.0,6328.28
140,60,64.72,0.0,100.0,0.01,82.38,0.29,100.0,6371.54
141,60,67.5,0.0,100.0,0.01,83.5,0.22,100.0,6434.5
