Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,32,0.0,0.0,0.0,0.92,0.0,0.0,0.0,101.41
2,44,0.0,0.0,0.0,0.92,0.0,0.0,0.0,156.89
3,50,0.83,0.0,25.0,0.85,0.8,0.0,24.15,214.05
4,56,0.7,0.0,25.0,0.78,1.24,0.0,43.47,270.48
5,58,1.11,0.0,25.0,0.72,2.03,0.0,58.93,322.85
6,58,1.35,0.0,25.0,0.67,2.92,0.0,71.29,392.49
7,58,1.3,0.0,25.0,0.61,3.58,0.0,81.18,454.29
8,59,1.28,0.0,25.0,0.57,4.03,0.0,89.1,517.8
9,59,1.52,0.0,25.0,0.52,4.68,0.0,95.43,575.66
10,59,1.52,0.0,25.0,0.48,5.19,0.0,100.0,640.25
11,59,1.99,0.0,33.33,0.44,5.87,0.0,100.0,698.35
12,57,3.17,0.0,100.0,0.41,6.58,0.0,100.0,758.49
13,59,1.39,0.0,25.0,0.44,6.39,0.0,100.0,817.83
14,60,1.44,0.0,25.0,0.38,6.32,0.0,100.0,882.06
15,60,1.5,0.0,33.33,0.35,6.27,0.0,100.0,933.01
16,59,1.01,0.0,20.0,0.35,6.04,0.0,79.15,996.35
17,60,1.04,0.0,20.0,0.27,5.72,0.0,75.86,1055.63
18,60,1.21,0.0,25.0,0.25,5.72,0.0,85.17,1121.16
19,60,0.72,0.0,25.0,0.23,5.23,0.0,68.29,1174.83
20,60,0.91,0.0,33.33,0.21,5.03,0.0,87.56,1227.71
21,60,1.76,0.0,50.0,0.2,5.67,0.0,100.0,1298.32
22,60,1.95,0.0,50.0,0.18,6.07,0.0,100.0,1358.82
23,60,1.56,0.0,50.0,0.17,5.64,0.0,100.0,1413.21
24,60,1.9,0.0,50.0,0.15,5.38,0.0,100.0,1478.8
25,60,1.25,0.0,50.0,0.14,5.01,0.0,100.0,1531.42
26,60,1.25,0.0,50.0,0.13,4.72,0.0,100.0,1594.51
27,60,1.32,0.0,50.0,0.12,4.56,0.0,100.0,1656.62
28,60,1.24,0.0,50.0,0.11,4.35,0.0,100.0,1703.72
29,60,1.2,0.0,50.0,0.1,4.14,0.0,100.0,1776.9
30,60,1.2,0.0,50.0,0.09,3.98,0.0,100.0,1836.75
31,60,0.38,0.0,14.29,0.09,3.52,0.0,79.43,1896.54
32,59,0.14,0.0,8.33,0.08,2.97,0.0,63.02,1951.64
33,60,0.17,0.0,10.0,0.07,2.48,0.0,49.94,2001.37
34,60,0.42,0.0,12.5,0.07,2.37,0.0,39.57,2044.67
35,59,0.82,0.0,20.0,0.06,2.73,0.0,45.72,2084.73
36,60,5.05,0.0,50.0,0.06,7.16,0.0,74.55,2132.87
37,60,11.04,0.0,66.67,0.06,16.29,0.0,100.0,2180.41
38,60,16.94,0.0,75.0,0.05,28.33,0.0,100.0,2223.57
39,60,23.93,0.0,100.0,0.05,41.72,0.0,100.0,2272.22
40,60,28.42,0.0,100.0,0.05,51.27,0.0,100.0,2335.47
41,60,32.23,0.0,100.0,0.05,58.44,0.0,100.0,2434.3
42,60,38.47,0.0,100.0,0.05,62.92,0.0,100.0,2507.3
43,60,42.97,0.0,100.0,0.05,65.07,0.0,100.0,2567.46
44,58,48.39,0.0,100.0,0.05,65.54,0.0,100.0,2643.38
45,60,52.36,0.0,100.0,0.07,67.73,0.0,100.0,2702.7
46,58,51.7,0.0,100.0,0.07,66.75,0.0,100.0,2755.27
47,60,46.78,0.0,100.0,0.06,66.48,0.0,100.0,2805.34
48,60,33.4,0.0,100.0,0.06,62.42,0.0,100.0,2846.37
49,60,19.71,0.0,100.0,0.06,55.11,0.0,100.0,2901.78
50,59,2.81,0.0,100.0,0.06,45.15,0.0,100.0,2974.06
51,60,0.58,0.0,25.0,0.05,36.91,0.0,96.74,3066.65
52,59,0.17,0.0,10.0,0.04,29.72,0.0,77.32,3126.77
53,60,0.17,0.0,10.0,0.04,23.94,0.0,61.79,3184.32
54,60,0.21,0.0,12.5,0.03,19.33,0.0,49.37,3244.18
55,60,0.19,0.0,11.11,0.03,15.61,0.0,46.64,3289.97
56,60,0.6,0.0,25.0,0.03,13.06,0.0,48.3,3333.29
57,60,1.07,0.0,33.33,0.03,11.5,0.0,53.27,3395.18
58,60,2.85,0.0,33.33,0.03,12.02,0.0,68.44,3450.93
59,60,5.38,0.0,50.0,0.02,14.97,0.0,88.06,3503.72
60,60,7.95,0.0,33.33,0.02,19.84,0.0,100.0,3568.21
61,60,13.59,0.0,50.0,0.02,29.21,0.0,100.0,3621.68
62,60,20.97,0.0,100.0,0.02,41.72,0.0,100.0,3668.65
63,60,26.51,0.0,75.0,0.02,52.35,0.0,100.0,3749.94
64,60,31.81,0.0,100.0,0.02,60.98,0.0,100.0,3796.33
65,60,37.44,0.0,100.0,0.02,64.27,0.0,100.0,3869.36
66,60,41.77,0.0,100.0,0.02,66.08,0.0,100.0,3926.38
67,60,45.17,0.0,100.0,0.02,67.23,0.0,100.0,3996.99
68,60,43.58,0.0,100.0,0.02,66.44,0.0,100.0,4058.9
69,60,41.47,0.0,100.0,0.02,64.64,0.0,100.0,4129.29
70,60,38.89,0.0,100.0,0.02,62.15,0.0,100.0,4201.6
71,60,32.22,0.0,100.0,0.02,58.45,0.0,100.0,4255.08
72,60,12.42,0.0,100.0,0.02,50.69,0.0,100.0,4301.18
73,60,1.44,0.0,33.33,0.02,41.53,0.0,100.0,4357.83
74,60,0.83,0.0,50.0,0.02,33.54,0.0,100.0,4399.77
75,60,9.24,0.0,100.0,0.01,32.48,0.0,100.0,4467.85
76,60,18.03,0.0,100.0,0.01,36.41,0.0,100.0,4533.1
77,60,20.05,0.0,100.0,0.01,38.88,0.0,100.0,4579.51
78,60,26.35,0.0,100.0,0.01,46.12,0.0,100.0,4616.88
79,60,33.51,0.0,100.0,0.01,54.22,0.0,100.0,4710.34
80,59,36.54,0.0,100.0,0.01,58.37,0.0,100.0,4769.13
81,60,37.58,0.0,100.0,0.0,59.83,0.0,100.0,4839.63
82,60,38.39,0.0,100.0,0.0,59.85,0.0,100.0,4896.69
83,60,40.89,0.0,100.0,0.0,59.93,0.0,100.0,4963.13
84,60,43.64,0.0,100.0,0.0,59.66,0.0,100.0,5013.87
85,60,37.28,0.0,100.0,0.0,60.39,0.0,100.0,5069.46
86,60,33.17,0.0,100.0,0.0,59.31,0.0,100.0,5127.08
87,59,31.72,0.0,100.0,0.0,57.51,0.0,100.0,5188.0
88,59,17.82,0.0,100.0,0.01,50.73,0.0,100.0,5223.55
89,60,11.68,0.0,100.0,0.01,47.99,0.0,100.0,5289.67
90,60,12.22,0.0,100.0,0.01,46.3,0.0,100.0,5343.26
91,60,20.59,0.0,100.0,0.01,49.56,0.0,100.0,5415.75
92,59,30.11,0.0,100.0,0.01,55.69,0.0,100.0,5484.57
93,60,34.17,0.0,100.0,0.0,56.82,0.0,100.0,5548.26
94,60,40.48,0.0,100.0,0.0,59.29,0.0,100.0,5605.91
95,60,36.81,0.0,100.0,0.0,58.9,0.0,100.0,5658.11
96,60,42.33,0.0,100.0,0.0,62.31,0.0,100.0,5714.19
97,60,48.06,0.0,100.0,0.0,65.23,0.0,100.0,5769.38
98,60,53.67,0.0,100.0,0.05,68.37,0.0,100.0,5810.26
99,60,58.75,0.0,100.0,0.05,74.09,0.0,100.0,5894.66
100,60,52.0,0.0,100.0,0.05,72.8,0.0,100.0,5937.39
101,60,40.34,0.0,100.0,0.05,68.9,0.0,100.0,6016.86
102,60,32.92,0.0,100.0,0.05,64.09,0.0,100.0,6090.13
103,60,30.69,0.0,100.0,0.0,61.15,0.0,100.0,6154.54
104,60,32.47,0.0,100.0,0.0,59.87,0.0,100.0,6207.46
105,60,37.75,0.0,100.0,0.05,62.05,0.0,100.0,6274.39
106,60,40.14,0.0,100.0,0.05,62.8,0.0,100.0,6314.23
107,60,33.47,0.0,100.0,0.04,60.52,0.0,100.0,6369.3
108,60,32.36,0.0,100.0,0.04,59.73,0.0,100.0,6423.51
109,60,32.78,0.0,100.0,0.04,60.24,0.0,100.0,6481.92
110,60,34.28,0.0,100.0,0.03,62.3,0.0,100.0,6558.44
111,60,40.83,0.0,100.0,0.03,63.8,0.0,100.0,6624.02
112,60,44.03,0.0,100.0,0.03,63.32,0.0,100.0,6688.43
113,60,43.47,0.0,100.0,0.03,61.43,0.0,100.0,6760.23
114,59,43.08,0.0,100.0,0.03,60.7,0.0,100.0,6804.13
115,53,29.25,0.0,100.0,0.0,58.2,0.09,100.0,6858.82
116,60,30.28,0.0,100.0,0.0,58.23,0.07,100.0,6909.61
117,59,32.77,0.0,100.0,0.0,58.93,0.06,100.0,6963.11
118,60,38.78,0.0,100.0,0.01,62.95,0.05,100.0,7025.17
119,60,36.28,0.0,100.0,0.01,63.46,0.04,100.0,7085.42
120,60,32.67,0.0,100.0,0.01,62.24,0.03,100.0,7153.21
121,59,28.42,0.0,100.0,0.01,57.44,0.02,100.0,7219.69
122,59,29.24,0.0,100.0,0.0,55.15,0.02,100.0,7289.24
123,60,36.53,0.0,100.0,0.0,54.38,0.03,100.0,7351.77
124,60,44.58,0.0,100.0,0.0,58.34,0.02,100.0,7400.62
125,59,44.07,0.0,100.0,0.0,60.98,0.02,100.0,7461.65
126,59,49.58,0.0,100.0,0.0,67.55,0.01,100.0,7515.16
127,60,46.25,0.0,100.0,0.0,68.33,0.01,100.0,7563.24
128,59,37.32,0.0,100.0,0.0,64.71,0.01,100.0,7628.06
129,60,32.53,0.0,100.0,0.0,61.49,0.01,100.0,7694.92
130,60,30.72,0.0,100.0,0.0,58.98,0.0,100.0,7760.5
131,60,34.31,0.0,100.0,0.0,56.65,0.0,100.0,7830.52
132,60,35.69,0.0,100.0,0.0,54.65,0.0,100.0,7882.93
133,60,36.53,0.0,100.0,0.0,54.12,0.0,100.0,7949.1
134,60,31.11,0.0,100.0,0.0,52.12,0.0,100.0,8007.33
135,60,26.25,0.0,100.0,0.0,48.76,0.0,100.0,8061.32
136,59,21.47,0.0,100.0,0.0,46.9,0.0,100.0,8108.06
137,60,27.36,0.0,100.0,0.01,52.37,0.0,100.0,8157.27
138,60,28.86,0.0,100.0,0.01,52.52,0.0,100.0,8216.76
139,60,38.06,0.0,100.0,0.01,58.38,0.0,100.0,8283.86
140,59,42.94,0.0,100.0,0.01,63.5,0.0,100.0,8354.67
141,60,45.28,0.0,100.0,0.0,64.53,0.0,100.0,8430.21
142,59,47.88,0.0,100.0,0.0,64.79,0.0,100.0,8499.55
143,60,46.39,0.0,100.0,0.0,62.0,0.0,100.0,8546.5
144,60,49.44,0.0,100.0,0.0,61.6,0.0,100.0,8605.42
145,60,50.28,0.0,100.0,0.0,62.71,0.0,100.0,8661.72
146,60,45.57,0.0,100.0,0.0,64.75,0.0,100.0,8717.97
147,59,37.5,0.0,100.0,0.0,65.05,0.0,100.0,8768.89
148,60,38.97,0.0,100.0,0.0,65.86,0.0,100.0,8826.31
149,56,33.9,0.0,100.0,0.0,62.68,0.0,100.0,8894.57
150,60,22.64,0.0,100.0,0.0,59.23,0.0,100.0,8968.98
151,59,22.77,0.0,100.0,0.0,55.12,0.0,100.0,9044.16
152,60,24.38,0.0,100.0,0.0,52.21,0.0,100.0,9095.89
153,60,33.44,0.0,100.0,0.0,55.78,0.0,100.0,9138.21
154,60,46.22,0.0,100.0,0.0,65.35,0.0,100.0,9214.91
155,60,50.28,0.0,100.0,0.0,69.7,0.03,100.0,9259.27
156,60,47.08,0.0,100.0,0.0,69.85,0.03,100.0,9317.43
157,58,39.4,0.0,100.0,0.0,67.8,0.02,100.0,9380.94
158,60,36.42,0.0,100.0,0.0,65.18,0.02,100.0,9431.01
159,60,36.14,0.0,100.0,0.0,61.9,0.01,100.0,9486.78
