Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,9016,8388,191,2.12,437,4.85,1.0
30-60s,6918,6290,179,2.59,449,6.49,1.0
60-90s,5874,5214,179,3.05,481,8.19,1.0
90-120s,5579,4853,172,3.08,554,9.93,1.0
120-150s,6945,6067,190,2.74,688,9.91,1.0
150-180s,6714,5859,157,2.34,698,10.4,1.0
180-210s,6017,5287,158,2.63,572,9.51,1.0
210-240s,6079,5297,142,2.34,640,10.53,1.0
240-270s,6091,5358,158,2.59,575,9.44,1.0
270-300s,5794,5011,170,2.93,613,10.58,1.0
300-330s,6097,5346,165,2.71,586,9.61,1.0
330-360s,9005,8084,167,1.85,754,8.37,1.0
360-390s,8722,8138,140,1.61,444,5.09,1.0
390-420s,8960,8347,150,1.67,463,5.17,1.0
