Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8479,8185,76,0.9,218,2.57,0.0
30-60s,5681,5477,49,0.86,155,2.73,0.0
60-90s,4567,4364,55,1.2,148,3.24,0.0
90-120s,4290,4019,88,2.05,183,4.27,0.0
120-150s,4615,4244,90,1.95,281,6.09,0.0
150-180s,4649,4229,89,1.91,331,7.12,0.0
180-210s,4383,4021,77,1.76,285,6.5,0.0
210-240s,4961,4580,77,1.55,304,6.13,0.0
240-270s,4965,4597,66,1.33,302,6.08,0.0
270-300s,4559,4170,62,1.36,327,7.17,0.0
300-330s,4467,4066,83,1.86,318,7.12,0.0
330-360s,7648,7261,57,0.75,330,4.31,0.0
360-390s,7871,7550,68,0.86,253,3.21,0.0
390-420s,7840,7453,68,0.87,319,4.07,0.0
