Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,Total Request Time
1,60,1.0,0.0,16.67,0.92,1.16,0.0,19.74,0.0092,0.0,0.1567,0.0004,-0.0046,0.0783,36.43
2,60,2.07,0.0,33.33,0.85,1.8,0.0,41.3,0.0192,0.0,0.3241,-0.0002,-0.1508,0.1667,106.66
3,60,1.4,0.0,16.67,0.78,0.9,0.0,13.54,0.0195,0.0,0.3241,-0.0063,-0.2898,0.0968,161.76
4,60,0.97,0.0,8.33,0.72,1.1,0.0,20.93,0.0205,0.0,0.3862,0.0026,-0.0754,0.1588,225.92
5,60,1.04,0.0,7.14,0.67,0.87,0.0,9.49,0.0224,0.0,0.3862,-0.0004,-0.1047,0.0677,277.3
6,60,0.87,0.0,5.26,0.61,0.75,0.0,11.8,0.0217,0.0,0.4184,0.0005,-0.0492,0.0897,350.31
7,60,0.78,0.0,4.76,0.57,0.65,0.0,6.39,0.0227,0.0,0.4184,0.0003,-0.0614,0.0441,394.2
8,60,0.79,0.0,4.76,0.52,0.64,0.0,7.8,0.0223,0.0,0.4411,0.0007,-0.0335,0.0566,461.04
9,60,0.75,0.0,3.45,0.48,0.54,0.0,4.75,0.0218,0.0,0.4411,-0.0,-0.043,0.0311,526.95
10,60,0.77,0.0,3.13,0.44,0.58,0.0,5.32,0.0212,0.0,0.4547,0.0007,-0.0238,0.0384,579.77
11,60,0.69,0.0,3.64,0.41,0.46,0.0,3.69,0.0211,0.0,0.4547,-0.0005,-0.028,0.0209,644.95
12,60,0.66,0.0,3.57,0.38,0.5,0.0,3.11,0.0211,0.0,0.4458,0.0006,-0.012,0.0174,697.87
13,60,0.79,0.0,4.0,0.35,0.61,0.0,4.75,0.0224,0.0,0.4458,0.0006,-0.0152,0.02,762.15
14,60,0.84,0.0,4.17,0.32,0.63,0.0,3.88,0.023,0.0,0.4383,-0.0002,-0.0252,0.0164,826.54
15,60,0.92,0.0,5.26,0.3,0.77,0.0,6.38,0.0246,0.0,0.4383,0.0004,-0.0142,0.0263,881.65
16,60,1.03,0.0,5.41,0.27,0.8,0.0,4.33,0.0252,0.0,0.4319,-0.0001,-0.0312,0.0159,937.83
17,60,1.05,0.0,5.0,0.25,0.85,0.0,5.95,0.0259,0.0,0.4319,0.0,-0.0165,0.0207,1001.41
18,60,1.07,0.0,6.45,0.23,0.9,0.0,5.33,0.0266,0.0,0.4264,-0.0,-0.0155,0.0133,1060.99
19,60,1.09,0.0,6.67,0.21,0.91,0.0,6.37,0.0268,0.0,0.4195,-0.0001,-0.0124,0.0197,1120.14
20,60,1.04,0.0,5.56,0.2,0.86,0.0,4.49,0.0265,0.0,0.4147,-0.0002,-0.0158,0.0107,1182.99
21,60,1.13,0.0,5.88,0.18,1.02,0.0,6.2,0.0276,0.0,0.4087,0.0008,-0.012,0.0164,1241.98
22,60,1.13,0.0,6.06,0.17,0.9,0.0,5.04,0.0272,0.0,0.404,-0.0008,-0.0203,0.0128,1300.39
23,60,1.07,0.0,5.0,0.15,0.95,0.0,5.79,0.0275,0.0,0.3984,0.0003,-0.0157,0.0163,1361.63
24,60,0.97,0.0,5.26,0.14,0.79,0.0,5.34,0.0263,0.0,0.3938,-0.0006,-0.0168,0.0124,1420.42
25,60,0.85,0.0,3.85,0.14,0.76,0.0,3.79,0.0258,0.0,0.3885,0.0002,-0.0197,0.0116,1486.77
26,60,0.82,0.0,5.77,0.12,0.74,0.0,5.65,0.0259,0.0,0.3839,0.0001,-0.0144,0.02,1536.37
27,60,1.07,0.0,6.67,0.11,1.02,0.0,7.07,0.0279,-0.0047,0.3787,0.0013,-0.0163,0.0183,1602.24
28,60,1.11,0.0,8.0,0.1,0.9,0.0,6.11,0.0283,-0.0047,0.3741,-0.0011,-0.0156,0.0138,1661.87
29,58,1.07,0.0,9.52,0.09,1.02,0.0,9.66,0.0297,-0.0047,0.3692,0.0007,-0.0156,0.0153,1721.39
30,60,1.09,0.0,8.7,0.38,0.94,0.0,6.35,0.0294,-0.0047,0.3646,-0.0009,-0.0227,0.0137,1780.51
31,59,0.92,0.0,5.56,0.38,0.85,0.0,5.14,0.0282,-0.0047,0.3598,0.0002,-0.0195,0.0109,1844.08
32,60,1.11,0.0,6.12,0.39,1.08,0.0,6.39,0.0302,0.0,0.3552,0.0007,-0.0121,0.0204,1902.8
33,60,1.06,0.0,7.32,0.39,0.91,0.0,6.94,0.0294,0.0,0.3505,-0.001,-0.0276,0.0125,1963.25
34,60,1.14,0.0,6.52,0.39,1.16,0.0,5.86,0.031,0.0,0.3461,0.0013,-0.0171,0.0209,2029.7
35,59,1.16,0.0,7.32,0.36,1.02,0.0,7.41,0.0313,0.0,0.3415,-0.001,-0.0202,0.0138,2076.19
36,56,1.16,0.0,7.32,0.24,1.11,0.0,7.01,0.0323,0.0,0.3371,0.0002,-0.0178,0.0172,2142.59
37,59,0.94,0.0,5.0,0.13,0.84,0.0,5.51,0.03,0.0,0.3326,-0.0009,-0.0202,0.0135,2201.78
