Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,1.0,0.0,10.0,0.92,0.9,0.0,8.98,70.58
2,60,0.83,0.0,10.0,0.85,1.4,0.0,16.16,130.85
3,60,1.13,0.0,6.67,0.78,1.99,0.0,18.55,190.35
4,60,1.06,0.0,7.32,0.72,2.34,0.0,21.11,251.09
5,60,1.01,0.0,6.0,0.67,2.56,0.0,21.83,310.36
6,60,1.07,0.0,5.0,0.61,2.72,0.0,21.4,370.75
7,60,1.06,0.0,4.29,0.57,2.82,0.0,20.33,430.6
8,60,1.02,0.0,5.0,0.52,2.84,0.0,18.99,490.26
9,60,0.94,0.0,4.44,0.48,2.76,0.0,17.48,550.56
10,60,0.93,0.0,4.0,0.44,2.69,0.0,14.94,610.31
11,60,1.02,0.0,4.04,0.41,2.68,0.0,14.89,670.16
12,60,1.03,0.0,4.0,0.38,2.68,0.0,15.0,730.55
13,60,0.97,0.0,4.0,0.35,2.62,0.0,13.11,790.52
14,60,1.0,0.0,4.0,0.32,2.63,0.0,12.6,850.4
15,60,1.02,0.0,4.04,0.3,2.68,0.0,12.3,910.38
16,60,0.98,0.0,4.0,0.27,2.67,0.0,13.23,970.41
17,60,0.97,0.0,4.0,0.69,2.65,0.0,13.97,1030.2
18,60,1.01,0.0,3.06,0.7,2.69,0.0,13.59,1090.46
19,60,1.07,0.0,5.94,0.7,2.8,0.0,13.28,1150.46
20,60,1.0,0.0,5.94,0.2,2.83,0.0,15.87,1210.68
21,60,0.94,0.0,5.0,0.7,2.79,0.0,17.2,1269.37
22,60,0.99,0.0,5.0,0.65,2.84,0.0,18.26,1331.44
23,60,1.11,0.0,5.0,0.6,2.99,0.0,19.09,1389.6
24,60,1.08,0.0,5.0,0.55,3.08,0.0,19.75,1450.28
25,60,1.13,0.0,5.05,0.51,3.2,0.0,20.33,1511.11
