Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,60,1.08,0.0,20.0,4.61,0.79,0.0,18.0,-0.0356,-0.0461,0.15,0.0,-0.0,-0.0,-0.0356,-0.0461,0.15,66.29
2,60,1.09,0.0,10.53,4.25,0.26,0.0,6.47,-0.076,-0.0886,0.0289,0.0,0.0,0.0,-0.0403,-0.1211,0.0592,127.37
3,60,0.91,0.0,7.14,3.92,0.07,0.0,2.25,-0.1101,-0.1278,-0.0157,0.0,0.0,0.0,-0.0341,-0.0446,-0.0037,187.46
4,60,0.9,0.0,7.69,3.61,0.05,0.0,2.88,-0.1399,-0.1639,-0.0129,0.0,0.0,0.0,-0.0298,-0.0361,0.0089,247.01
5,60,0.94,0.0,6.25,3.33,0.02,0.0,1.17,-0.1669,-0.1972,-0.025,0.0,0.0,0.0,-0.027,-0.0333,0.0043,306.39
6,60,1.05,0.0,5.45,3.07,0.0,0.0,0.0,-0.1905,-0.228,-0.0312,0.0,0.0,0.0,-0.0236,-0.0307,0.0073,367.23
7,60,0.96,0.0,4.69,2.83,0.0,0.0,0.0,-0.2129,-0.2563,-0.0319,0.0,0.0,0.0,-0.0225,-0.0283,-0.0004,426.76
8,60,0.93,0.0,4.11,2.61,0.0,0.0,0.0,-0.2339,-0.2824,-0.0376,0.0,0.0,0.0,-0.021,-0.0261,-0.0038,486.27
9,60,0.94,0.0,5.95,2.41,0.01,0.0,0.6,-0.253,-0.3065,-0.0334,0.0,0.0,0.0,-0.0192,-0.0246,0.0127,546.34
10,60,0.92,0.0,5.38,2.22,0.0,0.0,0.05,-0.271,-0.3287,-0.0324,0.0,0.0,0.0,-0.018,-0.0239,0.0009,606.57
11,60,1.01,0.0,4.26,2.05,0.0,0.0,0.0,-0.2867,-0.3491,-0.0369,0.0,0.0,0.0,-0.0157,-0.0322,0.0105,666.64
12,60,0.97,0.0,4.26,1.89,0.0,0.0,0.0,-0.3014,-0.368,-0.0405,0.0,0.0,0.0,-0.0148,-0.0297,0.0109,726.81
13,60,1.06,0.0,4.26,1.74,0.0,0.0,0.0,-0.3142,-0.3854,-0.0438,0.0,0.0,0.0,-0.0127,-0.0274,0.0091,787.05
14,60,1.02,0.0,4.26,1.6,0.0,0.0,0.0,-0.3262,-0.4014,-0.0469,0.0,0.0,0.0,-0.012,-0.0274,0.0098,847.24
15,60,1.03,0.0,4.26,1.57,0.0,0.0,0.0,-0.3372,-0.4162,-0.0589,0.0,0.0,0.0,-0.011,-0.025,0.0098,906.4
16,60,1.03,0.0,4.26,1.53,0.0,0.0,0.0,-0.3473,-0.4298,-0.08,0.0,0.0,0.0,-0.0101,-0.0231,0.0094,966.58
17,60,1.12,0.0,4.26,1.5,0.0,0.0,0.0,-0.3557,-0.4424,-0.0992,0.0,0.0,0.0,-0.0084,-0.0258,0.0101,1025.47
18,60,1.21,0.0,4.26,1.46,0.0,0.0,0.0,-0.3626,-0.454,-0.1071,0.0,0.0,0.0,-0.0068,-0.023,0.0101,1086.47
19,60,1.26,0.0,4.26,1.44,0.0,0.0,0.0,-0.3683,-0.4647,-0.1342,0.0,0.0,0.0,-0.0058,-0.027,0.0104,1146.37
20,60,1.28,0.0,4.26,1.41,0.0,0.0,0.0,-0.3734,-0.4746,-0.1514,0.0,0.0,0.0,-0.005,-0.0249,0.0104,1206.39
21,60,1.21,0.0,3.26,1.38,0.0,0.0,0.0,-0.3786,-0.4836,-0.1553,0.0,0.0,0.0,-0.0052,-0.023,0.0098,1267.29
22,60,1.21,0.0,3.23,1.36,0.0,0.0,0.0,-0.3832,-0.492,-0.1589,0.0,0.0,0.0,-0.0047,-0.0222,0.018,1326.44
23,60,1.13,0.0,3.33,1.5,0.0,0.0,0.0,-0.3881,-0.4997,-0.1626,0.0,-0.0,-0.0,-0.0048,-0.0216,0.02,1386.52
24,60,1.17,0.0,3.33,1.5,0.0,0.0,0.0,-0.392,-0.5069,-0.1819,0.0,-0.0,-0.0,-0.0039,-0.0226,0.02,1446.87
25,60,1.08,0.0,4.3,1.22,0.0,0.0,0.0,-0.3963,-0.5134,-0.1818,0.0,-0.0,-0.0,-0.0043,-0.0208,0.0286,1507.21
26,60,1.02,0.0,4.3,1.13,0.0,0.0,0.0,-0.4005,-0.5195,-0.1811,0.0,0.0,0.0,-0.0042,-0.0211,0.0286,1566.54
27,60,0.95,0.0,5.43,1.04,0.0,0.0,0.0,-0.4049,-0.5251,-0.1804,0.0,0.0,0.0,-0.0044,-0.0194,0.0398,1626.86
28,60,0.83,0.0,4.4,0.96,0.0,0.0,0.0,-0.41,-0.5302,-0.1794,0.0,0.0,0.0,-0.0051,-0.0233,0.0294,1686.79
29,60,0.76,0.0,4.4,0.88,0.0,0.0,0.0,-0.4153,-0.5349,-0.1835,0.0,0.0,0.0,-0.0052,-0.0221,0.0293,1746.3
30,60,0.79,0.0,4.4,0.81,0.0,0.0,0.0,-0.4196,-0.5393,-0.1542,0.0,0.0,0.0,-0.0044,-0.0207,0.0293,1806.35
31,60,0.74,0.0,5.38,0.75,0.01,0.0,0.45,-0.424,-0.5434,-0.1255,0.0,0.0,0.0,-0.0043,-0.0211,0.0391,1866.35
32,60,0.7,0.0,4.3,0.94,0.0,0.0,0.0,-0.4283,-0.5471,-0.1109,0.0,0.0,0.0,-0.0043,-0.0251,0.0239,1926.54
33,60,0.72,0.0,4.3,0.87,0.01,0.0,0.41,-0.4318,-0.5505,-0.0931,0.0,0.0,0.0,-0.0035,-0.0232,0.0282,1986.58
34,60,0.73,0.0,4.3,1.76,0.02,0.0,0.9,-0.4349,-0.5537,-0.0753,0.0,-0.0,-0.0,-0.0031,-0.0214,0.0242,2046.87
35,60,0.78,0.0,3.3,1.76,0.0,0.0,0.08,-0.4372,-0.5566,-0.0708,0.0,0.0,0.0,-0.0023,-0.0197,0.0119,2107.13
36,60,0.8,0.0,3.26,1.76,0.01,0.0,0.37,-0.4388,-0.5593,-0.0642,0.0,-0.0,-0.0,-0.0017,-0.0182,0.0193,2166.48
37,60,0.82,0.0,3.26,1.76,0.01,0.0,0.65,-0.4401,-0.5617,-0.0562,0.0,0.0,0.0,-0.0012,-0.0167,0.0189,2226.91
38,60,0.87,0.0,3.19,1.76,0.0,0.0,0.0,-0.4405,-0.564,-0.0561,0.0,-0.0,-0.0,-0.0005,-0.0154,0.0189,2286.35
39,59,0.83,0.0,3.23,1.77,0.0,0.0,0.0,-0.4397,-0.5661,-0.0493,0.0,-0.0,-0.0,-0.0006,-0.0143,0.0255,2346.23
40,59,0.83,0.0,3.19,0.32,0.0,0.0,0.0,-0.4411,-0.5681,-0.0631,0.0,-0.0,-0.0,-0.0002,-0.0138,0.0254,2406.74
41,57,0.91,0.0,4.26,0.32,0.0,0.0,0.0,-0.4395,-0.5699,-0.0758,0.0,-0.0,-0.0,0.0009,-0.0127,0.036,2466.69
