Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,0.83,0.0,14.29,0.92,0.76,0.0,13.29,100.83
2,60,1.34,0.0,13.33,0.93,1.79,0.0,22.96,160.83
3,60,1.23,0.0,9.09,0.93,2.44,0.0,26.45,220.37
4,60,1.31,0.0,9.68,0.94,2.99,0.0,27.28,279.78
5,60,1.27,0.0,10.26,0.94,3.37,0.0,26.05,341.32
6,60,1.27,0.0,8.7,0.94,3.63,0.0,25.01,399.12
7,60,1.27,0.0,7.27,0.95,3.83,0.0,26.31,458.25
8,60,1.27,0.0,6.78,0.95,3.95,0.0,26.21,519.36
9,60,1.13,0.0,6.15,0.95,3.91,0.0,25.53,579.67
10,60,1.09,0.0,5.8,0.44,3.82,0.0,24.87,640.29
11,60,1.13,0.0,5.0,0.41,3.76,0.0,23.44,699.69
12,60,0.97,0.0,4.23,0.38,3.56,0.0,21.54,760.04
13,60,0.98,0.0,4.23,0.38,3.4,0.0,19.83,819.94
14,60,0.9,0.0,4.41,0.38,3.19,0.0,16.57,877.96
15,60,0.78,0.0,2.99,0.38,2.92,0.0,15.06,940.11
16,60,0.74,0.0,3.03,0.38,2.71,0.0,13.99,1000.93
17,60,0.73,0.0,2.99,0.39,2.51,0.0,11.59,1059.54
18,60,0.76,0.0,3.23,0.39,2.39,0.0,9.99,1120.93
19,60,0.85,0.0,3.17,0.39,2.41,0.0,8.96,1180.08
20,60,0.82,0.0,2.9,0.39,2.43,0.0,9.51,1240.86
21,60,0.85,0.0,4.17,0.39,2.48,0.0,11.2,1300.36
22,60,0.89,0.0,4.11,0.39,2.57,0.0,12.68,1359.53
23,60,0.82,0.0,4.29,0.36,2.59,0.0,14.04,1419.8
24,60,0.82,0.0,4.0,0.6,2.61,0.0,12.26,1477.98
25,60,0.86,0.0,4.11,0.6,2.68,0.0,11.3,1539.74
26,60,0.91,0.0,3.8,0.6,2.78,0.0,11.57,1600.17
27,60,0.87,0.0,2.9,0.6,2.8,0.0,11.58,1658.52
28,60,0.85,0.0,2.99,0.61,2.81,0.0,11.42,1720.33
29,60,0.9,0.0,3.75,0.61,2.87,0.0,12.56,1779.99
30,60,0.86,0.0,2.56,0.61,2.89,0.0,12.29,1840.27
31,60,0.84,0.0,3.41,0.61,2.9,0.0,11.94,1900.0
32,60,0.89,0.0,3.75,0.61,2.95,0.0,11.75,1959.99
33,60,0.9,0.0,3.66,0.61,3.01,0.0,11.59,2019.49
34,60,0.92,0.0,3.66,0.61,3.09,0.0,12.69,2079.31
35,60,0.93,0.0,3.53,0.61,3.16,0.0,13.44,2140.07
36,60,0.86,0.0,3.57,0.61,3.17,0.0,14.07,2199.57
37,60,0.84,0.0,3.95,0.61,3.14,0.0,14.57,2259.69
38,60,0.77,0.0,3.7,0.57,3.07,0.0,13.83,2319.56
39,60,0.78,0.0,4.05,0.52,3.03,0.0,14.5,2379.86
40,60,0.82,0.0,4.17,0.48,3.04,0.0,15.12,2438.91
41,60,0.83,0.0,2.9,0.48,3.08,0.0,13.18,2499.66
42,60,0.8,0.0,2.94,0.48,3.07,0.0,11.97,2559.57
43,60,0.87,0.0,2.86,0.49,3.14,0.0,12.07,2620.32
44,60,0.91,0.0,2.82,0.49,3.23,0.0,12.15,2680.0
45,60,0.99,0.0,3.85,0.49,3.39,0.0,12.32,2739.15
46,60,1.0,0.0,3.95,0.5,3.53,0.0,12.45,2800.02
47,60,1.08,0.0,3.95,0.5,3.72,0.0,12.37,2858.75
48,60,1.01,0.0,3.95,0.5,3.82,0.0,12.37,2918.53
49,60,0.97,0.0,3.95,0.51,3.87,0.0,13.73,2980.49
50,60,0.96,0.0,3.85,0.51,3.91,0.0,14.72,3039.68
51,60,0.91,0.0,3.7,0.27,3.89,0.0,15.31,3100.56
52,60,0.98,0.0,3.75,0.27,3.94,0.0,15.87,3159.68
53,60,0.96,0.0,5.06,0.28,3.98,0.0,17.63,3219.19
54,60,0.91,0.0,3.57,0.28,3.96,0.0,16.43,3279.49
55,60,0.87,0.0,3.66,0.28,3.91,0.0,15.4,3339.11
56,60,0.83,0.0,4.0,0.08,3.82,0.0,15.5,3398.92
57,60,0.82,0.0,4.0,0.08,3.75,0.0,16.2,3459.15
58,60,0.89,0.0,3.85,0.09,3.77,0.0,16.59,3518.03
59,60,0.93,0.0,2.67,0.09,3.82,0.0,15.73,3579.07
60,60,1.43,0.0,6.25,0.09,4.37,0.0,15.03,3638.82
61,60,3.64,0.0,10.0,0.09,6.99,0.0,19.58,3699.59
62,60,5.82,0.0,13.58,0.1,11.25,0.0,29.02,3759.6
63,60,7.29,1.2,17.07,0.1,16.13,1.18,40.05,3819.95
64,60,9.36,3.75,17.86,0.11,22.09,5.49,49.67,3879.15
65,60,11.12,3.61,20.0,0.12,28.61,9.07,59.5,3940.89
66,60,12.92,5.81,22.09,0.14,35.63,13.02,68.42,3999.71
67,60,14.54,6.74,23.96,0.14,42.85,17.1,78.47,4059.08
68,60,16.57,8.05,28.28,0.14,50.66,21.66,90.82,4119.79
69,60,18.6,10.61,29.0,0.14,58.92,28.37,100.0,4166.45
70,60,19.86,10.14,31.18,0.14,66.62,34.98,100.0,4193.44
71,60,19.93,7.46,28.92,0.14,72.71,40.32,100.0,4220.88
72,60,19.68,6.15,28.95,0.14,77.28,38.04,100.0,4241.27
73,60,20.3,5.0,31.88,0.14,80.98,35.06,100.0,4255.48
74,60,20.25,8.2,32.26,0.14,83.6,35.86,100.0,4268.52
75,60,20.72,8.47,30.61,0.14,86.04,36.77,100.0,4278.76
76,60,21.0,11.43,34.15,0.14,88.25,41.98,100.0,4289.38
77,60,21.59,8.7,36.36,0.14,89.62,48.0,100.0,4299.29
78,60,20.75,5.26,35.0,0.14,90.06,53.09,100.0,4306.3
79,60,20.36,0.0,66.67,0.14,89.12,57.16,100.0,4313.02
80,60,19.63,0.0,100.0,0.14,86.58,57.13,100.0,4322.3
81,60,15.79,0.0,42.86,0.14,82.49,47.68,100.0,4335.11
82,60,15.6,0.0,100.0,0.14,77.62,37.98,100.0,4352.33
83,60,14.45,0.0,50.0,0.14,72.46,30.23,100.0,4370.68
84,60,14.39,0.0,100.0,0.13,66.82,24.04,100.0,4392.25
85,60,13.2,0.0,100.0,0.12,60.78,19.1,100.0,4414.97
86,60,10.16,0.0,100.0,0.11,54.32,15.16,100.0,4441.64
87,60,7.55,0.0,100.0,0.1,47.41,12.02,100.0,4474.68
88,60,4.62,0.0,75.0,0.09,40.33,9.51,100.0,4512.66
89,60,4.71,0.0,100.0,0.09,34.4,7.51,100.0,4554.49
90,60,2.1,0.0,50.0,0.08,28.97,5.92,100.0,4604.49
91,60,2.55,0.0,100.0,0.07,24.25,4.66,100.0,4660.03
92,60,1.07,0.0,8.0,0.07,20.33,3.65,79.89,4714.03
93,60,1.15,0.0,6.25,0.06,17.28,2.8,63.81,4774.34
94,60,1.13,0.0,5.41,0.06,14.81,2.1,50.96,4835.81
95,60,1.04,0.0,4.35,0.05,12.76,1.54,42.19,4893.39
96,60,1.09,0.0,4.17,0.05,11.16,1.32,37.0,4954.23
97,60,1.03,0.0,4.0,0.04,9.83,1.01,32.34,5015.67
98,60,1.04,0.0,4.05,0.04,8.77,1.22,28.35,5074.39
99,60,0.97,0.0,3.85,0.04,7.86,0.92,24.99,5134.3
100,60,1.03,0.0,5.0,0.04,7.19,0.68,19.84,5194.77
101,60,1.12,0.0,5.0,0.03,6.75,0.5,20.36,5254.58
102,60,1.01,0.0,5.0,0.03,6.29,0.36,21.12,5314.75
103,60,0.91,0.0,3.3,0.04,5.82,0.24,19.26,5373.72
104,60,0.92,0.0,4.41,0.04,5.45,0.16,17.83,5434.5
105,60,0.91,0.0,3.75,0.04,5.16,0.09,15.47,5495.1
106,60,0.84,0.0,4.05,0.05,4.86,0.04,13.53,5554.27
107,60,0.9,0.0,3.8,0.05,4.68,0.0,14.21,5614.49
108,60,0.85,0.0,4.55,0.05,4.48,0.0,14.09,5675.3
109,60,0.94,0.0,4.6,0.06,4.42,0.0,15.62,5733.98
110,60,0.96,0.0,4.71,0.06,4.39,0.0,16.94,5794.87
111,60,0.88,0.0,4.82,0.07,4.29,0.0,18.11,5854.52
112,60,0.93,0.0,4.65,0.07,4.27,0.0,17.74,5915.1
113,60,0.99,0.0,4.82,0.08,4.3,0.0,18.91,5975.79
114,60,1.02,0.0,4.17,0.09,4.36,0.0,18.47,6034.77
115,60,1.06,0.0,5.33,0.09,4.45,0.0,17.96,6095.73
116,60,1.07,0.0,5.06,0.1,4.53,0.0,17.58,6156.33
117,60,1.09,0.0,4.11,0.1,4.62,0.0,17.03,6212.93
118,60,1.14,0.0,5.48,0.1,4.75,0.0,17.35,6275.68
119,60,1.0,0.0,5.48,0.11,4.7,0.0,18.93,6335.22
120,60,1.0,0.0,5.33,0.11,4.67,0.0,20.34,6394.77
121,60,1.11,0.0,5.41,0.12,4.75,0.0,20.38,6454.4
122,60,1.1,0.0,5.71,0.12,4.81,0.0,21.77,6513.25
123,60,1.05,0.0,4.23,0.12,4.81,0.0,20.12,6576.3
124,60,1.06,0.0,5.26,0.12,4.81,0.0,21.2,6635.47
125,60,1.05,0.0,6.1,0.12,4.81,0.0,22.88,6694.16
126,60,1.08,0.0,5.81,0.13,4.84,0.0,23.93,6754.29
127,60,1.05,0.0,4.71,0.13,4.83,0.0,23.66,6814.86
128,60,1.01,0.0,3.57,0.13,4.79,0.0,21.2,6874.87
129,60,1.1,0.0,4.23,0.13,4.84,0.0,19.29,6935.41
130,60,1.1,0.0,4.05,0.13,4.88,0.0,17.85,6994.55
131,60,1.04,0.0,4.05,0.12,4.85,0.0,16.78,7053.72
132,60,0.99,0.0,2.78,0.11,4.78,0.0,16.09,7114.01
133,60,1.01,0.0,2.74,0.1,4.75,0.0,15.49,7176.41
134,60,1.07,0.0,2.74,0.1,4.78,0.0,14.84,7234.28
135,60,1.06,0.0,3.57,0.09,4.8,0.0,14.31,7295.19
136,60,1.02,0.0,3.53,0.08,4.77,0.0,14.06,7353.82
137,60,1.04,0.0,4.44,0.08,4.77,0.0,13.81,7413.73
138,60,1.0,0.0,4.44,0.07,4.74,0.0,14.25,7474.0
139,60,0.95,0.0,4.3,0.06,4.66,0.0,15.41,7534.91
