Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
<<<<<<< HEAD
0-20s,11337,11222,115,1.01,0,0.0,1.0
20-40s,11640,11521,119,1.02,0,0.0,1.0
40-60s,11622,11500,121,1.04,1,0.01,1.0
60-80s,15533,10454,2491,16.04,2588,16.66,20.0
80-100s,12647,11434,192,1.52,1021,8.07,1.0
100-120s,11668,11526,107,0.92,35,0.3,1.0
120-140s,11689,11517,112,0.96,60,0.51,1.0
=======
<<<<<<< HEAD
0-20s,1206,1193,9,0.75,4,0.33,1.0
20-40s,1302,1261,16,1.23,25,1.92,1.0
40-60s,1136,1114,13,1.14,9,0.79,1.0
60-80s,3275,905,219,6.69,2151,65.68,20.0
80-100s,6280,1105,26,0.41,5149,81.99,1.0
100-120s,1035,1015,9,0.87,11,1.06,1.0
120-140s,1157,1131,15,1.3,11,0.95,1.0
=======
0-20s,10450,10318,124,1.19,8,0.08,1.0
20-40s,10786,10684,102,0.95,0,0.0,1.0
40-60s,10802,10683,118,1.09,1,0.01,1.0
60-80s,14995,9930,2464,16.43,2601,17.35,20.0
80-100s,11730,10706,164,1.4,860,7.33,1.0
100-120s,10826,10694,97,0.9,35,0.32,1.0
120-140s,10855,10702,103,0.95,50,0.46,1.0
>>>>>>> bf18038 (re-run experiments)
>>>>>>> e95965d (re-run experiments)
=======
0-20s,3050,3010,36,1.18,4,0.13,1.0
20-40s,3161,3118,35,1.11,8,0.25,1.0
40-60s,3190,3116,46,1.44,28,0.88,1.0
60-80s,4514,2699,707,15.66,1108,24.55,20.0
80-100s,3437,3057,26,0.76,354,10.3,1.0
100-120s,2837,2789,27,0.95,21,0.74,1.0
120-140s,3037,2972,33,1.09,32,1.05,1.0
>>>>>>> 0278a0b (add experiments)
