Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
<<<<<<< HEAD
0-20s,6063,6011,52,0.86,0,0.0,1.0
20-40s,6417,6350,67,1.04,0,0.0,1.0
40-60s,6414,6355,59,0.92,0,0.0,1.0
60-80s,15167,3122,695,4.58,11350,74.83,20.0
80-100s,14916,3823,46,0.31,11047,74.06,1.0
100-120s,6182,6115,67,1.08,0,0.0,1.0
120-140s,6473,6408,65,1.0,0,0.0,1.0
=======
0-20s,11655,11533,122,1.05,0,0.0,1.0
20-40s,11677,11563,114,0.98,0,0.0,1.0
40-60s,11699,11588,111,0.95,0,0.0,1.0
60-80s,15578,2859,671,4.31,12048,77.34,20.0
80-100s,14439,8240,74,0.51,6125,42.42,1.0
100-120s,11702,11586,116,0.99,0,0.0,1.0
120-140s,11632,11516,116,1.0,0,0.0,1.0
>>>>>>> ee307d1 (add elastic defensiveness)
