Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,31,0.0,0.0,0.0,0.92,0.0,0.0,0.0,32.26
2,58,0.67,0.0,33.33,0.92,0.64,0.0,32.33,71.14
3,58,0.7,0.0,11.11,0.85,1.13,0.0,35.98,94.61
4,58,0.84,0.0,10.0,0.78,1.64,0.0,37.77,113.94
5,56,0.68,0.0,10.0,0.72,1.78,0.0,36.88,124.31
6,55,0.78,0.0,10.0,0.67,2.3,0.0,34.35,130.49
7,59,0.62,0.0,10.0,0.61,2.08,0.0,32.32,136.03
8,58,0.71,0.0,10.0,0.57,2.48,0.0,30.69,139.47
9,59,0.7,0.0,10.0,0.52,2.55,0.0,33.52,144.5
10,58,0.82,0.0,10.0,0.48,2.78,0.0,35.86,234.84
11,59,0.7,0.0,10.0,0.44,2.77,0.0,37.71,391.44
12,52,1.5,0.0,33.33,0.41,3.53,0.0,62.53,519.38
13,60,1.66,0.0,50.0,0.49,4.33,0.0,99.05,593.48
14,60,0.11,0.0,3.57,0.35,3.47,0.0,78.34,658.07
15,60,0.47,0.0,20.0,0.32,3.15,0.0,61.85,735.71
16,59,0.99,0.0,33.33,0.75,3.45,0.0,48.71,756.34
17,60,1.01,0.0,33.33,0.27,3.63,0.0,59.42,782.39
18,60,1.59,0.0,33.33,0.25,4.39,0.0,80.55,797.62
19,60,1.47,0.0,33.33,0.23,4.9,0.0,97.45,812.59
20,60,1.33,0.0,33.33,0.21,4.98,0.0,100.0,866.3
21,60,1.03,0.0,33.33,0.2,4.72,0.0,100.0,973.13
22,60,1.34,0.0,33.33,0.18,4.83,0.0,100.0,1052.38
23,60,2.6,0.0,100.0,0.17,5.07,0.0,100.0,1151.92
24,60,2.58,0.0,100.0,0.15,5.09,0.0,100.0,1226.12
25,60,2.01,0.0,100.0,0.14,4.7,0.0,100.0,1307.52
26,60,0.4,0.0,11.11,0.13,4.11,0.0,79.7,1367.07
27,60,0.72,0.0,14.29,0.14,3.96,0.0,63.49,1419.34
28,60,0.65,0.0,9.09,0.15,3.77,0.0,50.54,1447.33
29,60,0.63,0.0,7.69,0.15,3.61,0.0,47.27,1465.34
30,60,0.52,0.0,8.33,0.09,3.36,0.0,37.55,1490.95
31,60,0.38,0.0,7.14,0.09,3.03,0.0,29.78,1564.49
32,60,0.4,0.0,7.14,0.08,2.78,0.0,29.14,1622.63
33,60,0.37,0.0,10.0,0.07,2.56,0.0,33.1,1712.64
34,60,0.65,0.0,12.5,0.07,2.66,0.0,38.77,1812.08
35,60,1.15,0.0,20.0,0.18,3.24,0.0,43.3,1876.25
36,60,0.97,0.0,20.0,0.06,3.53,0.0,46.93,1965.53
37,60,0.88,0.0,20.0,0.18,3.66,0.0,48.63,2019.96
38,60,0.68,0.0,20.0,0.05,3.58,0.0,58.84,2058.1
39,60,0.68,0.0,20.0,0.15,3.52,0.0,67.0,2107.5
40,60,0.69,0.0,20.0,0.14,3.48,0.0,73.53,2154.35
41,60,0.7,0.0,20.0,0.04,3.46,0.0,78.76,2169.25
42,60,0.73,0.0,20.0,0.04,3.47,0.0,82.94,2220.44
43,60,0.78,0.0,20.0,0.03,3.54,0.0,86.28,2274.72
44,60,1.86,0.0,50.0,0.03,4.35,0.0,100.0,2361.74
45,60,0.47,0.0,20.0,0.03,3.93,0.0,79.94,2419.57
46,60,0.58,0.0,12.5,0.03,3.7,0.0,76.39,2518.25
47,60,0.27,0.0,8.33,0.02,3.2,0.0,69.37,2613.03
48,60,0.29,0.0,7.69,0.02,2.83,0.0,61.65,2648.62
49,60,0.54,0.0,9.09,0.02,2.79,0.0,55.11,2731.54
50,60,1.24,0.0,25.0,0.02,3.45,0.0,53.06,2792.64
51,60,1.06,0.0,16.67,0.02,3.8,0.0,51.41,2834.8
52,60,1.3,0.0,16.67,0.02,4.32,0.0,50.08,2890.03
53,60,1.3,0.0,16.67,0.01,4.73,0.0,49.14,2921.99
54,60,1.1,0.0,16.67,0.01,4.87,0.0,55.96,3008.15
55,60,1.12,0.0,16.67,0.01,4.99,0.0,61.41,3034.61
56,60,1.11,0.0,16.67,0.01,5.09,0.0,65.78,3073.41
57,60,1.21,0.0,16.67,0.01,5.27,0.0,69.27,3159.77
58,60,1.34,0.0,16.67,0.01,5.54,0.0,72.06,3216.25
59,60,1.32,0.0,20.0,0.01,5.73,0.0,77.63,3305.38
60,60,0.31,0.0,8.33,0.01,4.88,0.0,62.08,3348.1
61,60,0.64,0.0,10.0,0.01,4.52,0.0,49.65,3386.44
62,60,1.48,0.0,33.33,0.01,5.08,0.0,39.7,3469.83
63,60,2.55,0.0,50.0,0.01,6.6,0.0,59.99,3540.0
64,60,3.97,0.0,50.0,0.01,9.23,0.0,89.96,3612.94
65,60,9.17,0.0,80.0,0.01,16.09,0.0,100.0,3658.8
66,60,9.15,0.0,66.67,0.01,20.49,0.0,100.0,3715.27
67,60,11.78,0.0,71.43,0.0,26.1,0.0,100.0,3780.2
68,60,13.76,0.0,71.43,0.0,32.36,0.0,100.0,3821.87
69,60,15.61,0.0,71.43,0.0,37.99,0.0,100.0,3868.56
70,60,16.77,0.0,71.43,0.0,42.55,0.0,100.0,3954.56
71,60,20.92,0.0,100.0,0.0,48.34,0.0,100.0,4011.87
72,60,20.35,0.0,100.0,0.0,52.55,0.0,100.0,4038.61
73,60,23.0,0.0,100.0,0.0,57.13,0.0,100.0,4107.05
74,60,23.3,0.0,100.0,0.0,62.05,0.0,100.0,4190.63
75,60,23.58,0.0,100.0,0.0,66.81,0.0,100.0,4258.17
76,60,23.0,0.0,100.0,0.0,69.76,0.0,100.0,4305.97
77,60,21.79,0.0,66.67,0.0,71.73,0.0,100.0,4376.65
78,60,22.04,0.0,66.67,0.0,73.48,0.0,100.0,4428.01
79,60,20.49,0.0,66.67,0.0,74.31,0.0,100.0,4473.39
80,60,25.75,0.0,100.0,0.0,77.36,0.57,100.0,4510.04
81,60,24.81,0.0,100.0,0.0,77.96,0.46,100.0,4542.43
82,60,24.31,0.0,100.0,0.0,77.75,0.36,100.0,4590.09
83,60,22.44,0.0,66.67,0.0,76.13,8.82,100.0,4617.43
