Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,0.56,0.0,16.67,0.92,0.52,0.0,15.67,85.41
2,60,1.15,0.0,11.76,0.85,1.41,0.0,23.3,145.87
3,60,1.16,0.0,7.69,0.78,2.05,0.0,25.03,205.97
4,60,1.31,0.0,5.71,0.72,2.63,0.0,24.56,265.32
5,60,1.36,0.0,6.52,0.67,3.07,0.0,22.98,325.8
6,60,1.33,0.0,5.36,0.61,3.33,0.0,22.29,385.86
7,60,1.21,0.0,4.55,0.57,3.39,0.0,21.33,444.93
8,60,1.07,0.0,4.0,0.52,3.31,0.0,20.01,505.47
9,60,1.05,0.0,3.57,0.48,3.18,0.0,18.48,566.11
10,60,1.06,0.0,3.19,0.44,3.07,0.0,16.88,625.15
11,60,1.06,0.0,3.03,0.44,2.96,0.0,14.48,685.54
12,60,0.95,0.0,3.03,0.45,2.77,0.0,11.55,745.83
13,60,1.02,0.0,3.03,0.45,2.68,0.0,9.52,805.06
14,60,1.04,0.0,3.06,0.45,2.61,0.0,9.57,865.86
15,60,0.96,0.0,3.03,0.45,2.5,0.0,8.92,925.41
16,60,0.96,0.0,3.03,0.45,2.43,0.0,8.41,985.45
17,60,1.08,0.0,3.06,0.45,2.52,0.0,8.85,1045.4
18,60,1.16,0.0,3.09,0.45,2.67,0.0,9.59,1105.13
19,60,1.24,0.0,4.0,0.45,2.88,0.0,9.16,1165.68
20,60,1.22,0.0,4.08,0.45,3.03,0.0,9.83,1225.85
21,60,1.27,0.0,4.08,0.42,3.21,0.0,10.33,1285.0
22,60,1.32,0.0,4.08,0.39,3.42,0.0,11.42,1345.64
23,60,1.25,0.0,3.09,0.35,3.51,0.0,11.77,1405.42
24,60,1.24,0.0,4.04,0.39,3.58,0.0,12.27,1465.31
25,60,1.15,0.0,3.09,0.36,3.55,0.0,12.34,1525.55
26,60,1.19,0.0,3.09,0.43,3.56,0.0,12.51,1585.47
27,60,1.03,0.0,3.06,0.43,3.42,0.0,11.61,1645.96
28,60,1.04,0.0,3.03,0.24,3.35,0.0,10.73,1705.63
29,60,0.99,0.0,3.06,0.22,3.25,0.0,9.69,1765.08
30,60,0.99,0.0,3.06,0.2,3.18,0.0,9.37,1825.55
31,60,0.96,0.0,4.04,0.36,3.09,0.0,10.51,1885.69
32,60,1.0,0.0,4.04,0.36,3.11,0.0,11.99,1944.87
33,60,0.95,0.0,4.04,0.37,3.07,0.0,12.65,2005.16
34,60,0.9,0.0,4.08,0.2,3.02,0.0,13.05,2065.37
35,60,1.01,0.0,4.04,0.31,3.09,0.0,13.94,2124.88
36,60,0.94,0.0,4.08,0.17,3.08,0.0,14.6,2185.32
37,60,0.99,0.0,4.08,0.29,3.15,0.0,14.19,2245.74
