Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,4206,4145,44,1.05,17,0.4,1.0
20-40s,4341,4272,45,1.04,24,0.55,1.0
40-60s,4193,4132,41,0.98,20,0.48,1.0
60-80s,5779,4132,1047,18.12,600,10.38,20.0
80-100s,5037,4291,76,1.51,670,13.3,1.0
100-120s,4421,4303,50,1.13,68,1.54,1.0
120-140s,4176,4107,39,0.93,30,0.72,1.0
140-160s,10645,2949,4068,38.22,3628,34.08,60.0
160-180s,8237,4088,168,2.04,3981,48.33,1.0
180-200s,4529,4337,40,0.88,152,3.36,1.0
200-220s,4460,4406,41,0.92,13,0.29,1.0
220-240s,59930,215,12861,21.46,46854,78.18,100.0
240-260s,462129,1143,477,0.1,460509,99.65,1.0
260-280s,6472,4142,38,0.59,2292,35.41,1.0
280-300s,4436,4374,49,1.1,13,0.29,1.0
