Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-20s,8132,8049,83,1.02,0,0.0,1.0
20-40s,8240,8164,76,0.92,0,0.0,1.0
40-60s,8255,8165,90,1.09,0,0.0,1.0
60-80s,15054,3085,679,4.51,11290,75.0,20.0
80-100s,14679,5254,68,0.46,9357,63.74,1.0
100-120s,8395,8256,94,1.12,45,0.54,1.0
120-140s,8286,8205,81,0.98,0,0.0,1.0
140-160s,15376,736,759,4.94,13881,90.28,60.0
160-180s,13063,3338,41,0.31,9684,74.13,1.0
180-200s,8245,8161,84,1.02,0,0.0,1.0
200-220s,8319,8235,84,1.01,0,0.0,1.0
220-240s,15451,263,699,4.52,14489,93.77,100.0
240-260s,14734,3090,28,0.19,11616,78.84,1.0
260-280s,10628,7895,85,0.8,2648,24.92,1.0
280-300s,8394,8302,92,1.1,0,0.0,1.0
