Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Integral Avg,Integral Min,Integral Max,Derivative Avg,Derivative Min,Derivative Max,P Value Avg,P Value Min,P Value Max,Total Request Time
1,60,0.61,0.0,14.29,4.61,0.36,0.0,9.64,-0.0408,-0.0461,0.0804,0.0,-0.0,-0.0,-0.0408,-0.0461,0.0804,87.13
2,60,1.05,0.0,14.29,4.25,0.29,0.0,9.31,-0.0784,-0.0886,0.0444,0.0,0.0,0.0,-0.0376,-0.0583,0.0852,146.4
3,60,0.86,0.0,8.7,3.92,0.09,0.0,2.76,-0.1136,-0.1278,-0.0096,0.0,0.0,0.0,-0.0352,-0.0611,0.0176,208.08
4,60,0.89,0.0,6.45,3.61,0.0,0.0,0.0,-0.1441,-0.1639,-0.019,0.0,0.0,0.0,-0.0306,-0.0361,0.0,267.3
5,60,0.84,0.0,5.13,3.51,0.0,0.0,0.0,-0.1714,-0.1972,-0.0225,0.0,0.0,0.0,-0.0273,-0.0333,0.0,327.69
6,60,0.9,0.0,4.17,3.38,0.0,0.0,0.0,-0.1959,-0.228,-0.0328,0.0,-0.0,-0.0,-0.0245,-0.0307,-0.0042,387.76
7,60,0.77,0.0,3.45,3.25,0.0,0.0,0.0,-0.2197,-0.2563,-0.0479,0.0,-0.0,-0.0,-0.0238,-0.0283,-0.0086,446.85
8,60,0.93,0.0,4.41,3.1,0.0,0.0,0.0,-0.2402,-0.2824,-0.058,0.0,-0.0,-0.0,-0.0205,-0.0261,0.0,507.0
9,60,0.91,0.0,4.23,2.96,0.0,0.0,0.0,-0.2593,-0.3065,-0.0635,0.0,-0.0,-0.0,-0.0191,-0.0241,0.003,566.54
10,60,0.93,0.0,3.7,2.82,0.0,0.0,0.0,-0.2767,-0.3287,-0.0727,0.0,0.0,0.0,-0.0174,-0.0222,0.0,628.0
11,60,0.96,0.0,3.53,2.68,0.0,0.0,0.0,-0.2925,-0.3491,-0.0815,0.0,0.0,0.0,-0.0158,-0.0283,0.0,687.52
12,60,0.94,0.0,4.65,2.56,0.0,0.0,0.0,-0.3073,-0.368,-0.1106,0.0,0.0,0.0,-0.0148,-0.0298,0.0072,746.43
13,60,0.96,0.0,4.65,2.53,0.0,0.0,0.0,-0.3207,-0.3854,-0.1371,0.0,0.0,0.0,-0.0134,-0.0339,0.0072,806.98
14,60,0.98,0.0,4.49,2.5,0.0,0.0,0.0,-0.3331,-0.4014,-0.1615,0.0,0.0,0.0,-0.0124,-0.033,0.0056,866.65
15,60,1.01,0.0,4.4,2.4,0.0,0.0,0.0,-0.3443,-0.4162,-0.1838,0.0,-0.0,-0.0,-0.0112,-0.0304,0.0087,926.91
