Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,1.23,0.0,50.0,0.92,1.18,0.0,49.0,39.05
2,60,0.84,0.0,10.0,0.85,1.66,0.0,48.18,55.66
3,60,0.85,0.0,10.0,0.78,2.05,0.0,47.52,140.15
4,60,0.8,0.0,10.0,0.72,2.31,0.0,46.97,197.24
5,60,0.72,0.0,6.25,0.67,2.42,0.0,42.4,248.97
6,60,0.8,0.0,7.69,0.61,2.57,0.0,37.03,319.51
7,60,0.79,0.0,6.25,0.57,2.67,0.0,32.41,393.07
8,60,0.7,0.0,6.25,0.52,2.66,0.0,28.7,436.39
9,60,0.69,0.0,4.76,0.48,2.63,0.0,25.22,499.36
10,60,0.73,0.0,4.17,0.44,2.63,0.0,22.43,559.88
11,60,0.82,0.0,5.56,0.53,2.71,0.0,17.17,615.76
12,60,0.63,0.0,6.25,0.53,2.59,0.0,17.3,679.53
13,60,0.62,0.0,5.56,0.54,2.48,0.0,17.22,738.62
14,60,0.7,0.0,6.25,0.54,2.47,0.0,18.0,790.83
15,60,0.67,0.0,5.88,0.55,2.43,0.0,18.72,852.21
16,60,0.57,0.0,4.0,0.55,2.32,0.0,18.27,915.08
17,59,0.65,0.0,4.76,0.55,2.34,0.0,18.84,985.42
18,59,0.77,0.0,5.56,0.25,2.47,0.0,20.07,1042.99
19,59,0.73,0.0,5.41,0.23,2.56,0.0,19.5,1099.4
20,60,0.86,0.0,5.56,0.21,2.74,0.0,15.09,1151.64
21,59,1.09,0.0,6.67,0.2,3.18,0.0,15.44,1223.07
22,58,1.31,0.0,7.41,0.18,3.76,0.0,19.4,1281.07
23,58,1.18,0.0,6.45,0.17,4.03,0.0,21.67,1329.39
24,60,1.25,0.0,6.45,0.15,4.23,0.0,23.47,1400.37
25,58,1.22,0.0,6.67,0.14,4.39,0.0,25.11,1456.59
26,60,1.18,0.0,6.67,0.29,4.6,0.0,26.42,1520.45
27,58,1.27,0.0,7.41,0.3,4.82,0.0,28.19,1578.23
28,57,1.18,0.0,7.69,0.21,4.54,0.0,26.74,1640.8
29,52,1.07,0.0,6.25,0.17,4.98,0.0,23.13,1702.77
30,56,1.19,0.0,9.09,0.24,5.05,0.0,23.24,1754.64
31,59,0.96,0.0,9.09,0.21,4.79,0.0,26.97,1813.47
32,59,0.82,0.0,9.09,0.3,4.6,0.0,30.4,1881.9
33,56,0.56,0.0,5.0,0.19,4.12,0.0,24.07,1942.19
34,59,0.61,0.0,7.14,0.24,3.83,0.0,20.42,2000.41
35,60,0.48,0.0,5.88,0.06,3.39,0.0,21.18,2051.92
36,56,0.51,0.0,6.67,0.06,3.02,0.0,23.18,2120.77
37,58,0.63,0.0,7.41,0.4,3.09,0.0,25.51,2180.38
38,59,0.52,0.0,5.26,0.05,2.57,0.0,15.24,2224.46
