Window,Thread Count,Error Rate Avg,Error Rate Min,Error Rate Max,Ideal Error Rate,Rejection Rate Avg,Rejection Rate Min,Rejection Rate Max,Total Request Time
1,60,1.33,0.0,10.0,1.02,1.2,0.0,8.98,102.26
2,60,1.18,0.0,10.0,0.85,1.94,0.0,16.16,162.67
3,60,1.06,0.0,7.14,0.78,2.37,0.0,19.03,221.82
4,60,1.14,0.0,5.26,0.72,2.71,0.0,19.44,282.3
5,60,1.12,0.0,4.26,0.67,2.9,0.0,18.75,342.4
6,60,1.1,0.0,5.08,0.67,3.0,0.0,17.45,402.51
7,60,1.02,0.0,4.48,0.67,2.98,0.0,15.93,462.79
8,60,1.04,0.0,5.13,0.67,2.97,0.0,15.52,522.56
9,60,1.01,0.0,4.6,1.04,2.93,0.0,14.84,582.43
10,60,1.01,0.0,4.12,1.04,2.87,0.0,13.95,642.47
11,60,1.02,0.0,4.12,1.04,2.82,0.0,14.37,701.92
12,60,1.09,0.0,4.12,1.04,2.82,0.0,14.74,762.42
13,60,1.09,0.0,5.1,1.04,2.81,0.0,16.05,822.38
14,60,1.02,0.0,4.08,1.04,2.75,0.0,15.08,882.4
15,60,1.06,0.0,4.12,1.04,2.74,0.0,14.81,942.58
16,60,1.13,0.0,4.12,1.04,2.79,0.0,15.13,1002.36
17,60,1.21,0.0,4.12,1.04,2.93,0.0,14.41,1062.55
18,60,1.18,0.0,4.12,1.04,3.04,0.0,11.73,1122.1
19,60,1.21,0.0,4.12,1.04,3.16,0.0,11.6,1181.99
20,60,1.21,0.0,4.12,1.04,3.28,0.0,13.03,1242.24
21,60,1.18,0.0,4.12,1.04,3.37,0.0,14.11,1302.01
22,60,1.05,0.0,4.08,1.04,3.32,0.0,14.98,1362.18
23,60,1.13,0.0,4.12,1.04,3.36,0.0,15.7,1421.9
24,60,1.14,0.0,4.12,0.14,3.41,0.0,15.25,1482.16
25,60,1.13,0.0,4.08,1.05,3.45,0.0,14.92,1542.13
26,60,1.18,0.0,4.17,0.12,3.54,0.0,14.45,1602.29
27,60,1.18,0.0,4.17,0.26,3.62,0.0,14.33,1661.72
28,60,1.15,0.0,5.1,0.24,3.64,0.0,14.23,1722.54
29,60,1.13,0.0,4.17,0.22,3.65,0.0,13.14,1782.06
30,60,1.16,0.0,4.12,0.14,3.69,0.0,13.27,1842.26
31,60,1.16,0.0,4.17,0.19,3.72,0.0,13.82,1901.98
32,60,1.18,0.0,4.17,0.17,3.77,0.0,14.25,1962.31
33,60,1.15,0.0,4.21,0.47,3.78,0.0,14.59,2021.38
34,60,1.28,0.0,4.17,0.44,3.92,0.0,14.82,2082.22
35,60,1.23,0.0,4.17,0.4,3.98,0.0,15.04,2142.02
36,60,1.13,0.0,4.12,0.37,3.94,0.0,14.19,2201.79
37,60,1.08,0.0,4.17,0.37,3.86,0.0,13.97,2262.03
38,60,1.1,0.0,4.12,0.71,3.85,0.0,14.91,2321.96
39,60,1.16,0.0,4.12,1.06,3.92,0.0,14.63,2381.9
40,60,1.08,0.0,4.12,1.06,3.9,0.0,14.44,2441.81
41,60,1.11,0.0,4.12,1.06,3.92,0.0,14.24,2502.26
42,60,1.11,0.0,5.1,0.19,3.94,0.0,14.9,2561.88
43,60,1.11,0.0,4.08,0.16,3.95,0.0,15.23,2621.92
44,60,1.02,0.0,5.1,0.16,3.88,0.0,16.52,2681.65
45,60,1.04,0.0,5.05,0.17,3.85,0.0,17.48,2741.89
46,60,1.02,0.0,5.1,0.56,3.82,0.0,18.3,2803.11
47,60,1.05,0.0,5.1,0.56,3.82,0.0,18.95,2861.98
48,60,1.0,0.0,4.12,0.56,3.78,0.0,18.48,2922.23
49,60,0.96,0.0,4.12,0.57,3.72,0.0,17.1,2982.24
50,60,0.99,0.0,4.12,0.57,3.7,0.0,14.98,3042.01
51,60,0.99,0.0,4.08,0.57,3.7,0.0,13.3,3101.34
52,60,1.03,0.0,4.12,0.11,3.74,0.0,12.98,3162.24
53,60,1.1,0.0,4.12,0.1,3.85,0.0,12.84,3221.72
54,60,1.12,0.0,4.21,0.59,3.96,0.0,12.75,3281.84
55,60,1.12,0.0,4.17,0.09,4.05,0.0,11.98,3342.09
56,60,1.11,0.0,4.26,1.07,4.11,0.0,11.62,3401.47
57,60,1.1,0.0,4.21,1.07,4.14,0.0,13.27,3461.94
58,60,1.12,0.0,4.26,0.2,4.18,0.0,14.62,3521.59
59,60,1.06,0.0,4.21,1.07,4.17,0.0,15.66,3581.84
60,60,1.08,0.0,4.21,1.07,4.17,0.0,16.48,3641.46
61,60,1.06,0.0,5.21,0.29,4.16,0.0,18.12,3702.19
62,60,1.01,0.0,4.12,0.3,4.11,0.0,17.39,3761.26
63,60,0.99,0.0,4.08,0.3,4.05,0.0,16.33,3821.72
64,60,0.94,0.0,3.13,0.31,3.95,0.0,15.88,3881.62
65,60,0.89,0.0,3.13,0.31,3.82,0.0,14.52,3941.1
66,60,0.92,0.0,3.13,0.31,3.75,0.0,14.42,4002.18
67,60,0.87,0.0,3.13,0.31,3.66,0.0,14.34,4061.23
68,60,0.89,0.0,3.16,0.31,3.62,0.0,13.28,4121.92
69,60,0.87,0.0,3.13,0.32,3.58,0.0,12.42,4181.85
70,60,0.9,0.0,3.13,0.32,3.59,0.0,11.75,4241.49
71,60,0.85,0.0,3.13,1.01,3.53,0.0,10.84,4301.53
72,60,0.89,0.0,3.13,1.01,3.52,0.0,10.57,4361.92
73,60,0.87,0.0,3.13,0.29,3.5,0.0,10.75,4421.95
74,60,0.92,0.0,4.08,0.27,3.54,0.0,10.47,4481.62
75,60,0.94,0.0,5.05,0.25,3.59,0.0,10.6,4541.44
76,60,0.94,0.0,5.1,0.23,3.63,0.0,13.46,4602.0
77,60,1.0,0.0,5.05,0.21,3.74,0.0,15.69,4661.7
78,60,1.04,0.0,5.1,0.21,3.86,0.0,17.52,4721.64
79,60,1.07,0.0,7.0,0.22,3.99,0.0,20.87,4781.89
80,60,1.02,0.0,6.06,0.22,4.06,0.0,22.6,4841.26
81,60,0.99,0.0,6.12,0.22,4.08,0.0,24.03,4901.62
82,60,1.07,0.0,7.14,0.23,4.18,0.0,26.19,4961.54
83,60,1.02,0.0,6.12,0.23,4.22,0.0,26.88,5021.33
84,60,0.95,0.0,4.08,0.24,4.18,0.0,24.47,5081.52
85,60,1.02,0.0,4.12,0.24,4.21,0.0,22.53,5141.38
