Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,17157,16969,181,1.05,7,0.04,1.0
30-60s,17476,17303,172,0.98,1,0.01,1.0
60-90s,17548,17345,181,1.03,22,0.13,1.0
90-120s,17543,17324,157,0.89,62,0.35,1.0
120-150s,23709,15077,3640,15.35,4992,21.06,20.0
150-180s,23429,14055,3466,14.79,5908,25.22,20.0
180-210s,23355,13969,3514,15.05,5872,25.14,20.0
210-240s,23535,14142,3430,14.57,5963,25.34,20.0
240-270s,23506,13728,3568,15.18,6210,26.42,20.0
270-300s,23370,14144,3435,14.7,5791,24.78,20.0
300-330s,23366,13825,3467,14.84,6074,26.0,20.0
330-360s,23261,14023,3466,14.9,5772,24.81,20.0
360-390s,23111,13812,3422,14.81,5877,25.43,20.0
390-420s,23031,13669,3461,15.03,5901,25.62,20.0
420-450s,18593,17333,254,1.37,1006,5.41,1.0
450-480s,17860,17424,219,1.23,217,1.22,1.0
480-510s,17760,17443,172,0.97,145,0.82,1.0
510-540s,17775,17428,185,1.04,162,0.91,1.0
