Time Range,Total Requests,Success,Errors,Error %,Rejected,Rejected %,Target Error Rate %
0-30s,8885,8885,0,0.0,0,0.0,0.0
30-60s,9032,9032,0,0.0,0,0.0,0.0
60-90s,8835,8835,0,0.0,0,0.0,0.0
90-120s,9000,9000,0,0.0,0,0.0,0.0
120-150s,297372,1379,319,0.11,295674,99.43,20.0
150-180s,67961,1043,244,0.36,66674,98.11,20.0
180-210s,68157,930,235,0.34,66992,98.29,20.0
210-240s,68345,766,217,0.32,67362,98.56,20.0
240-270s,67206,948,241,0.36,66017,98.23,20.0
270-300s,67324,952,244,0.36,66128,98.22,20.0
300-330s,67798,952,248,0.37,66598,98.23,20.0
330-360s,66265,953,235,0.35,65077,98.21,20.0
360-390s,66881,917,236,0.35,65728,98.28,20.0
390-420s,67324,859,233,0.35,66232,98.38,20.0
420-450s,34899,7016,0,0.0,27883,79.9,0.0
450-480s,8960,8960,0,0.0,0,0.0,0.0
480-510s,8986,8986,0,0.0,0,0.0,0.0
510-540s,8878,8878,0,0.0,0,0.0,0.0
